LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/10/2011;""21"";""12"";""30"";""10"";""51"";""20"";""7"";""19"";""30"";""1023"";""0"";""0"";"""""
"Firenze;2/10/2011;""22"";""13"";""31"";""11"";""52"";""23"";""6"";""17"";""0"";""1022"";""0"";""0"";"""""
"Firenze;3/10/2011;""22"";""12"";""31"";""9"";""49"";""31"";""6"";""11"";""0"";""1022"";""0"";""0"";"""""
"Firenze;4/10/2011;""20"";""13"";""29"";""10"";""55"";""28"";""6"";""17"";""0"";""1022"";""0"";""0"";"""""
"Firenze;5/10/2011;""20"";""12"";""30"";""11"";""59"";""20"";""5"";""13"";""0"";""1020"";""0"";""0"";"""""
"Firenze;6/10/2011;""20"";""16"";""27"";""14"";""70"";""8"";""7"";""19"";""0"";""1019"";""0"";""0"";"""""
"Firenze;7/10/2011;""18"";""11"";""24"";""13"";""73"";""10"";""14"";""37"";""59"";""1009"";""0"";""0"";""pioggia temporale """
"Firenze;8/10/2011;""13"";""6"";""22"";""5"";""61"";""32"";""5"";""11"";""0"";""1011"";""0"";""0"";"""""
"Firenze;9/10/2011;""13"";""8"";""20"";""3"";""49"";""20"";""11"";""24"";""46"";""1015"";""0"";""0"";"""""
"Firenze;10/10/2011;""13"";""6"";""22"";""4"";""57"";""31"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Firenze;11/10/2011;""16"";""8"";""26"";""10"";""70"";""22"";""5"";""7"";""0"";""1019"";""0"";""0"";"""""
"Firenze;12/10/2011;""16"";""12"";""22"";""14"";""89"";""6"";""4"";""9"";""0"";""1018"";""0"";""0"";""nebbia """
"Firenze;13/10/2011;""19"";""15"";""25"";""13"";""70"";""12"";""11"";""24"";""0"";""1016"";""0"";""0"";"""""
"Firenze;14/10/2011;""16"";""13"";""19"";""4"";""42"";""29"";""16"";""28"";""54"";""1022"";""0"";""0"";"""""
"Firenze;15/10/2011;""13"";""11"";""16"";""1"";""40"";""25"";""17"";""32"";""57"";""1025"";""0"";""0"";"""""
"Firenze;16/10/2011;""14"";""10"";""18"";""3"";""43"";""33"";""16"";""32"";""50"";""1025"";""0"";""0"";"""""
"Firenze;17/10/2011;""13"";""5"";""20"";""2"";""47"";""38"";""6"";""11"";""0"";""1024"";""0"";""0"";"""""
"Firenze;18/10/2011;""12"";""3"";""20"";""5"";""64"";""14"";""6"";""13"";""0"";""1023"";""0"";""0"";"""""
"Firenze;19/10/2011;""17"";""13"";""22"";""10"";""65"";""11"";""10"";""26"";""0"";""1020"";""0"";""0"";"""""
"Firenze;20/10/2011;""14"";""10"";""19"";""10"";""76"";""10"";""10"";""20"";""39"";""1015"";""0"";""0"";""pioggia temporale """
"Firenze;21/10/2011;""13"";""11"";""15"";""4"";""55"";""12"";""11"";""19"";""41"";""1022"";""0"";""0"";"""""
"Firenze;22/10/2011;""11"";""7"";""16"";""2"";""53"";""17"";""10"";""19"";""39"";""1022"";""0"";""0"";"""""
"Firenze;23/10/2011;""10"";""3"";""16"";""3"";""63"";""13"";""6"";""13"";""0"";""1020"";""0"";""0"";"""""
"Firenze;24/10/2011;""12"";""9"";""16"";""7"";""67"";""11"";""6"";""11"";""0"";""1015"";""0"";""0"";""pioggia """
"Firenze;25/10/2011;""15"";""11"";""19"";""13"";""88"";""8"";""8"";""19"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;26/10/2011;""16"";""11"";""20"";""14"";""90"";""8"";""8"";""19"";""0"";""1014"";""0"";""0"";""pioggia """
"Firenze;27/10/2011;""12"";""8"";""17"";""11"";""93"";""5"";""3"";""6"";""0"";""1020"";""0"";""0"";""nebbia """
"Firenze;28/10/2011;""13"";""7"";""22"";""9"";""79"";""15"";""4"";""7"";""0"";""1024"";""0"";""0"";""nebbia """
"Firenze;29/10/2011;""13"";""7"";""22"";""9"";""80"";""17"";""3"";""6"";""0"";""1025"";""0"";""0"";""nebbia """
"Firenze;30/10/2011;""13"";""7"";""20"";""8"";""77"";""13"";""4"";""13"";""0"";""1022"";""0"";""0"";""nebbia """
"Firenze;31/10/2011;""12"";""6"";""19"";""8"";""76"";""10"";""4"";""9"";""0"";""1021"";""0"";""0"";""nebbia """
