LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/4/2013;""12"";""6"";""17"";""6"";""72"";""10"";""7"";""13"";""0"";""1003"";""0"";""0"";""pioggia """
"Firenze;2/4/2013;""12"";""9"";""15"";""6"";""69"";""10"";""10"";""20"";""46"";""999"";""0"";""0"";""pioggia """
"Firenze;3/4/2013;""12"";""9"";""17"";""5"";""60"";""10"";""9"";""17"";""0"";""1004"";""0"";""0"";"""""
"Firenze;4/4/2013;""12"";""6"";""15"";""7"";""71"";""10"";""9"";""24"";""26"";""1005"";""0"";""0"";""pioggia """
"Firenze;5/4/2013;""11"";""10"";""13"";""9"";""85"";""9"";""9"";""19"";""44"";""1000"";""0"";""0"";""pioggia """
"Firenze;6/4/2013;""14"";""10"";""20"";""9"";""75"";""9"";""7"";""19"";""0"";""1008"";""0"";""0"";"""""
"Firenze;7/4/2013;""13"";""10"";""15"";""5"";""60"";""10"";""11"";""20"";""35"";""1009"";""0"";""0"";"""""
"Firenze;8/4/2013;""10"";""6"";""13"";""4"";""68"";""10"";""6"";""11"";""0"";""1010"";""0"";""0"";""pioggia """
"Firenze;9/4/2013;""12"";""9"";""17"";""8"";""80"";""8"";""7"";""15"";""32"";""1009"";""0"";""0"";""pioggia """
"Firenze;10/4/2013;""14"";""10"";""17"";""8"";""73"";""10"";""11"";""20"";""0"";""1012"";""0"";""0"";"""""
"Firenze;11/4/2013;""14"";""8"";""19"";""9"";""73"";""10"";""8"";""15"";""0"";""1015"";""0"";""0"";"""""
"Firenze;12/4/2013;""16"";""12"";""20"";""10"";""69"";""10"";""11"";""22"";""35"";""1012"";""0"";""0"";""pioggia """
"Firenze;13/4/2013;""15"";""10"";""19"";""8"";""63"";""10"";""10"";""20"";""0"";""1020"";""0"";""0"";"""""
"Firenze;14/4/2013;""15"";""7"";""24"";""7"";""63"";""0"";""6"";""15"";""28"";""1026"";""0"";""0"";"""""
"Firenze;15/4/2013;""17"";""9"";""26"";""8"";""61"";""0"";""7"";""17"";""0"";""1022"";""0"";""0"";"""""
"Firenze;16/4/2013;""17"";""8"";""25"";""9"";""61"";""10"";""6"";""17"";""0"";""1021"";""0"";""0"";"""""
"Firenze;17/4/2013;""19"";""10"";""28"";""10"";""61"";""10"";""5"";""15"";""0"";""1022"";""0"";""0"";"""""
"Firenze;18/4/2013;""19"";""11"";""26"";""11"";""64"";""0"";""8"";""20"";""0"";""1020"";""0"";""0"";"""""
"Firenze;19/4/2013;""18"";""10"";""25"";""10"";""63"";""0"";""7"";""17"";""0"";""1015"";""0"";""0"";"""""
"Firenze;20/4/2013;""16"";""12"";""20"";""10"";""72"";""10"";""11"";""19"";""0"";""1014"";""0"";""0"";"""""
"Firenze;21/4/2013;""13"";""7"";""18"";""7"";""70"";""10"";""7"";""19"";""35"";""1015"";""0"";""0"";""pioggia """
"Firenze;22/4/2013;""12"";""8"";""18"";""8"";""76"";""10"";""6"";""19"";""0"";""1013"";""0"";""0"";""pioggia """
"Firenze;23/4/2013;""13"";""6"";""19"";""8"";""71"";""10"";""6"";""19"";""0"";""1021"";""0"";""0"";""pioggia """
"Firenze;24/4/2013;""16"";""6"";""26"";""8"";""63"";""10"";""6"";""19"";""0"";""1027"";""0"";""0"";"""""
"Firenze;25/4/2013;""18"";""11"";""25"";""12"";""66"";""10"";""5"";""11"";""0"";""1024"";""0"";""0"";"""""
"Firenze;26/4/2013;""19"";""14"";""26"";""11"";""62"";""10"";""7"";""19"";""0"";""1017"";""0"";""0"";""pioggia """
"Firenze;27/4/2013;""16"";""15"";""20"";""12"";""76"";""10"";""8"";""15"";""32"";""1008"";""0"";""0"";""pioggia """
"Firenze;28/4/2013;""18"";""14"";""23"";""14"";""80"";""10"";""4"";""9"";""0"";""1012"";""0"";""0"";""pioggia """
"Firenze;29/4/2013;""20"";""13"";""28"";""15"";""72"";""10"";""6"";""19"";""0"";""1016"";""0"";""0"";"""""
"Firenze;30/4/2013;""21"";""17"";""27"";""14"";""67"";""10"";""6"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
