LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/12/2015;""12"";""9"";""15"";""9"";""84"";""8"";""4"";""7"";""0"";""1026"";""0"";""0"";"""""
"Firenze;2/12/2015;""12"";""9"";""16"";""9"";""83"";""9"";""4"";""9"";""0"";""1029"";""0"";""0"";"""""
"Firenze;3/12/2015;""10"";""6"";""12"";""7"";""81"";""10"";""5"";""9"";""0"";""1032"";""0"";""0"";"""""
"Firenze;4/12/2015;""8"";""3"";""11"";""6"";""90"";""7"";""3"";""6"";""0"";""1034"";""0"";""0"";""nebbia """
"Firenze;5/12/2015;""10"";""6"";""15"";""7"";""85"";""8"";""3"";""7"";""0"";""1035"";""0"";""0"";"""""
"Firenze;6/12/2015;""6"";""0"";""11"";""5"";""92"";""8"";""3"";""6"";""0"";""1036"";""0"";""0"";""nebbia """
"Firenze;7/12/2015;""6"";""1"";""11"";""5"";""91"";""8"";""3"";""7"";""0"";""1036"";""0"";""0"";""pioggia nebbia """
"Firenze;8/12/2015;""8"";""4"";""13"";""7"";""95"";""7"";""3"";""6"";""0"";""1033"";""0"";""0"";""nebbia """
"Firenze;9/12/2015;""7"";""3"";""14"";""7"";""97"";""3"";""3"";""7"";""0"";""1032"";""0"";""0"";""nebbia """
"Firenze;10/12/2015;""9"";""3"";""16"";""3"";""65"";""15"";""8"";""15"";""0"";""1033"";""0"";""0"";""nebbia """
"Firenze;11/12/2015;""5"";""3"";""14"";""2"";""81"";""14"";""3"";""6"";""0"";""1032"";""0"";""0"";"""""
"Firenze;12/12/2015;""9"";""4"";""13"";""7"";""87"";""9"";""5"";""9"";""0"";""1027"";""0"";""0"";"""""
"Firenze;13/12/2015;""10"";""9"";""11"";""9"";""95"";""8"";""3"";""6"";""0"";""1024"";""0"";""0"";""pioggia """
"Firenze;14/12/2015;""8"";""3"";""13"";""8"";""96"";""5"";""4"";""7"";""0"";""1025"";""0"";""0"";""nebbia """
"Firenze;15/12/2015;""5"";""1"";""8"";""5"";""96"";""5"";""3"";""6"";""0"";""1028"";""0"";""0"";""nebbia """
"Firenze;16/12/2015;""8"";""3"";""13"";""6"";""92"";""4"";""3"";""7"";""0"";""1030"";""0"";""0"";""nebbia """
"Firenze;17/12/2015;""5"";""0"";""12"";""4"";""94"";""5"";""4"";""7"";""0"";""1030"";""0"";""0"";""nebbia """
"Firenze;18/12/2015;""7"";""2"";""10"";""6"";""92"";""6"";""3"";""6"";""0"";""1029"";""0"";""0"";""nebbia """
"Firenze;19/12/2015;""9"";""4"";""15"";""8"";""92"";""3"";""3"";""6"";""0"";""1028"";""0"";""0"";""pioggia nebbia """
"Firenze;20/12/2015;""5"";""1"";""6"";""5"";""100"";""0"";""3"";""6"";""0"";""1030"";""0"";""0"";""nebbia """
"Firenze;21/12/2015;""7"";""4"";""10"";""6"";""95"";""4"";""4"";""7"";""0"";""1034"";""0"";""0"";""pioggia nebbia """
"Firenze;22/12/2015;""9"";""8"";""10"";""9"";""98"";""3"";""3"";""6"";""0"";""1036"";""0"";""0"";""pioggia """
"Firenze;23/12/2015;""11"";""9"";""15"";""10"";""92"";""7"";""5"";""9"";""0"";""1033"";""0"";""0"";""nebbia """
"Firenze;24/12/2015;""11"";""9"";""14"";""10"";""90"";""10"";""4"";""7"";""0"";""1033"";""0"";""0"";"""""
"Firenze;25/12/2015;""9"";""5"";""15"";""8"";""94"";""7"";""3"";""7"";""0"";""1035"";""0"";""0"";""nebbia """
"Firenze;26/12/2015;""5"";""2"";""6"";""5"";""100"";""0"";""3"";""6"";""0"";""1034"";""0"";""0"";""nebbia """
"Firenze;27/12/2015;""4"";""3"";""5"";""4"";""100"";""0"";""3"";""6"";""0"";""1034"";""0"";""0"";""nebbia """
"Firenze;28/12/2015;""4"";""2"";""5"";""4"";""100"";""0"";""3"";""6"";""0"";""1033"";""0"";""0"";""nebbia """
"Firenze;29/12/2015;""7"";""4"";""14"";""6"";""91"";""8"";""4"";""11"";""0"";""1029"";""0"";""0"";""nebbia """
"Firenze;30/12/2015;""6"";""1"";""13"";""2"";""76"";""6"";""7"";""17"";""43"";""1028"";""0"";""0"";""nebbia """
"Firenze;31/12/2015;""6"";""1"";""10"";""1"";""64"";""36"";""5"";""13"";""0"";""1027"";""0"";""0"";"""""
