LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/3/2015;""8"";""1"";""14"";""5"";""82"";""9"";""6"";""26"";""0"";""1018"";""0"";""0"";""pioggia """
"Firenze;2/3/2015;""12"";""8"";""15"";""11"";""93"";""6"";""8"";""22"";""0"";""1014"";""0"";""0"";""pioggia """
"Firenze;3/3/2015;""13"";""8"";""19"";""8"";""77"";""11"";""6"";""19"";""0"";""1019"";""0"";""0"";""nebbia """
"Firenze;4/3/2015;""10"";""8"";""13"";""8"";""86"";""9"";""6"";""13"";""39"";""1019"";""0"";""0"";""pioggia """
"Firenze;5/3/2015;""9"";""6"";""11"";""2"";""44"";""11"";""38"";""76"";""100"";""1015"";""0"";""0"";""pioggia """
"Firenze;6/3/2015;""9"";""7"";""12"";""0"";""31"";""33"";""24"";""44"";""76"";""1027"";""0"";""0"";"""""
"Firenze;7/3/2015;""9"";""6"";""13"";""0"";""33"";""32"";""20"";""43"";""70"";""1028"";""0"";""0"";"""""
"Firenze;8/3/2015;""9"";""6"";""12"";""0"";""40"";""21"";""17"";""32"";""56"";""1024"";""0"";""0"";"""""
"Firenze;9/3/2015;""9"";""5"";""13"";""1"";""51"";""18"";""14"";""28"";""37"";""1024"";""0"";""0"";"""""
"Firenze;10/3/2015;""9"";""0"";""18"";""2"";""58"";""18"";""8"";""20"";""35"";""1023"";""0"";""0"";"""""
"Firenze;11/3/2015;""9"";""2"";""15"";""5"";""76"";""8"";""5"";""15"";""0"";""1020"";""0"";""0"";"""""
"Firenze;12/3/2015;""10"";""4"";""14"";""3"";""48"";""19"";""13"";""32"";""46"";""1020"";""0"";""0"";"""""
"Firenze;13/3/2015;""8"";""1"";""16"";""2"";""58"";""27"";""6"";""19"";""0"";""1019"";""0"";""0"";"""""
"Firenze;14/3/2015;""8"";""3"";""14"";""2"";""66"";""11"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Firenze;15/3/2015;""9"";""3"";""14"";""4"";""72"";""10"";""12"";""32"";""48"";""1022"";""0"";""0"";""pioggia """
"Firenze;16/3/2015;""10"";""8"";""12"";""8"";""87"";""10"";""7"";""22"";""0"";""1023"";""0"";""0"";""pioggia """
"Firenze;17/3/2015;""13"";""10"";""16"";""8"";""73"";""11"";""12"";""28"";""0"";""1023"";""0"";""0"";""pioggia """
"Firenze;18/3/2015;""13"";""8"";""19"";""4"";""57"";""13"";""8"";""17"";""0"";""1023"";""0"";""0"";"""""
"Firenze;19/3/2015;""12"";""4"";""20"";""4"";""61"";""11"";""4"";""11"";""0"";""1021"";""0"";""0"";"""""
"Firenze;20/3/2015;""12"";""4"";""21"";""5"";""61"";""11"";""5"";""9"";""0"";""1021"";""0"";""0"";"""""
"Firenze;21/3/2015;""11"";""6"";""16"";""6"";""73"";""9"";""5"";""17"";""0"";""1018"";""0"";""0"";""pioggia """
"Firenze;22/3/2015;""12"";""8"";""17"";""6"";""67"";""11"";""13"";""30"";""50"";""1013"";""0"";""0"";"""""
"Firenze;23/3/2015;""14"";""10"";""18"";""5"";""53"";""11"";""16"";""26"";""43"";""1014"";""0"";""0"";"""""
"Firenze;24/3/2015;""13"";""9"";""18"";""8"";""71"";""10"";""5"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;25/3/2015;""14"";""12"";""15"";""9"";""73"";""10"";""13"";""30"";""56"";""998"";""0"";""0"";""pioggia """
"Firenze;26/3/2015;""13"";""8"";""16"";""11"";""84"";""11"";""10"";""33"";""0"";""1004"";""0"";""0"";""pioggia """
"Firenze;27/3/2015;""12"";""9"";""15"";""8"";""78"";""9"";""8"";""26"";""48"";""1008"";""0"";""0"";"""""
"Firenze;28/3/2015;""14"";""7"";""20"";""2"";""41"";""46"";""10"";""20"";""0"";""1014"";""0"";""0"";"""""
"Firenze;29/3/2015;""12"";""3"";""20"";""2"";""52"";""40"";""7"";""22"";""0"";""1013"";""0"";""0"";"""""
"Firenze;30/3/2015;""13"";""9"";""17"";""8"";""71"";""11"";""9"";""26"";""0"";""1008"";""0"";""0"";"""""
"Firenze;31/3/2015;""14"";""9"";""20"";""10"";""77"";""9"";""11"";""26"";""44"";""1011"";""0"";""0"";"""""
