LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/2/2018;""11"";""9"";""14"";""7"";""80"";""17"";""12"";""22"";""0"";""1009"";""0"";""0"";""pioggia """
"Firenze;2/2/2018;""9"";""7"";""10"";""7"";""91"";""14"";""7"";""17"";""0"";""1003"";""0"";""0"";""pioggia """
"Firenze;3/2/2018;""5"";""3"";""7"";""2"";""75"";""20"";""11"";""28"";""0"";""1001"";""0"";""0"";""pioggia temporale """
"Firenze;4/2/2018;""3"";""-2"";""10"";""2"";""85"";""18"";""4"";""8"";""0"";""1014"";""0"";""0"";"""""
"Firenze;5/2/2018;""6"";""-1"";""13"";""2"";""78"";""16"";""5"";""18"";""0"";""1019"";""0"";""0"";"""""
"Firenze;6/2/2018;""7"";""4"";""10"";""3"";""78"";""19"";""10"";""28"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;7/2/2018;""6"";""3"";""8"";""4"";""87"";""19"";""5"";""11"";""0"";""1005"";""0"";""0"";""pioggia """
"Firenze;8/2/2018;""7"";""3"";""12"";""4"";""80"";""17"";""7"";""21"";""0"";""1014"";""0"";""0"";""pioggia """
"Firenze;9/2/2018;""5"";""-1"";""13"";""2"";""79"";""18"";""4"";""9"";""0"";""1016"";""0"";""0"";""nebbia """
"Firenze;10/2/2018;""5"";""-2"";""11"";""1"";""72"";""19"";""8"";""18"";""0"";""1011"";""0"";""0"";""nebbia """
"Firenze;11/2/2018;""7"";""2"";""12"";""1"";""58"";""20"";""6"";""13"";""0"";""1011"";""0"";""0"";"""""
"Firenze;12/2/2018;""6"";""4"";""7"";""3"";""84"";""13"";""7"";""13"";""0"";""1009"";""0"";""0"";""pioggia """
"Firenze;13/2/2018;""5"";""0"";""9"";""0"";""59"";""19"";""11"";""21"";""0"";""1012"";""0"";""0"";"""""
"Firenze;14/2/2018;""4"";""-1"";""9"";""0"";""64"";""20"";""8"";""24"";""0"";""1014"";""0"";""0"";"""""
"Firenze;15/2/2018;""4"";""-3"";""11"";""0"";""59"";""21"";""5"";""9"";""0"";""1022"";""0"";""0"";"""""
"Firenze;16/2/2018;""5"";""0"";""8"";""2"";""71"";""17"";""3"";""5"";""0"";""1025"";""0"";""0"";""pioggia """
"Firenze;17/2/2018;""7"";""6"";""9"";""6"";""93"";""3"";""3"";""5"";""0"";""1021"";""0"";""0"";""pioggia """
"Firenze;18/2/2018;""8"";""7"";""9"";""4"";""79"";""15"";""8"";""18"";""0"";""1015"";""0"";""0"";""pioggia """
"Firenze;19/2/2018;""7"";""5"";""8"";""1"";""62"";""19"";""13"";""22"";""0"";""1014"";""0"";""0"";""pioggia """
"Firenze;20/2/2018;""5"";""3"";""8"";""0"";""56"";""20"";""11"";""24"";""0"";""1008"";""0"";""0"";"""""
"Firenze;21/2/2018;""6"";""5"";""8"";""0"";""59"";""20"";""12"";""21"";""0"";""1006"";""0"";""0"";"""""
"Firenze;22/2/2018;""5"";""5"";""6"";""1"";""68"";""20"";""7"";""15"";""0"";""1004"";""0"";""0"";""pioggia """
"Firenze;23/2/2018;""6"";""5"";""8"";""2"";""69"";""20"";""11"";""18"";""0"";""1003"";""0"";""0"";""pioggia """
"Firenze;24/2/2018;""9"";""8"";""14"";""2"";""62"";""20"";""17"";""31"";""0"";""1005"";""0"";""0"";"""""
"Firenze;25/2/2018;""6"";""4"";""9"";""2"";""68"";""21"";""9"";""26"";""0"";""1009"";""0"";""0"";""pioggia neve """
"Firenze;26/2/2018;""-1"";""-3"";""0"";""0"";""54"";""21"";""13"";""21"";""0"";""1009"";""0"";""0"";""neve """
"Firenze;27/2/2018;""-2"";""-4"";""1"";""0"";""51"";""21"";""12"";""28"";""0"";""1009"";""0"";""0"";""neve """
"Firenze;28/2/2018;""-3"";""-8"";""3"";""0"";""61"";""20"";""6"";""18"";""0"";""1015"";""0"";""0"";"""""
