LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/1/2018;""9"";""6"";""13"";""8"";""92"";""11"";""6"";""18"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Firenze;2/1/2018;""9"";""3"";""16"";""6"";""70"";""21"";""6"";""11"";""0"";""1012"";""0"";""0"";""nebbia """
"Firenze;3/1/2018;""5"";""1"";""12"";""3"";""85"";""15"";""6"";""21"";""0"";""1012"";""0"";""0"";""pioggia """
"Firenze;4/1/2018;""6"";""2"";""9"";""5"";""93"";""12"";""4"";""8"";""0"";""1009"";""0"";""0"";""pioggia """
"Firenze;5/1/2018;""10"";""8"";""12"";""10"";""96"";""9"";""5"";""9"";""0"";""1010"";""0"";""0"";""pioggia nebbia """
"Firenze;6/1/2018;""11"";""9"";""13"";""10"";""96"";""12"";""3"";""9"";""0"";""1012"";""0"";""0"";""nebbia """
"Firenze;7/1/2018;""7"";""4"";""11"";""7"";""97"";""16"";""3"";""5"";""0"";""1017"";""0"";""0"";""nebbia """
"Firenze;8/1/2018;""9"";""5"";""14"";""8"";""89"";""14"";""4"";""8"";""0"";""1019"";""0"";""0"";"""""
"Firenze;9/1/2018;""10"";""5"";""15"";""8"";""87"";""14"";""5"";""11"";""0"";""1019"";""0"";""0"";""pioggia nebbia """
"Firenze;10/1/2018;""8"";""5"";""11"";""7"";""90"";""20"";""4"";""9"";""0"";""1016"";""0"";""0"";""pioggia """
"Firenze;11/1/2018;""9"";""6"";""11"";""7"";""89"";""15"";""5"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;12/1/2018;""10"";""8"";""12"";""3"";""61"";""20"";""12"";""21"";""0"";""1017"";""0"";""0"";"""""
"Firenze;13/1/2018;""9"";""8"";""12"";""2"";""60"";""20"";""11"";""17"";""0"";""1020"";""0"";""0"";"""""
"Firenze;14/1/2018;""8"";""4"";""11"";""2"";""66"";""20"";""5"";""13"";""0"";""1020"";""0"";""0"";"""""
"Firenze;15/1/2018;""6"";""-1"";""12"";""3"";""81"";""20"";""3"";""8"";""0"";""1022"";""0"";""0"";""pioggia """
"Firenze;16/1/2018;""11"";""7"";""14"";""9"";""86"";""12"";""15"";""30"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;17/1/2018;""12"";""2"";""16"";""9"";""53"";""18"";""19"";""31"";""0"";""1005"";""0"";""0"";""pioggia """
"Firenze;18/1/2018;""5"";""-3"";""10"";""5"";""76"";""16"";""5"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
"Firenze;19/1/2018;""10"";""8"";""13"";""8"";""88"";""18"";""5"";""9"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Firenze;20/1/2018;""8"";""6"";""11"";""7"";""90"";""10"";""5"";""15"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Firenze;21/1/2018;""11"";""8"";""15"";""8"";""78"";""17"";""7"";""15"";""0"";""1006"";""0"";""0"";""pioggia """
"Firenze;22/1/2018;""6"";""1"";""9"";""3"";""75"";""20"";""3"";""8"";""0"";""1014"";""0"";""0"";"""""
"Firenze;23/1/2018;""9"";""2"";""17"";""3"";""70"";""18"";""4"";""11"";""0"";""1020"";""0"";""0"";"""""
"Firenze;24/1/2018;""7"";""0"";""14"";""4"";""81"";""19"";""3"";""8"";""0"";""1030"";""0"";""0"";"""""
"Firenze;25/1/2018;""9"";""5"";""13"";""7"";""88"";""11"";""3"";""9"";""0"";""1027"";""0"";""0"";""nebbia """
"Firenze;26/1/2018;""9"";""5"";""13"";""7"";""85"";""16"";""5"";""15"";""0"";""1023"";""0"";""0"";""pioggia """
"Firenze;27/1/2018;""11"";""5"";""16"";""8"";""86"";""14"";""3"";""5"";""0"";""1028"";""0"";""0"";""pioggia """
"Firenze;28/1/2018;""8"";""1"";""16"";""5"";""86"";""19"";""3"";""8"";""0"";""1034"";""0"";""0"";""nebbia """
"Firenze;29/1/2018;""10"";""6"";""13"";""7"";""83"";""16"";""4"";""9"";""0"";""1033"";""0"";""0"";"""""
"Firenze;30/1/2018;""10"";""6"";""14"";""7"";""79"";""20"";""6"";""11"";""0"";""1029"";""0"";""0"";"""""
"Firenze;31/1/2018;""10"";""8"";""11"";""8"";""90"";""15"";""5"";""13"";""0"";""1023"";""0"";""0"";""pioggia """
