LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/9/2019;""25"";""19"";""35"";""18"";""67"";""19"";""6"";""24"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Firenze;2/9/2019;""23"";""18"";""32"";""19"";""80"";""19"";""6"";""26"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Firenze;3/9/2019;""24"";""18"";""30"";""16"";""65"";""20"";""10"";""24"";""0"";""1017"";""0"";""0"";"""""
"Firenze;4/9/2019;""24"";""17"";""30"";""11"";""45"";""20"";""13"";""24"";""0"";""1017"";""0"";""0"";"""""
"Firenze;5/9/2019;""22"";""12"";""32"";""11"";""52"";""20"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Firenze;6/9/2019;""23"";""19"";""27"";""15"";""63"";""18"";""10"";""28"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Firenze;7/9/2019;""21"";""15"";""28"";""14"";""69"";""19"";""7"";""17"";""0"";""1014"";""0"";""0"";""pioggia """
"Firenze;8/9/2019;""20"";""15"";""26"";""14"";""71"";""20"";""12"";""30"";""0"";""1012"";""0"";""0"";""pioggia """
"Firenze;9/9/2019;""20"";""13"";""26"";""11"";""55"";""19"";""9"";""18"";""0"";""1013"";""0"";""0"";"""""
"Firenze;10/9/2019;""20"";""11"";""28"";""12"";""63"";""19"";""9"";""24"";""0"";""1015"";""0"";""0"";"""""
"Firenze;11/9/2019;""24"";""18"";""30"";""12"";""49"";""21"";""10"";""21"";""0"";""1019"";""0"";""0"";"""""
"Firenze;12/9/2019;""23"";""13"";""31"";""12"";""54"";""19"";""9"";""22"";""0"";""1026"";""0"";""0"";"""""
"Firenze;13/9/2019;""25"";""15"";""33"";""11"";""45"";""21"";""11"";""24"";""0"";""1027"";""0"";""0"";"""""
"Firenze;14/9/2019;""25"";""15"";""32"";""12"";""48"";""19"";""13"";""28"";""0"";""1026"";""0"";""0"";"""""
"Firenze;15/9/2019;""24"";""15"";""32"";""13"";""53"";""20"";""6"";""15"";""0"";""1023"";""0"";""0"";"""""
"Firenze;16/9/2019;""24"";""15"";""32"";""14"";""58"";""19"";""7"";""17"";""0"";""1019"";""0"";""0"";"""""
"Firenze;17/9/2019;""23"";""16"";""30"";""15"";""63"";""18"";""8"";""22"";""0"";""1016"";""0"";""0"";"""""
"Firenze;18/9/2019;""23"";""18"";""30"";""17"";""68"";""20"";""6"";""11"";""0"";""1015"";""0"";""0"";"""""
"Firenze;19/9/2019;""22"";""20"";""26"";""16"";""69"";""21"";""10"";""26"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Firenze;20/9/2019;""21"";""17"";""25"";""9"";""46"";""20"";""15"";""24"";""0"";""1022"";""0"";""0"";"""""
"Firenze;21/9/2019;""19"";""10"";""28"";""7"";""47"";""21"";""6"";""11"";""0"";""1022"";""0"";""0"";"""""
"Firenze;22/9/2019;""19"";""16"";""22"";""16"";""83"";""18"";""7"";""18"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Firenze;23/9/2019;""19"";""18"";""23"";""18"";""91"";""17"";""6"";""21"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Firenze;24/9/2019;""20"";""13"";""26"";""14"";""74"";""20"";""6"";""18"";""0"";""1013"";""0"";""0"";"""""
"Firenze;25/9/2019;""20"";""17"";""26"";""17"";""79"";""20"";""8"";""21"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Firenze;26/9/2019;""21"";""16"";""27"";""16"";""75"";""21"";""7"";""15"";""0"";""1014"";""0"";""0"";"""""
"Firenze;27/9/2019;""20"";""15"";""24"";""17"";""84"";""20"";""5"";""9"";""0"";""1018"";""0"";""0"";""pioggia """
"Firenze;28/9/2019;""21"";""16"";""27"";""17"";""78"";""19"";""8"";""17"";""0"";""1018"";""0"";""0"";"""""
"Firenze;29/9/2019;""20"";""14"";""26"";""15"";""75"";""20"";""8"";""22"";""0"";""1017"";""0"";""0"";"""""
"Firenze;30/9/2019;""22"";""18"";""27"";""17"";""74"";""20"";""9"";""21"";""0"";""1013"";""0"";""0"";""pioggia """
