LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/5/2020;""17"";""14"";""20"";""12"";""74"";""20"";""12"";""26"";""0"";""1010"";""0"";""0"";""pioggia """
"Firenze;2/5/2020;""19"";""14"";""24"";""14"";""74"";""19"";""10"";""24"";""0"";""1008"";""0"";""0"";""pioggia """
"Firenze;3/5/2020;""19"";""14"";""24"";""10"";""61"";""20"";""10"";""26"";""0"";""1012"";""0"";""0"";"""""
"Firenze;4/5/2020;""18"";""8"";""26"";""5"";""48"";""22"";""6"";""21"";""0"";""1017"";""0"";""0"";"""""
"Firenze;5/5/2020;""17"";""10"";""23"";""12"";""71"";""21"";""9"";""18"";""0"";""1016"";""0"";""0"";"""""
"Firenze;6/5/2020;""19"";""14"";""24"";""12"";""66"";""18"";""9"";""31"";""0"";""1014"";""0"";""0"";"""""
"Firenze;7/5/2020;""19"";""13"";""26"";""4"";""38"";""20"";""10"";""18"";""0"";""1020"";""0"";""0"";"""""
"Firenze;8/5/2020;""19"";""9"";""27"";""8"";""55"";""21"";""7"";""22"";""0"";""1020"";""0"";""0"";"""""
"Firenze;9/5/2020;""18"";""9"";""26"";""10"";""60"";""20"";""7"";""17"";""0"";""1016"";""0"";""0"";"""""
"Firenze;10/5/2020;""21"";""14"";""26"";""10"";""55"";""22"";""7"";""13"";""0"";""1011"";""0"";""0"";"""""
"Firenze;11/5/2020;""17"";""13"";""24"";""14"";""81"";""17"";""7"";""24"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Firenze;12/5/2020;""18"";""15"";""23"";""15"";""80"";""19"";""10"";""22"";""0"";""1010"";""0"";""0"";""pioggia """
"Firenze;13/5/2020;""19"";""12"";""26"";""13"";""69"";""20"";""9"";""22"";""0"";""1010"";""0"";""0"";"""""
"Firenze;14/5/2020;""22"";""17"";""28"";""17"";""72"";""19"";""6"";""15"";""0"";""1006"";""0"";""0"";"""""
"Firenze;15/5/2020;""19"";""17"";""22"";""15"";""75"";""20"";""12"";""21"";""0"";""1012"";""0"";""0"";""pioggia """
"Firenze;16/5/2020;""18"";""14"";""22"";""14"";""78"";""22"";""6"";""17"";""0"";""1016"";""0"";""0"";"""""
"Firenze;17/5/2020;""23"";""16"";""28"";""15"";""62"";""20"";""9"";""17"";""0"";""1014"";""0"";""0"";"""""
"Firenze;18/5/2020;""21"";""17"";""26"";""14"";""66"";""20"";""11"";""30"";""0"";""1016"";""0"";""0"";""pioggia """
"Firenze;19/5/2020;""21"";""18"";""25"";""15"";""65"";""20"";""11"";""21"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Firenze;20/5/2020;""20"";""16"";""22"";""13"";""68"";""19"";""13"";""22"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Firenze;21/5/2020;""21"";""14"";""26"";""10"";""50"";""21"";""13"";""24"";""0"";""1017"";""0"";""0"";"""""
"Firenze;22/5/2020;""21"";""12"";""28"";""11"";""54"";""20"";""7"";""18"";""0"";""1023"";""0"";""0"";"""""
"Firenze;23/5/2020;""21"";""14"";""28"";""11"";""57"";""20"";""11"";""26"";""0"";""1024"";""0"";""0"";"""""
"Firenze;24/5/2020;""22"";""17"";""27"";""14"";""61"";""20"";""9"";""21"";""0"";""1023"";""0"";""0"";""pioggia """
"Firenze;25/5/2020;""22"";""13"";""28"";""8"";""43"";""18"";""6"";""11"";""0"";""1024"";""0"";""0"";"""""
"Firenze;26/5/2020;""20"";""13"";""26"";""8"";""48"";""20"";""11"";""24"";""0"";""1024"";""0"";""0"";"""""
"Firenze;27/5/2020;""19"";""11"";""25"";""6"";""43"";""21"";""11"";""21"";""0"";""1028"";""0"";""0"";"""""
"Firenze;28/5/2020;""19"";""9"";""26"";""7"";""48"";""20"";""7"";""21"";""0"";""1024"";""0"";""0"";"""""
"Firenze;29/5/2020;""16"";""13"";""20"";""9"";""62"";""20"";""15"";""35"";""0"";""1019"";""0"";""0"";""pioggia """
"Firenze;30/5/2020;""21"";""15"";""24"";""9"";""62"";""20"";""9"";""22"";""0"";""1015"";""0"";""0"";"""""
"Firenze;31/5/2020;""17"";""11"";""24"";""10"";""64"";""21"";""5"";""13"";""0"";""1015"";""0"";""0"";""pioggia """
