"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"10";"9";"11";"89"
"2010-01-02";"8";"5";"13";"73"
"2010-01-03";"4";"-1";"8";"56"
"2010-01-04";"2";"2";"4";"83"
"2010-01-05";"4";"2";"5";"92"
"2010-01-06";"6";"4";"8";"88"
"2010-01-07";"8";"4";"11";"82"
"2010-01-08";"9";"7";"12";"91"
"2010-01-09";"8";"6";"10";"84"
"2010-01-10";"6";"4";"7";"83"
"2010-01-11";"5";"4";"7";"87"
"2010-01-12";"5";"4";"7";"89"
"2010-01-13";"6";"3";"10";"80"
"2010-01-14";"5";"0";"10";"78"
"2010-01-15";"8";"4";"10";"65"
"2010-01-16";"6";"2";"9";"60"
"2010-01-17";"4";"2";"6";"84"
"2010-01-19";"3";"-3";"11";"76"
"2010-01-20";"2";"-3";"6";"79"
"2010-01-21";"6";"0";"12";"62"
"2010-01-22";"3";"-3";"9";"72"
"2010-01-23";"4";"-1";"9";"59"
"2010-01-24";"2";"-4";"8";"77"
"2010-01-25";"6";"4";"10";"68"
"2010-01-26";"5";"3";"6";"65"
"2010-01-27";"5";"2";"8";"53"
"2010-01-28";"1";"-4";"7";"68"
"2010-01-29";"1";"-4";"5";"81"
"2010-01-30";"6";"4";"10";"87"
"2010-01-31";"3";"0";"5";"61"
"2010-02-01";"1";"-5";"8";"60"
"2010-02-02";"1";"-5";"8";"67"
"2010-02-03";"3";"-1";"6";"83"
"2010-02-04";"8";"4";"12";"83"
"2010-02-05";"9";"7";"10";"84"
"2010-02-06";"7";"5";"8";"80"
"2010-02-07";"8";"5";"11";"55"
"2010-02-08";"4";"-1";"10";"63"
"2010-02-09";"4";"-2";"10";"69"
"2010-02-10";"6";"4";"8";"65"
"2010-02-11";"4";"1";"7";"77"
"2010-02-12";"3";"-2";"6";"81"
"2010-02-13";"3";"-3";"9";"85"
"2010-02-14";"4";"-1";"10";"79"
"2010-02-16";"7";"5";"9";"76"
"2010-02-17";"10";"5";"15";"75"
"2010-02-18";"12";"9";"15";"88"
"2010-02-19";"12";"9";"14";"87"
"2010-02-20";"10";"4";"11";"75"
"2010-02-21";"6";"0";"13";"82"
"2010-02-22";"10";"7";"13";"85"
"2010-02-23";"11";"9";"15";"90"
"2010-02-24";"11";"7";"15";"87"
"2010-02-25";"11";"6";"16";"81"
"2010-02-26";"13";"8";"16";"78"
"2010-02-27";"10";"2";"15";"76"
"2010-02-28";"10";"7";"14";"79"
"2010-03-01";"12";"8";"16";"77"
"2010-03-02";"11";"7";"16";"78"
"2010-03-03";"8";"6";"10";"91"
"2010-03-04";"8";"7";"9";"72"
"2010-03-05";"6";"4";"8";"60"
"2010-03-06";"5";"-2";"10";"56"
"2010-03-07";"5";"0";"9";"62"
"2010-03-08";"4";"2";"5";"49"
"2010-03-09";"3";"2";"4";"69"
"2010-03-10";"4";"3";"7";"67"
"2010-03-11";"4";"0";"7";"78"
"2010-03-12";"4";"0";"8";"91"
"2010-03-13";"5";"0";"13";"80"
"2010-03-14";"7";"-1";"15";"75"
"2010-03-15";"9";"2";"16";"67"
"2010-03-16";"7";"-1";"15";"65"
"2010-03-17";"8";"1";"16";"72"
"2010-03-19";"11";"6";"15";"76"
"2010-03-20";"11";"7";"13";"86"
"2010-03-21";"13";"11";"16";"85"
"2010-03-22";"13";"10";"17";"85"
"2010-03-23";"13";"6";"21";"75"
"2010-03-24";"13";"7";"20";"75"
"2010-03-25";"14";"8";"19";"75"
"2010-03-26";"14";"11";"19";"79"
"2010-03-27";"14";"10";"17";"68"
"2010-03-28";"13";"8";"18";"73"
"2010-03-29";"14";"8";"20";"67"
"2010-03-30";"13";"8";"18";"82"
"2010-03-31";"13";"11";"16";"63"
"2010-04-01";"12";"6";"17";"69"
"2010-04-02";"10";"6";"15";"77"
"2010-04-03";"12";"6";"16";"73"
"2010-04-04";"9";"5";"14";"87"
"2010-04-05";"10";"6";"16";"79"
"2010-04-06";"11";"3";"19";"71"
"2010-04-07";"11";"4";"22";"70"
"2010-04-08";"14";"6";"22";"56"
"2010-04-09";"15";"6";"22";"53"
"2010-04-10";"15";"6";"22";"56"
"2010-04-11";"9";"5";"12";"70"
"2010-04-12";"12";"7";"16";"51"
"2010-04-13";"12";"6";"16";"57"
"2010-04-14";"11";"4";"17";"68"
"2010-04-15";"12";"4";"20";"63"
"2010-04-16";"13";"8";"19";"61"
"2010-04-17";"13";"8";"17";"67"
"2010-04-18";"12";"4";"20";"75"
"2010-04-19";"13";"6";"20";"77"
"2010-04-20";"14";"10";"20";"79"
"2010-04-21";"15";"11";"19";"76"
"2010-04-22";"16";"9";"22";"74"
"2010-04-23";"14";"12";"16";"89"
"2010-04-24";"16";"13";"19";"73"
"2010-04-25";"19";"15";"23";"61"
"2010-04-26";"19";"12";"26";"64"
"2010-04-27";"18";"12";"25";"68"
"2010-04-28";"20";"13";"25";"58"
"2010-04-29";"18";"9";"26";"56"
"2010-04-30";"17";"10";"24";"64"
"2010-05-01";"17";"9";"24";"65"
"2010-05-02";"15";"14";"17";"83"
"2010-05-03";"17";"13";"21";"80"
"2010-05-04";"15";"12";"20";"93"
"2010-05-05";"14";"10";"17";"93"
"2010-05-06";"12";"11";"16";"87"
"2010-05-07";"13";"10";"16";"84"
"2010-05-08";"14";"10";"18";"79"
"2010-05-09";"15";"9";"21";"76"
"2010-05-10";"17";"13";"21";"81"
"2010-05-11";"16";"14";"19";"90"
"2010-05-12";"15";"12";"20";"89"
"2010-05-13";"16";"12";"20";"80"
"2010-05-14";"15";"11";"20";"80"
"2010-05-15";"13";"11";"14";"89"
"2010-05-16";"14";"11";"19";"82"
"2010-05-17";"17";"13";"21";"75"
"2010-05-18";"16";"9";"23";"74"
"2010-05-19";"14";"11";"19";"76"
"2010-05-20";"16";"8";"21";"59"
"2010-05-21";"17";"9";"24";"60"
"2010-05-22";"19";"11";"26";"57"
"2010-05-23";"19";"10";"27";"66"
"2010-05-24";"3";"0";"27";"56"
"2010-05-25";"20";"13";"26";"64"
"2010-05-26";"19";"11";"27";"61"
"2010-05-27";"19";"11";"24";"69"
"2010-05-28";"20";"15";"26";"69"
"2010-05-29";"20";"12";"27";"67"
"2010-05-30";"20";"15";"25";"72"
"2010-05-31";"20";"16";"26";"69"
"2010-06-01";"19";"10";"27";"56"
"2010-06-02";"18";"15";"22";"79"
"2010-06-03";"18";"14";"23";"76"
"2010-06-04";"21";"14";"28";"57"
"2010-06-05";"22";"13";"30";"61"
"2010-06-06";"23";"15";"29";"64"
"2010-06-07";"22";"14";"28";"64"
"2010-06-08";"23";"16";"29";"65"
"2010-06-09";"24";"16";"32";"58"
"2010-06-10";"25";"17";"32";"57"
"2010-06-11";"25";"17";"33";"54"
"2010-06-12";"24";"18";"30";"60"
"2010-06-13";"23";"19";"28";"71"
"2010-06-14";"22";"15";"28";"65"
"2010-06-15";"22";"19";"28";"76"
"2010-06-16";"21";"17";"24";"82"
"2010-06-17";"19";"15";"23";"88"
"2010-06-18";"20";"16";"25";"75"
"2010-06-19";"18";"16";"22";"86"
"2010-06-20";"17";"15";"21";"84"
"2010-06-21";"17";"14";"21";"72"
"2010-06-22";"19";"12";"27";"68"
"2010-06-23";"20";"15";"27";"69"
"2010-06-24";"22";"14";"28";"66"
"2010-06-25";"22";"16";"28";"67"
"2010-06-26";"22";"15";"30";"71"
"2010-06-27";"25";"16";"30";"59"
"2010-06-28";"25";"17";"32";"61"
"2010-06-29";"25";"18";"32";"63"
"2010-06-30";"26";"18";"33";"60"
"2010-07-01";"27";"18";"34";"56"
"2010-07-02";"27";"20";"34";"58"
"2010-07-03";"27";"19";"35";"54"
"2010-07-04";"26";"20";"32";"65"
"2010-07-05";"26";"20";"32";"70"
"2010-07-06";"25";"21";"32";"71"
"2010-07-07";"26";"20";"32";"63"
"2010-07-08";"27";"19";"36";"50"
"2010-07-09";"28";"19";"35";"53"
"2010-07-10";"29";"21";"36";"60"
"2010-07-11";"29";"23";"35";"62"
"2010-07-12";"29";"23";"34";"64"
"2010-07-13";"27";"22";"33";"59"
"2010-07-14";"28";"21";"35";"58"
"2010-07-15";"28";"20";"35";"54"
"2010-07-16";"29";"20";"36";"56"
"2010-07-17";"27";"20";"34";"63"
"2010-07-18";"28";"23";"33";"56"
"2010-07-19";"27";"23";"32";"50"
"2010-07-20";"28";"22";"34";"46"
"2010-07-21";"28";"22";"35";"54"
"2010-07-22";"28";"21";"35";"59"
"2010-07-23";"28";"21";"34";"67"
"2010-07-24";"27";"21";"32";"45"
"2010-07-25";"24";"17";"31";"44"
"2010-07-26";"24";"18";"28";"38"
"2010-07-27";"20";"15";"27";"62"
"2010-07-28";"22";"14";"31";"63"
"2010-07-29";"21";"16";"25";"81"
"2010-07-30";"21";"14";"27";"65"
"2010-07-31";"23";"18";"28";"51"
"2010-08-01";"24";"15";"32";"56"
"2010-08-02";"25";"17";"32";"55"
"2010-08-03";"24";"18";"29";"66"
"2010-08-04";"25";"18";"30";"61"
"2010-08-05";"20";"16";"25";"80"
"2010-08-06";"20";"15";"27";"70"
"2010-08-07";"22";"15";"29";"66"
"2010-08-08";"23";"17";"30";"59"
"2010-08-09";"23";"16";"29";"68"
"2010-08-10";"25";"20";"31";"67"
"2010-08-11";"25";"20";"31";"72"
"2010-08-12";"24";"19";"30";"68"
"2010-08-13";"22";"18";"25";"80"
"2010-08-14";"20";"17";"22";"91"
