LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/10/2010;""18"";""16"";""21"";""14"";""78"";""10"";""8"";""13"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Genova;2/10/2010;""18"";""16"";""20"";""14"";""79"";""10"";""6"";""12"";""0"";""1018"";""0"";""0"";""pioggia """
"Genova;3/10/2010;""20"";""17"";""23"";""15"";""75"";""10"";""8"";""17"";""0"";""1017"";""0"";""0"";""pioggia """
"Genova;4/10/2010;""20"";""16"";""23"";""17"";""87"";""7"";""17"";""33"";""36"";""1009"";""0"";""0"";""pioggia temporale """
"Genova;5/10/2010;""20"";""18"";""21"";""16"";""80"";""10"";""11"";""17"";""0"";""1009"";""0"";""0"";"""""
"Genova;6/10/2010;""19"";""16"";""22"";""15"";""77"";""10"";""6"";""10"";""0"";""1014"";""0"";""0"";"""""
"Genova;7/10/2010;""21"";""18"";""25"";""16"";""71"";""10"";""12"";""21"";""28"";""1018"";""0"";""0"";"""""
"Genova;8/10/2010;""20"";""17"";""22"";""14"";""68"";""10"";""13"";""20"";""0"";""1019"";""0"";""0"";"""""
"Genova;9/10/2010;""17"";""15"";""20"";""10"";""64"";""0"";""14"";""20"";""0"";""1018"";""0"";""0"";"""""
"Genova;10/10/2010;""16"";""13"";""18"";""8"";""59"";""11"";""13"";""21"";""0"";""1010"";""0"";""0"";"""""
"Genova;11/10/2010;""16"";""14"";""18"";""7"";""54"";""10"";""14"";""18"";""29"";""1009"";""0"";""0"";""pioggia """
"Genova;12/10/2010;""17"";""14"";""21"";""7"";""54"";""10"";""15"";""22"";""22"";""1010"";""0"";""0"";"""""
"Genova;13/10/2010;""15"";""13"";""17"";""8"";""65"";""9"";""15"";""22"";""30"";""1008"";""0"";""0"";""pioggia """
"Genova;14/10/2010;""17"";""14"";""22"";""10"";""62"";""8"";""11"";""20"";""23"";""1008"";""0"";""0"";"""""
"Genova;15/10/2010;""18"";""15"";""21"";""11"";""67"";""10"";""9"";""17"";""0"";""1007"";""0"";""0"";"""""
"Genova;16/10/2010;""16"";""12"";""18"";""11"";""74"";""8"";""10"";""15"";""0"";""1005"";""0"";""0"";""pioggia """
"Genova;17/10/2010;""13"";""11"";""16"";""6"";""62"";""10"";""13"";""18"";""0"";""1007"";""0"";""0"";""pioggia """
"Genova;18/10/2010;""14"";""11"";""17"";""5"";""57"";""10"";""13"";""22"";""29"";""1010"";""0"";""0"";""pioggia """
"Genova;19/10/2010;""16"";""12"";""21"";""6"";""52"";""0"";""11"";""16"";""0"";""1006"";""0"";""0"";"""""
"Genova;20/10/2010;""16"";""13"";""21"";""7"";""58"";""10"";""10"";""15"";""25"";""1007"";""0"";""0"";"""""
"Genova;21/10/2010;""15"";""13"";""20"";""4"";""40"";""0"";""12"";""18"";""0"";""1019"";""0"";""0"";"""""
"Genova;22/10/2010;""15"";""12"";""19"";""5"";""51"";""10"";""12"";""20"";""0"";""1023"";""0"";""0"";"""""
"Genova;23/10/2010;""15"";""13"";""17"";""8"";""65"";""10"";""10"";""16"";""0"";""1018"";""0"";""0"";"""""
"Genova;24/10/2010;""15"";""13"";""18"";""11"";""75"";""9"";""8"";""13"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Genova;25/10/2010;""12"";""10"";""15"";""8"";""74"";""9"";""15"";""24"";""36"";""1002"";""0"";""0"";""pioggia temporale """
"Genova;26/10/2010;""13"";""11"";""16"";""3"";""50"";""10"";""10"";""21"";""28"";""1016"";""0"";""0"";"""""
"Genova;27/10/2010;""11"";""8"";""14"";""2"";""51"";""0"";""14"";""23"";""30"";""1022"";""0"";""0"";"""""
"Genova;28/10/2010;""13"";""10"";""17"";""3"";""50"";""0"";""12"";""23"";""25"";""1022"";""0"";""0"";"""""
"Genova;29/10/2010;""15"";""11"";""19"";""6"";""55"";""10"";""12"";""22"";""0"";""1020"";""0"";""0"";"""""
"Genova;30/10/2010;""15"";""12"";""18"";""9"";""70"";""10"";""12"";""32"";""35"";""1016"";""0"";""0"";""pioggia """
"Genova;31/10/2010;""14"";""12"";""17"";""11"";""84"";""8"";""13"";""35"";""0"";""1007"";""0"";""0"";""pioggia temporale """
