LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/6/2011;""18"";""16"";""20"";""14"";""75"";""10"";""12"";""21"";""24"";""1014"";""0"";""0"";""pioggia temporale """
"Genova;2/6/2011;""22"";""18"";""27"";""15"";""64"";""11"";""13"";""21"";""0"";""1018"";""0"";""0"";"""""
"Genova;3/6/2011;""23"";""21"";""27"";""15"";""61"";""11"";""15"";""21"";""0"";""1018"";""0"";""0"";""pioggia temporale """
"Genova;4/6/2011;""23"";""20"";""26"";""15"";""62"";""12"";""16"";""21"";""30"";""1015"";""0"";""0"";"""""
"Genova;5/6/2011;""21"";""16"";""25"";""15"";""68"";""11"";""12"";""30"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Genova;6/6/2011;""20"";""17"";""23"";""14"";""68"";""12"";""7"";""14"";""0"";""1009"";""0"";""0"";""pioggia """
"Genova;7/6/2011;""20"";""18"";""21"";""14"";""70"";""10"";""9"";""18"";""0"";""1006"";""0"";""0"";""pioggia """
"Genova;8/6/2011;""20"";""18"";""21"";""16"";""79"";""11"";""12"";""22"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Genova;9/6/2011;""20"";""18"";""23"";""15"";""74"";""10"";""14"";""23"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Genova;10/6/2011;""20"";""18"";""23"";""15"";""70"";""11"";""9"";""14"";""0"";""1014"";""0"";""0"";"""""
"Genova;11/6/2011;""21"";""19"";""23"";""16"";""75"";""11"";""9"";""17"";""0"";""1014"";""0"";""0"";"""""
"Genova;12/6/2011;""21"";""19"";""23"";""16"";""72"";""11"";""5"";""9"";""0"";""1016"";""0"";""0"";""pioggia """
"Genova;13/6/2011;""21"";""20"";""23"";""16"";""74"";""11"";""6"";""9"";""0"";""1016"";""0"";""0"";"""""
"Genova;14/6/2011;""21"";""19"";""23"";""17"";""75"";""12"";""5"";""9"";""0"";""1016"";""0"";""0"";"""""
"Genova;15/6/2011;""23"";""20"";""25"";""18"";""74"";""13"";""5"";""10"";""0"";""1017"";""0"";""0"";"""""
"Genova;16/6/2011;""22"";""20"";""24"";""18"";""74"";""11"";""7"";""12"";""0"";""1017"";""0"";""0"";"""""
"Genova;17/6/2011;""22"";""21"";""24"";""19"";""80"";""11"";""17"";""22"";""0"";""1016"";""0"";""0"";"""""
"Genova;18/6/2011;""23"";""21"";""25"";""20"";""86"";""10"";""18"";""23"";""0"";""1011"";""0"";""0"";"""""
"Genova;19/6/2011;""22"";""19"";""24"";""17"";""73"";""11"";""8"";""15"";""0"";""1010"";""0"";""0"";"""""
"Genova;20/6/2011;""21"";""18"";""23"";""16"";""69"";""13"";""5"";""10"";""0"";""1016"";""0"";""0"";"""""
"Genova;21/6/2011;""22"";""19"";""24"";""16"";""67"";""27"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Genova;22/6/2011;""23"";""20"";""26"";""16"";""63"";""28"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Genova;23/6/2011;""23"";""22"";""25"";""19"";""77"";""10"";""10"";""18"";""0"";""1016"";""0"";""0"";"""""
"Genova;24/6/2011;""23"";""22"";""25"";""18"";""71"";""11"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Genova;25/6/2011;""25"";""21"";""30"";""16"";""59"";""17"";""10"";""20"";""0"";""1019"";""0"";""0"";"""""
"Genova;26/6/2011;""24"";""21"";""26"";""17"";""61"";""28"";""6"";""14"";""0"";""1021"";""0"";""0"";"""""
"Genova;27/6/2011;""24"";""21"";""26"";""17"";""66"";""14"";""6"";""9"";""0"";""1019"";""0"";""0"";"""""
"Genova;28/6/2011;""25"";""22"";""26"";""20"";""73"";""10"";""5"";""8"";""0"";""1015"";""0"";""0"";"""""
"Genova;29/6/2011;""25"";""23"";""26"";""21"";""78"";""10"";""6"";""15"";""0"";""1012"";""0"";""0"";""pioggia """
"Genova;30/6/2011;""25"";""21"";""27"";""20"";""72"";""12"";""7"";""16"";""0"";""1011"";""0"";""0"";"""""
