LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/3/2011;""10"";""8"";""12"";""0"";""42"";""10"";""10"";""17"";""30"";""1016"";""0"";""0"";"""""
"Genova;2/3/2011;""8"";""8"";""10"";""0"";""34"";""10"";""13"";""18"";""31"";""1018"";""0"";""0"";"""""
"Genova;3/3/2011;""6"";""4"";""8"";""0"";""49"";""10"";""14"";""18"";""30"";""1023"";""0"";""0"";""pioggia """
"Genova;4/3/2011;""6"";""3"";""9"";""1"";""62"";""11"";""19"";""28"";""32"";""1025"";""0"";""0"";""pioggia """
"Genova;5/3/2011;""10"";""6"";""13"";""1"";""51"";""10"";""16"";""25"";""0"";""1017"";""0"";""0"";"""""
"Genova;6/3/2011;""11"";""8"";""15"";""6"";""60"";""16"";""6"";""12"";""0"";""1016"";""0"";""0"";"""""
"Genova;7/3/2011;""9"";""6"";""11"";""1"";""48"";""9"";""13"";""20"";""29"";""1027"";""0"";""0"";"""""
"Genova;8/3/2011;""7"";""4"";""12"";""1"";""34"";""8"";""11"";""16"";""27"";""1032"";""0"";""0"";"""""
"Genova;9/3/2011;""8"";""5"";""11"";""1"";""43"";""11"";""7"";""14"";""0"";""1025"";""0"";""0"";"""""
"Genova;10/3/2011;""9"";""6"";""11"";""2"";""55"";""10"";""9"";""13"";""0"";""1024"";""0"";""0"";"""""
"Genova;11/3/2011;""10"";""9"";""11"";""6"";""74"";""8"";""12"";""17"";""0"";""1023"";""0"";""0"";""pioggia """
"Genova;12/3/2011;""11"";""9"";""12"";""5"";""67"";""10"";""7"";""13"";""0"";""1020"";""0"";""0"";""pioggia """
"Genova;13/3/2011;""9"";""8"";""10"";""5"";""74"";""8"";""13"";""17"";""23"";""0"";""0"";""0"";""pioggia """
"Genova;14/3/2011;""11"";""9"";""14"";""6"";""68"";""11"";""13"";""18"";""0"";""0"";""0"";""0"";""pioggia """
"Genova;15/3/2011;""12"";""11"";""12"";""8"";""78"";""8"";""15"";""20"";""27"";""0"";""0"";""0"";""pioggia """
"Genova;16/3/2011;""12"";""11"";""13"";""9"";""81"";""8"";""7"";""17"";""0"";""1004"";""0"";""0"";""pioggia """
"Genova;17/3/2011;""12"";""11"";""14"";""9"";""81"";""11"";""4"";""13"";""0"";""1005"";""0"";""0"";""pioggia """
"Genova;18/3/2011;""13"";""10"";""17"";""9"";""76"";""18"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Genova;19/3/2011;""13"";""11"";""15"";""8"";""74"";""10"";""6"";""23"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Genova;20/3/2011;""13"";""10"";""17"";""6"";""54"";""13"";""9"";""15"";""0"";""1023"";""0"";""0"";""pioggia temporale """
"Genova;21/3/2011;""12"";""9"";""16"";""2"";""40"";""11"";""10"";""20"";""27"";""1028"";""0"";""0"";"""""
"Genova;22/3/2011;""14"";""9"";""18"";""0"";""31"";""27"";""12"";""17"";""0"";""1032"";""0"";""0"";"""""
"Genova;23/3/2011;""14"";""12"";""18"";""7"";""48"";""13"";""8"";""14"";""0"";""1032"";""0"";""0"";"""""
"Genova;24/3/2011;""13"";""10"";""17"";""6"";""53"";""25"";""4"";""9"";""0"";""1032"";""0"";""0"";"""""
"Genova;25/3/2011;""13"";""10"";""16"";""9"";""63"";""11"";""8"";""15"";""0"";""1024"";""0"";""0"";"""""
"Genova;26/3/2011;""13"";""12"";""15"";""8"";""71"";""10"";""12"";""16"";""0"";""1018"";""0"";""0"";""pioggia """
"Genova;27/3/2011;""13"";""12"";""15"";""10"";""81"";""9"";""12"";""16"";""0"";""1016"";""0"";""0"";""pioggia """
"Genova;28/3/2011;""14"";""12"";""16"";""9"";""75"";""10"";""7"";""15"";""0"";""1011"";""0"";""0"";""pioggia """
"Genova;29/3/2011;""14"";""11"";""17"";""9"";""71"";""13"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Genova;30/3/2011;""14"";""10"";""16"";""9"";""71"";""11"";""5"";""9"";""0"";""1018"";""0"";""0"";"""""
"Genova;31/3/2011;""14"";""11"";""17"";""9"";""70"";""18"";""5"";""9"";""0"";""1022"";""0"";""0"";"""""
