LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/8/2012;""26"";""24"";""28"";""22"";""77"";""10"";""8"";""20"";""0"";""1015"";""0"";""0"";"""""
"Genova;2/8/2012;""26"";""24"";""28"";""21"";""73"";""10"";""11"";""26"";""0"";""1014"";""0"";""0"";"""""
"Genova;3/8/2012;""25"";""23"";""27"";""21"";""77"";""10"";""8"";""13"";""0"";""1014"";""0"";""0"";"""""
"Genova;4/8/2012;""26"";""23"";""28"";""20"";""71"";""10"";""8"";""13"";""0"";""1013"";""0"";""0"";"""""
"Genova;5/8/2012;""26"";""23"";""28"";""21"";""73"";""10"";""10"";""20"";""0"";""1011"";""0"";""0"";"""""
"Genova;6/8/2012;""27"";""26"";""29"";""24"";""85"";""9"";""22"";""33"";""0"";""1014"";""0"";""0"";"""""
"Genova;7/8/2012;""25"";""23"";""28"";""21"";""74"";""10"";""13"";""24"";""0"";""1018"";""0"";""0"";"""""
"Genova;8/8/2012;""24"";""20"";""27"";""17"";""67"";""0"";""10"";""17"";""0"";""1018"";""0"";""0"";"""""
"Genova;9/8/2012;""26"";""23"";""28"";""20"";""72"";""10"";""8"";""19"";""0"";""1017"";""0"";""0"";"""""
"Genova;10/8/2012;""28"";""24"";""34"";""19"";""60"";""10"";""15"";""30"";""0"";""1016"";""0"";""0"";"""""
"Genova;11/8/2012;""27"";""24"";""29"";""17"";""53"";""10"";""12"";""22"";""0"";""1014"";""0"";""0"";"""""
"Genova;12/8/2012;""25"";""22"";""28"";""17"";""59"";""10"";""9"";""20"";""30"";""1012"";""0"";""0"";"""""
"Genova;13/8/2012;""26"";""24"";""29"";""19"";""65"";""10"";""13"";""28"";""0"";""1011"";""0"";""0"";"""""
"Genova;14/8/2012;""26"";""23"";""28"";""20"";""69"";""10"";""10"";""17"";""0"";""1012"";""0"";""0"";"""""
"Genova;15/8/2012;""26"";""23"";""28"";""20"";""73"";""10"";""9"";""15"";""0"";""1014"";""0"";""0"";"""""
"Genova;16/8/2012;""26"";""24"";""28"";""21"";""75"";""10"";""11"";""24"";""0"";""1015"";""0"";""0"";"""""
"Genova;17/8/2012;""26"";""24"";""29"";""22"";""75"";""10"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Genova;18/8/2012;""29"";""26"";""32"";""21"";""60"";""0"";""10"";""24"";""0"";""1018"";""0"";""0"";"""""
"Genova;19/8/2012;""29"";""26"";""32"";""21"";""60"";""0"";""9"";""19"";""0"";""1019"";""0"";""0"";"""""
"Genova;20/8/2012;""29"";""27"";""31"";""23"";""69"";""0"";""8"";""26"";""0"";""1019"";""0"";""0"";"""""
"Genova;21/8/2012;""28"";""26"";""30"";""23"";""75"";""10"";""9"";""15"";""0"";""1017"";""0"";""0"";"""""
"Genova;22/8/2012;""27"";""25"";""30"";""23"";""79"";""10"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Genova;23/8/2012;""28"";""26"";""30"";""23"";""77"";""10"";""9"";""15"";""0"";""1015"";""0"";""0"";"""""
"Genova;24/8/2012;""28"";""26"";""30"";""24"";""80"";""10"";""21"";""30"";""0"";""1012"";""0"";""0"";"""""
"Genova;25/8/2012;""28"";""27"";""30"";""25"";""83"";""10"";""29"";""41"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Genova;26/8/2012;""27"";""24"";""30"";""21"";""71"";""10"";""17"";""39"";""0"";""1010"";""0"";""0"";""pioggia """
"Genova;27/8/2012;""25"";""14"";""29"";""13"";""49"";""10"";""18"";""35"";""0"";""952"";""0"";""0"";"""""
"Genova;28/8/2012;""26"";""23"";""29"";""15"";""52"";""0"";""14"";""28"";""0"";""1019"";""0"";""0"";"""""
"Genova;29/8/2012;""25"";""22"";""28"";""16"";""57"";""10"";""13"";""28"";""0"";""1019"";""0"";""0"";"""""
"Genova;30/8/2012;""25"";""23"";""27"";""20"";""75"";""10"";""15"";""24"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Genova;31/8/2012;""23"";""19"";""28"";""13"";""57"";""10"";""24"";""41"";""63"";""1010"";""0"";""0"";""pioggia temporale """
