LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/12/2013;""10"";""7"";""13"";""0"";""35"";""0"";""18"";""32"";""54"";""1017"";""0"";""0"";"""""
"Genova;2/12/2013;""12"";""9"";""16"";""0"";""27"";""10"";""13"";""22"";""44"";""1020"";""0"";""0"";""pioggia """
"Genova;3/12/2013;""11"";""8"";""16"";""0"";""33"";""0"";""14"";""26"";""33"";""1025"";""0"";""0"";"""""
"Genova;4/12/2013;""11"";""8"";""15"";""7"";""54"";""10"";""8"";""30"";""0"";""1024"";""0"";""0"";"""""
"Genova;5/12/2013;""12"";""9"";""15"";""7"";""73"";""10"";""7"";""11"";""0"";""1021"";""0"";""0"";"""""
"Genova;6/12/2013;""13"";""10"";""15"";""8"";""69"";""10"";""13"";""22"";""0"";""1015"";""0"";""0"";"""""
"Genova;7/12/2013;""11"";""7"";""16"";""8"";""66"";""10"";""11"";""20"";""0"";""1021"";""0"";""0"";"""""
"Genova;8/12/2013;""12"";""10"";""14"";""8"";""78"";""10"";""8"";""15"";""0"";""1027"";""0"";""0"";"""""
"Genova;9/12/2013;""13"";""10"";""14"";""9"";""79"";""10"";""9"";""17"";""0"";""1030"";""0"";""0"";"""""
"Genova;10/12/2013;""13"";""11"";""16"";""8"";""75"";""10"";""7"";""9"";""0"";""1032"";""0"";""0"";"""""
"Genova;11/12/2013;""11"";""9"";""15"";""3"";""58"";""0"";""9"";""17"";""0"";""1034"";""0"";""0"";"""""
"Genova;12/12/2013;""11"";""9"";""15"";""5"";""66"";""10"";""8"";""11"";""0"";""1031"";""0"";""0"";"""""
"Genova;13/12/2013;""10"";""7"";""14"";""4"";""70"";""10"";""8"";""11"";""0"";""1026"";""0"";""0"";"""""
"Genova;14/12/2013;""12"";""9"";""14"";""8"";""79"";""10"";""13"";""22"";""0"";""1027"";""0"";""0"";"""""
"Genova;15/12/2013;""12"";""9"";""16"";""5"";""55"";""10"";""10"";""22"";""0"";""1032"";""0"";""0"";"""""
"Genova;16/12/2013;""11"";""8"";""15"";""4"";""49"";""40"";""8"";""11"";""0"";""1034"";""0"";""0"";"""""
"Genova;17/12/2013;""12"";""9"";""16"";""5"";""44"";""44"";""8"";""15"";""0"";""1031"";""0"";""0"";"""""
"Genova;18/12/2013;""11"";""7"";""14"";""8"";""62"";""15"";""14"";""30"";""0"";""1026"";""0"";""0"";"""""
"Genova;19/12/2013;""11"";""6"";""13"";""9"";""82"";""11"";""26"";""37"";""0"";""1021"";""0"";""0"";""pioggia """
"Genova;20/12/2013;""7"";""5"";""9"";""3"";""78"";""9"";""19"";""28"";""0"";""1026"";""0"";""0"";""pioggia """
"Genova;21/12/2013;""10"";""9"";""12"";""6"";""75"";""11"";""13"";""22"";""0"";""1033"";""0"";""0"";""pioggia """
"Genova;22/12/2013;""13"";""11"";""15"";""11"";""85"";""11"";""11"";""26"";""0"";""1030"";""0"";""0"";""pioggia """
"Genova;23/12/2013;""13"";""12"";""14"";""11"";""86"";""10"";""9"";""15"";""0"";""1026"";""0"";""0"";""pioggia """
"Genova;24/12/2013;""13"";""12"";""15"";""11"";""86"";""10"";""17"";""33"";""0"";""1019"";""0"";""0"";""pioggia """
"Genova;25/12/2013;""14"";""13"";""15"";""12"";""86"";""5"";""39"";""52"";""82"";""1003"";""0"";""0"";""pioggia """
"Genova;26/12/2013;""11"";""8"";""14"";""8"";""82"";""8"";""20"";""52"";""0"";""990"";""0"";""0"";""pioggia temporale """
"Genova;27/12/2013;""12"";""9"";""17"";""3"";""50"";""17"";""10"";""19"";""0"";""1008"";""0"";""0"";"""""
"Genova;28/12/2013;""12"";""9"";""14"";""7"";""74"";""10"";""17"";""44"";""0"";""1014"";""0"";""0"";""pioggia """
"Genova;29/12/2013;""10"";""8"";""13"";""5"";""70"";""14"";""12"";""22"";""0"";""1016"";""0"";""0"";""pioggia """
"Genova;30/12/2013;""9"";""8"";""12"";""2"";""58"";""23"";""12"";""19"";""0"";""1024"";""0"";""0"";"""""
"Genova;31/12/2013;""9"";""7"";""13"";""1"";""50"";""51"";""12"";""19"";""0"";""1021"";""0"";""0"";"""""
