LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/2/2014;""8"";""7"";""9"";""5"";""80"";""11"";""13"";""22"";""0"";""1009"";""0"";""0"";""pioggia """
"Genova;2/2/2014;""9"";""8"";""10"";""6"";""79"";""14"";""13"";""24"";""0"";""1008"";""0"";""0"";""pioggia """
"Genova;3/2/2014;""9"";""8"";""10"";""6"";""79"";""12"";""12"";""20"";""26"";""1011"";""0"";""0"";""pioggia """
"Genova;4/2/2014;""10"";""8"";""13"";""6"";""79"";""11"";""8"";""20"";""0"";""1014"";""0"";""0"";""pioggia """
"Genova;5/2/2014;""9"";""5"";""10"";""7"";""86"";""9"";""12"";""28"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Genova;6/2/2014;""9"";""6"";""13"";""4"";""71"";""16"";""9"";""20"";""0"";""1013"";""0"";""0"";"""""
"Genova;7/2/2014;""11"";""7"";""14"";""8"";""83"";""10"";""24"";""48"";""0"";""1011"";""0"";""0"";""pioggia """
"Genova;8/2/2014;""10"";""6"";""13"";""7"";""84"";""12"";""12"";""32"";""0"";""1008"";""0"";""0"";""pioggia """
"Genova;9/2/2014;""10"";""7"";""13"";""5"";""70"";""14"";""11"";""33"";""46"";""1003"";""0"";""0"";""pioggia """
"Genova;10/2/2014;""8"";""6"";""12"";""5"";""78"";""9"";""16"";""35"";""46"";""1002"";""0"";""0"";""pioggia """
"Genova;11/2/2014;""10"";""6"";""14"";""3"";""61"";""18"";""10"";""22"";""0"";""1005"";""0"";""0"";""pioggia """
"Genova;12/2/2014;""11"";""8"";""16"";""5"";""66"";""28"";""11"";""20"";""0"";""1008"";""0"";""0"";"""""
"Genova;13/2/2014;""12"";""9"";""14"";""9"";""79"";""12"";""16"";""33"";""0"";""1009"";""0"";""0"";""pioggia """
"Genova;14/2/2014;""11"";""8"";""15"";""5"";""57"";""24"";""9"";""24"";""0"";""1011"";""0"";""0"";"""""
"Genova;15/2/2014;""10"";""8"";""11"";""8"";""86"";""8"";""10"";""19"";""0"";""1015"";""0"";""0"";""pioggia """
"Genova;16/2/2014;""14"";""11"";""15"";""12"";""93"";""9"";""16"";""30"";""0"";""1014"";""0"";""0"";""pioggia """
"Genova;17/2/2014;""13"";""11"";""14"";""9"";""77"";""10"";""13"";""28"";""35"";""1014"";""0"";""0"";""pioggia """
"Genova;18/2/2014;""12"";""10"";""13"";""6"";""65"";""13"";""17"";""28"";""43"";""1018"";""0"";""0"";"""""
"Genova;19/2/2014;""11"";""10"";""13"";""7"";""72"";""11"";""14"";""28"";""37"";""1012"";""0"";""0"";""pioggia temporale """
"Genova;20/2/2014;""12"";""9"";""15"";""6"";""63"";""18"";""12"";""20"";""0"";""1013"";""0"";""0"";"""""
"Genova;21/2/2014;""11"";""10"";""14"";""7"";""75"";""12"";""9"";""20"";""0"";""1012"";""0"";""0"";""pioggia """
"Genova;22/2/2014;""12"";""9"";""17"";""5"";""53"";""17"";""10"";""32"";""0"";""1013"";""0"";""0"";"""""
"Genova;23/2/2014;""11"";""8"";""15"";""4"";""55"";""28"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Genova;24/2/2014;""12"";""8"";""16"";""2"";""52"";""35"";""10"";""22"";""0"";""1021"";""0"";""0"";"""""
"Genova;25/2/2014;""11"";""7"";""14"";""5"";""65"";""13"";""13"";""32"";""0"";""1020"";""0"";""0"";"""""
"Genova;26/2/2014;""10"";""8"";""13"";""7"";""82"";""11"";""12"";""32"";""0"";""1018"";""0"";""0"";""pioggia grandine temporale """
"Genova;27/2/2014;""9"";""7"";""12"";""5"";""77"";""11"";""14"";""26"";""0"";""1019"";""0"";""0"";""pioggia """
"Genova;28/2/2014;""10"";""7"";""13"";""7"";""79"";""10"";""19"";""43"";""0"";""1009"";""0"";""0"";""pioggia temporale """
