LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/5/2014;""16"";""13"";""19"";""11"";""71"";""13"";""8"";""19"";""0"";""1010"";""0"";""0"";"""""
"Genova;2/5/2014;""14"";""12"";""17"";""10"";""77"";""11"";""12"";""30"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Genova;3/5/2014;""18"";""14"";""24"";""9"";""54"";""14"";""10"";""24"";""0"";""1007"";""0"";""0"";""pioggia """
"Genova;4/5/2014;""18"";""15"";""24"";""9"";""51"";""19"";""10"";""24"";""0"";""1010"";""0"";""0"";"""""
"Genova;5/5/2014;""16"";""13"";""19"";""11"";""68"";""23"";""8"";""13"";""0"";""1017"";""0"";""0"";"""""
"Genova;6/5/2014;""16"";""14"";""19"";""13"";""78"";""13"";""13"";""20"";""0"";""1020"";""0"";""0"";"""""
"Genova;7/5/2014;""17"";""15"";""20"";""14"";""80"";""13"";""22"";""32"";""0"";""1018"";""0"";""0"";""pioggia """
"Genova;8/5/2014;""17"";""13"";""19"";""13"";""78"";""15"";""8"";""11"";""0"";""1018"";""0"";""0"";"""""
"Genova;9/5/2014;""17"";""14"";""20"";""13"";""76"";""16"";""7"";""11"";""0"";""1017"";""0"";""0"";"""""
"Genova;10/5/2014;""18"";""15"";""20"";""14"";""79"";""10"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Genova;11/5/2014;""18"";""16"";""20"";""16"";""84"";""9"";""18"";""32"";""37"";""1010"";""0"";""0"";""pioggia """
"Genova;12/5/2014;""17"";""14"";""20"";""11"";""48"";""16"";""12"";""20"";""0"";""1012"";""0"";""0"";"""""
"Genova;13/5/2014;""17"";""14"";""23"";""9"";""61"";""11"";""10"";""30"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Genova;14/5/2014;""19"";""12"";""24"";""6"";""30"";""15"";""14"";""28"";""50"";""1017"";""0"";""0"";"""""
"Genova;15/5/2014;""20"";""16"";""23"";""0"";""15"";""23"";""21"";""37"";""54"";""1018"";""0"";""0"";"""""
"Genova;16/5/2014;""18"";""15"";""23"";""9"";""40"";""26"";""11"";""26"";""0"";""1014"";""0"";""0"";"""""
"Genova;17/5/2014;""17"";""13"";""20"";""11"";""69"";""13"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Genova;18/5/2014;""17"";""13"";""20"";""13"";""75"";""13"";""11"";""22"";""0"";""1016"";""0"";""0"";"""""
"Genova;19/5/2014;""17"";""14"";""21"";""10"";""61"";""13"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Genova;20/5/2014;""19"";""16"";""22"";""11"";""57"";""13"";""7"";""13"";""0"";""1018"";""0"";""0"";"""""
"Genova;21/5/2014;""19"";""17"";""21"";""13"";""67"";""14"";""7"";""9"";""0"";""1018"";""0"";""0"";"""""
"Genova;22/5/2014;""20"";""17"";""23"";""14"";""69"";""12"";""10"";""26"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Genova;23/5/2014;""19"";""17"";""20"";""16"";""86"";""8"";""16"";""30"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Genova;24/5/2014;""18"";""15"";""20"";""14"";""77"";""11"";""15"";""26"";""0"";""1016"";""0"";""0"";"""""
"Genova;25/5/2014;""18"";""13"";""22"";""9"";""55"";""22"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Genova;26/5/2014;""20"";""18"";""22"";""13"";""64"";""13"";""11"";""20"";""33"";""1014"";""0"";""0"";"""""
"Genova;27/5/2014;""18"";""16"";""19"";""12"";""69"";""12"";""14"";""28"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Genova;28/5/2014;""18"";""15"";""21"";""13"";""71"";""12"";""16"";""28"";""0"";""1011"";""0"";""0"";"""""
"Genova;29/5/2014;""18"";""15"";""20"";""13"";""73"";""12"";""8"";""13"";""0"";""1012"";""0"";""0"";"""""
"Genova;30/5/2014;""19"";""16"";""20"";""14"";""74"";""11"";""8"";""11"";""0"";""1013"";""0"";""0"";"""""
"Genova;31/5/2014;""18"";""16"";""21"";""14"";""79"";""11"";""8"";""20"";""0"";""1015"";""0"";""0"";""pioggia temporale """
