LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/4/2015;""17"";""13"";""21"";""7"";""33"";""36"";""14"";""26"";""41"";""1013"";""0"";""0"";"""""
"Genova;2/4/2015;""14"";""12"";""16"";""6"";""39"";""23"";""10"";""26"";""0"";""1015"";""0"";""0"";"""""
"Genova;3/4/2015;""13"";""10"";""16"";""8"";""71"";""15"";""8"";""11"";""0"";""1015"";""0"";""0"";"""""
"Genova;4/4/2015;""14"";""12"";""16"";""6"";""57"";""12"";""12"";""24"";""0"";""1009"";""0"";""0"";""pioggia """
"Genova;5/4/2015;""13"";""11"";""17"";""3"";""43"";""15"";""12"";""20"";""33"";""1009"";""0"";""0"";""pioggia """
"Genova;6/4/2015;""11"";""8"";""15"";""2"";""46"";""19"";""12"";""22"";""0"";""1019"";""0"";""0"";"""""
"Genova;7/4/2015;""13"";""8"";""17"";""2"";""28"";""45"";""13"";""19"";""0"";""1028"";""0"";""0"";"""""
"Genova;8/4/2015;""12"";""8"";""16"";""4"";""47"";""45"";""7"";""11"";""0"";""1028"";""0"";""0"";"""""
"Genova;9/4/2015;""13"";""9"";""16"";""8"";""69"";""28"";""7"";""11"";""0"";""1029"";""0"";""0"";"""""
"Genova;10/4/2015;""13"";""10"";""16"";""9"";""74"";""12"";""7"";""11"";""0"";""1028"";""0"";""0"";"""""
"Genova;11/4/2015;""14"";""12"";""16"";""9"";""75"";""11"";""11"";""22"";""0"";""1027"";""0"";""0"";"""""
"Genova;12/4/2015;""15"";""10"";""17"";""9"";""68"";""19"";""7"";""11"";""0"";""1029"";""0"";""0"";"""""
"Genova;13/4/2015;""15"";""12"";""18"";""11"";""76"";""18"";""7"";""15"";""0"";""1028"";""0"";""0"";"""""
"Genova;14/4/2015;""15"";""11"";""18"";""11"";""77"";""11"";""7"";""11"";""0"";""1026"";""0"";""0"";"""""
"Genova;15/4/2015;""15"";""14"";""17"";""12"";""80"";""8"";""6"";""11"";""0"";""1024"";""0"";""0"";"""""
"Genova;16/4/2015;""15"";""13"";""16"";""12"";""81"";""10"";""8"";""19"";""0"";""1020"";""0"";""0"";"""""
"Genova;17/4/2015;""16"";""14"";""17"";""13"";""83"";""9"";""20"";""35"";""0"";""1015"";""0"";""0"";""pioggia """
"Genova;18/4/2015;""16"";""14"";""18"";""13"";""86"";""9"";""12"";""22"";""0"";""1013"";""0"";""0"";""pioggia """
"Genova;19/4/2015;""14"";""11"";""17"";""6"";""59"";""11"";""12"";""20"";""41"";""1018"";""0"";""0"";""pioggia """
"Genova;20/4/2015;""15"";""12"";""20"";""5"";""49"";""26"";""12"";""19"";""33"";""1019"";""0"";""0"";"""""
"Genova;21/4/2015;""15"";""11"";""18"";""10"";""69"";""23"";""7"";""11"";""0"";""1023"";""0"";""0"";"""""
"Genova;22/4/2015;""15"";""12"";""18"";""10"";""73"";""12"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Genova;23/4/2015;""16"";""15"";""18"";""13"";""79"";""12"";""20"";""28"";""0"";""1017"";""0"";""0"";"""""
"Genova;24/4/2015;""16"";""14"";""19"";""12"";""75"";""13"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Genova;25/4/2015;""15"";""13"";""16"";""11"";""77"";""12"";""7"";""11"";""0"";""1017"";""0"";""0"";""pioggia """
"Genova;26/4/2015;""16"";""15"";""18"";""14"";""87"";""10"";""13"";""26"";""0"";""1013"";""0"";""0"";""pioggia """
"Genova;27/4/2015;""15"";""13"";""16"";""13"";""88"";""9"";""22"";""35"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Genova;28/4/2015;""16"";""13"";""17"";""13"";""84"";""10"";""7"";""15"";""0"";""1007"";""0"";""0"";""pioggia """
"Genova;29/4/2015;""15"";""12"";""20"";""9"";""69"";""10"";""9"";""19"";""0"";""1016"";""0"";""0"";"""""
"Genova;30/4/2015;""16"";""15"";""18"";""12"";""75"";""10"";""15"";""30"";""0"";""1017"";""0"";""0"";"""""
