LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/7/2015;""26"";""23"";""29"";""20"";""66"";""13"";""6"";""9"";""0"";""1020"";""0"";""0"";"""""
"Genova;2/7/2015;""27"";""24"";""29"";""19"";""62"";""25"";""7"";""9"";""0"";""1021"";""0"";""0"";"""""
"Genova;3/7/2015;""27"";""25"";""31"";""19"";""57"";""19"";""8"";""24"";""0"";""1023"";""0"";""0"";"""""
"Genova;4/7/2015;""29"";""27"";""31"";""19"";""56"";""25"";""9"";""24"";""0"";""1021"";""0"";""0"";"""""
"Genova;5/7/2015;""28"";""25"";""30"";""20"";""64"";""0"";""7"";""11"";""0"";""1018"";""0"";""0"";"""""
"Genova;6/7/2015;""27"";""25"";""30"";""21"";""70"";""10"";""7"";""9"";""0"";""1018"";""0"";""0"";"""""
"Genova;7/7/2015;""27"";""24"";""29"";""21"";""69"";""10"";""7"";""11"";""0"";""1016"";""0"";""0"";"""""
"Genova;8/7/2015;""28"";""26"";""30"";""22"";""69"";""11"";""19"";""30"";""0"";""1010"";""0"";""0"";"""""
"Genova;9/7/2015;""30"";""25"";""34"";""16"";""46"";""16"";""11"";""24"";""0"";""1009"";""0"";""0"";"""""
"Genova;10/7/2015;""29"";""25"";""33"";""12"";""35"";""14"";""13"";""28"";""0"";""1015"";""0"";""0"";"""""
"Genova;11/7/2015;""27"";""25"";""30"";""16"";""50"";""17"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Genova;12/7/2015;""26"";""23"";""29"";""19"";""63"";""30"";""8"";""15"";""0"";""1015"";""0"";""0"";"""""
"Genova;13/7/2015;""26"";""24"";""29"";""20"";""66"";""13"";""7"";""9"";""0"";""1014"";""0"";""0"";"""""
"Genova;14/7/2015;""27"";""23"";""29"";""20"";""67"";""14"";""8"";""11"";""0"";""1015"";""0"";""0"";"""""
"Genova;15/7/2015;""27"";""24"";""30"";""19"";""61"";""23"";""8"";""9"";""0"";""1016"";""0"";""0"";"""""
"Genova;16/7/2015;""28"";""24"";""31"";""18"";""53"";""26"";""7"";""11"";""0"";""1017"";""0"";""0"";"""""
"Genova;17/7/2015;""28"";""24"";""30"";""19"";""58"";""26"";""7"";""11"";""0"";""1018"";""0"";""0"";"""""
"Genova;18/7/2015;""28"";""25"";""31"";""19"";""57"";""23"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Genova;19/7/2015;""28"";""24"";""30"";""19"";""58"";""13"";""11"";""20"";""0"";""1014"";""0"";""0"";"""""
"Genova;20/7/2015;""28"";""25"";""30"";""21"";""64"";""13"";""7"";""9"";""0"";""1013"";""0"";""0"";"""""
"Genova;21/7/2015;""28"";""25"";""31"";""21"";""65"";""22"";""8"";""11"";""0"";""1014"";""0"";""0"";"""""
"Genova;22/7/2015;""28"";""25"";""31"";""20"";""62"";""17"";""8"";""13"";""0"";""1013"";""0"";""0"";"""""
"Genova;23/7/2015;""28"";""26"";""31"";""21"";""65"";""12"";""8"";""11"";""0"";""1011"";""0"";""0"";"""""
"Genova;24/7/2015;""28"";""25"";""31"";""21"";""63"";""14"";""8"";""15"";""0"";""1009"";""0"";""0"";"""""
"Genova;25/7/2015;""27"";""24"";""29"";""20"";""67"";""11"";""20"";""41"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Genova;26/7/2015;""27"";""24"";""30"";""17"";""53"";""13"";""10"";""19"";""0"";""1010"";""0"";""0"";"""""
"Genova;27/7/2015;""27"";""25"";""29"";""19"";""61"";""11"";""24"";""35"";""0"";""1006"";""0"";""0"";"""""
"Genova;28/7/2015;""26"";""23"";""28"";""18"";""60"";""12"";""20"";""35"";""0"";""1007"";""0"";""0"";"""""
"Genova;29/7/2015;""25"";""22"";""27"";""18"";""63"";""12"";""23"";""35"";""56"";""1008"";""0"";""0"";"""""
"Genova;30/7/2015;""25"";""23"";""28"";""19"";""65"";""12"";""11"";""22"";""0"";""1008"";""0"";""0"";"""""
"Genova;31/7/2015;""27"";""23"";""32"";""17"";""52"";""13"";""12"";""24"";""37"";""1010"";""0"";""0"";"""""
