LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/11/2015;""17"";""14"";""20"";""2"";""33"";""35"";""16"";""32"";""59"";""1029"";""0"";""0"";"""""
"Genova;2/11/2015;""15"";""12"";""19"";""2"";""40"";""31"";""20"";""28"";""44"";""1030"";""0"";""0"";"""""
"Genova;3/11/2015;""15"";""12"";""17"";""5"";""52"";""12"";""13"";""20"";""0"";""1028"";""0"";""0"";""pioggia """
"Genova;4/11/2015;""17"";""13"";""20"";""12"";""74"";""10"";""9"";""20"";""0"";""1023"";""0"";""0"";""pioggia temporale """
"Genova;5/11/2015;""17"";""15"";""20"";""14"";""82"";""10"";""6"";""15"";""0"";""1021"";""0"";""0"";""pioggia temporale """
"Genova;6/11/2015;""17"";""15"";""20"";""13"";""78"";""11"";""7"";""11"";""0"";""1024"";""0"";""0"";"""""
"Genova;7/11/2015;""16"";""13"";""19"";""12"";""75"";""21"";""7"";""13"";""0"";""1027"";""0"";""0"";"""""
"Genova;8/11/2015;""16"";""13"";""19"";""11"";""71"";""14"";""7"";""11"";""0"";""1030"";""0"";""0"";"""""
"Genova;9/11/2015;""17"";""15"";""18"";""12"";""72"";""11"";""12"";""22"";""0"";""1029"";""0"";""0"";"""""
"Genova;10/11/2015;""17"";""15"";""19"";""12"";""69"";""12"";""6"";""11"";""0"";""1026"";""0"";""0"";"""""
"Genova;11/11/2015;""18"";""17"";""18"";""13"";""72"";""12"";""12"";""19"";""0"";""1025"";""0"";""0"";"""""
"Genova;12/11/2015;""16"";""13"";""19"";""12"";""74"";""11"";""7"";""11"";""0"";""1026"";""0"";""0"";"""""
"Genova;13/11/2015;""17"";""15"";""19"";""12"";""70"";""11"";""9"";""15"";""0"";""1027"";""0"";""0"";"""""
"Genova;14/11/2015;""17"";""15"";""19"";""13"";""74"";""11"";""8"";""15"";""0"";""1025"";""0"";""0"";"""""
"Genova;15/11/2015;""17"";""15"";""19"";""12"";""75"";""11"";""6"";""11"";""0"";""1021"";""0"";""0"";"""""
"Genova;16/11/2015;""17"";""16"";""18"";""11"";""68"";""11"";""6"";""11"";""0"";""1020"";""0"";""0"";"""""
"Genova;17/11/2015;""18"";""17"";""18"";""11"";""66"";""13"";""12"";""20"";""0"";""1020"";""0"";""0"";"""""
"Genova;18/11/2015;""17"";""15"";""19"";""12"";""71"";""12"";""8"";""13"";""0"";""1021"";""0"";""0"";"""""
"Genova;19/11/2015;""17"";""16"";""19"";""13"";""74"";""11"";""11"";""20"";""0"";""1022"";""0"";""0"";"""""
"Genova;20/11/2015;""17"";""16"";""19"";""12"";""71"";""11"";""19"";""32"";""0"";""1013"";""0"";""0"";"""""
"Genova;21/11/2015;""14"";""6"";""17"";""8"";""63"";""12"";""16"";""54"";""85"";""991"";""0"";""0"";""pioggia """
"Genova;22/11/2015;""10"";""7"";""15"";""1"";""38"";""21"";""11"";""26"";""0"";""1002"";""0"";""0"";"""""
"Genova;23/11/2015;""9"";""8"";""11"";""1"";""46"";""15"";""18"";""30"";""48"";""1016"";""0"";""0"";"""""
"Genova;24/11/2015;""9"";""6"";""12"";""0"";""46"";""36"";""16"";""32"";""50"";""1021"";""0"";""0"";"""""
"Genova;25/11/2015;""8"";""7"";""10"";""0"";""42"";""15"";""11"";""19"";""0"";""1009"";""0"";""0"";"""""
"Genova;26/11/2015;""9"";""5"";""12"";""0"";""42"";""14"";""16"";""30"";""0"";""1005"";""0"";""0"";"""""
"Genova;27/11/2015;""11"";""8"";""14"";""0"";""30"";""41"";""11"";""19"";""0"";""1010"";""0"";""0"";"""""
"Genova;28/11/2015;""10"";""8"";""14"";""6"";""54"";""17"";""11"";""15"";""0"";""1013"";""0"";""0"";"""""
"Genova;29/11/2015;""12"";""10"";""16"";""7"";""67"";""15"";""8"";""11"";""0"";""1023"";""0"";""0"";"""""
"Genova;30/11/2015;""14"";""11"";""16"";""8"";""67"";""12"";""16"";""33"";""0"";""1026"";""0"";""0"";"""""
