LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/9/2019;""27"";""25"";""29"";""20"";""66"";""20"";""8"";""15"";""0"";""1012"";""0"";""0"";"""""
"Genova;2/9/2019;""26"";""23"";""30"";""21"";""71"";""20"";""9"";""18"";""0"";""1012"";""0"";""0"";"""""
"Genova;3/9/2019;""27"";""24"";""32"";""16"";""51"";""20"";""12"";""21"";""0"";""1016"";""0"";""0"";"""""
"Genova;4/9/2019;""26"";""22"";""32"";""15"";""51"";""20"";""13"";""24"";""0"";""1016"";""0"";""0"";"""""
"Genova;5/9/2019;""25"";""19"";""27"";""17"";""62"";""21"";""10"";""21"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Genova;6/9/2019;""20"";""17"";""24"";""13"";""63"";""21"";""17"";""35"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Genova;7/9/2019;""21"";""18"";""25"";""14"";""63"";""19"";""12"";""30"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Genova;8/9/2019;""19"";""16"";""24"";""12"";""67"";""20"";""13"";""26"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Genova;9/9/2019;""20"";""15"";""24"";""12"";""59"";""20"";""13"";""18"";""0"";""1013"";""0"";""0"";"""""
"Genova;10/9/2019;""20"";""17"";""21"";""13"";""68"";""20"";""11"";""22"";""0"";""1015"";""0"";""0"";""pioggia """
"Genova;11/9/2019;""22"";""18"";""28"";""14"";""58"";""20"";""11"";""21"";""0"";""1020"";""0"";""0"";"""""
"Genova;12/9/2019;""24"";""21"";""27"";""16"";""63"";""22"";""8"";""22"";""0"";""1026"";""0"";""0"";"""""
"Genova;13/9/2019;""25"";""22"";""29"";""17"";""60"";""19"";""8"";""15"";""0"";""1027"";""0"";""0"";"""""
"Genova;14/9/2019;""26"";""23"";""31"";""16"";""53"";""19"";""10"";""22"";""0"";""1026"";""0"";""0"";"""""
"Genova;15/9/2019;""25"";""22"";""28"";""17"";""62"";""21"";""7"";""15"";""0"";""1023"";""0"";""0"";"""""
"Genova;16/9/2019;""23"";""20"";""25"";""17"";""70"";""22"";""7"";""11"";""0"";""1019"";""0"";""0"";"""""
"Genova;17/9/2019;""23"";""20"";""25"";""17"";""72"";""21"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Genova;18/9/2019;""23"";""21"";""25"";""19"";""77"";""21"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Genova;19/9/2019;""22"";""20"";""25"";""16"";""68"";""19"";""12"";""24"";""0"";""1017"";""0"";""0"";""pioggia """
"Genova;20/9/2019;""21"";""18"";""25"";""12"";""58"";""19"";""18"";""24"";""0"";""1022"";""0"";""0"";"""""
"Genova;21/9/2019;""20"";""16"";""24"";""9"";""49"";""21"";""14"";""18"";""0"";""1022"";""0"";""0"";""pioggia """
"Genova;22/9/2019;""16"";""15"";""18"";""13"";""81"";""16"";""15"";""24"";""0"";""1017"";""0"";""0"";""pioggia """
"Genova;23/9/2019;""19"";""16"";""25"";""14"";""70"";""20"";""11"";""21"";""0"";""1012"";""0"";""0"";""pioggia """
"Genova;24/9/2019;""21"";""18"";""24"";""15"";""70"";""22"";""8"";""15"";""0"";""1013"";""0"";""0"";"""""
"Genova;25/9/2019;""21"";""19"";""24"";""17"";""75"";""21"";""9"";""18"";""0"";""1009"";""0"";""0"";"""""
"Genova;26/9/2019;""21"";""18"";""24"";""17"";""74"";""21"";""9"";""17"";""0"";""1013"";""0"";""0"";"""""
"Genova;27/9/2019;""21"";""19"";""24"";""18"";""79"";""20"";""12"";""24"";""0"";""1017"";""0"";""0"";"""""
"Genova;28/9/2019;""22"";""21"";""24"";""18"";""78"";""19"";""20"";""31"";""0"";""1016"";""0"";""0"";""pioggia """
"Genova;29/9/2019;""21"";""19"";""24"";""17"";""75"";""20"";""15"";""35"";""0"";""1016"";""0"";""0"";""pioggia """
"Genova;30/9/2019;""23"";""20"";""24"";""19"";""80"";""20"";""21"";""33"";""0"";""1011"";""0"";""0"";"""""
