LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Genova;1/1/2020;""10"";""7"";""14"";""7"";""79"";""20"";""5"";""11"";""0"";""1030"";""0"";""0"";"""""
"Genova;2/1/2020;""10"";""8"";""15"";""3"";""61"";""18"";""11"";""24"";""0"";""1031"";""0"";""0"";"""""
"Genova;3/1/2020;""12"";""10"";""14"";""8"";""75"";""20"";""12"";""22"";""0"";""1027"";""0"";""0"";"""""
"Genova;4/1/2020;""12"";""9"";""15"";""8"";""80"";""23"";""6"";""15"";""0"";""1024"";""0"";""0"";"""""
"Genova;5/1/2020;""10"";""7"";""15"";""6"";""66"";""22"";""6"";""21"";""0"";""1026"";""0"";""0"";"""""
"Genova;6/1/2020;""10"";""8"";""14"";""2"";""56"";""20"";""15"";""22"";""0"";""1029"";""0"";""0"";"""""
"Genova;7/1/2020;""10"";""7"";""13"";""3"";""61"";""21"";""14"";""26"";""0"";""1025"";""0"";""0"";"""""
"Genova;8/1/2020;""11"";""8"";""15"";""4"";""52"";""21"";""19"";""37"";""0"";""1029"";""0"";""0"";"""""
"Genova;9/1/2020;""11"";""6"";""14"";""6"";""72"";""19"";""13"";""28"";""0"";""1027"";""0"";""0"";"""""
"Genova;10/1/2020;""12"";""11"";""14"";""8"";""76"";""20"";""14"";""26"";""0"";""1024"";""0"";""0"";""pioggia """
"Genova;11/1/2020;""12"";""8"";""16"";""2"";""53"";""21"";""19"";""26"";""0"";""1027"";""0"";""0"";"""""
"Genova;12/1/2020;""11"";""9"";""16"";""2"";""50"";""21"";""17"";""30"";""0"";""1027"";""0"";""0"";"""""
"Genova;13/1/2020;""11"";""8"";""13"";""5"";""59"";""20"";""11"";""17"";""0"";""1025"";""0"";""0"";"""""
"Genova;14/1/2020;""11"";""9"";""13"";""8"";""78"";""20"";""16"";""33"";""0"";""1024"";""0"";""0"";""pioggia """
"Genova;15/1/2020;""10"";""9"";""10"";""8"";""86"";""18"";""8"";""18"";""0"";""1028"";""0"";""0"";""pioggia """
"Genova;16/1/2020;""11"";""9"";""13"";""6"";""72"";""19"";""11"";""21"";""0"";""1030"";""0"";""0"";""pioggia """
"Genova;17/1/2020;""10"";""7"";""14"";""6"";""72"";""18"";""14"";""33"";""0"";""1025"";""0"";""0"";""pioggia """
"Genova;18/1/2020;""10"";""7"";""14"";""3"";""66"";""20"";""17"";""31"";""0"";""1021"";""0"";""0"";""pioggia """
"Genova;19/1/2020;""8"";""6"";""10"";""2"";""61"";""20"";""27"";""41"";""0"";""1026"";""0"";""0"";"""""
"Genova;20/1/2020;""9"";""8"";""11"";""0"";""39"";""20"";""20"";""33"";""0"";""1037"";""0"";""0"";"""""
"Genova;21/1/2020;""8"";""6"";""10"";""0"";""40"";""20"";""27"";""37"";""0"";""1039"";""0"";""0"";"""""
"Genova;22/1/2020;""11"";""7"";""15"";""3"";""40"";""20"";""16"";""35"";""0"";""1033"";""0"";""0"";"""""
"Genova;23/1/2020;""11"";""8"";""15"";""4"";""60"";""20"";""14"";""33"";""0"";""1028"";""0"";""0"";"""""
"Genova;24/1/2020;""10"";""7"";""13"";""4"";""54"";""16"";""22"";""33"";""0"";""1025"";""0"";""0"";""pioggia """
"Genova;25/1/2020;""7"";""6"";""9"";""3"";""72"";""9"";""28"";""35"";""0"";""1022"";""0"";""0"";""pioggia """
"Genova;26/1/2020;""10"";""8"";""13"";""5"";""69"";""21"";""16"";""28"";""0"";""1020"";""0"";""0"";"""""
"Genova;27/1/2020;""12"";""10"";""14"";""8"";""74"";""19"";""15"";""31"";""0"";""1018"";""0"";""0"";"""""
"Genova;28/1/2020;""13"";""10"";""15"";""9"";""76"";""20"";""19"";""33"";""0"";""1008"";""0"";""0"";""pioggia """
"Genova;29/1/2020;""11"";""7"";""15"";""6"";""72"";""19"";""8"";""18"";""0"";""1011"";""0"";""0"";"""""
"Genova;30/1/2020;""12"";""8"";""14"";""7"";""73"";""20"";""13"";""35"";""0"";""1018"";""0"";""0"";"""""
"Genova;31/1/2020;""12"";""9"";""14"";""11"";""89"";""16"";""14"";""28"";""0"";""1019"";""0"";""0"";""pioggia """
