"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"9";"4";"11";"68"
"2010-01-02";"7";"5";"12";"68"
"2010-01-03";"7";"3";"8";"39"
"2010-01-04";"2";"1";"6";"65"
"2010-01-05";"3";"1";"5";"54"
"2010-01-06";"7";"9";"11";"55"
"2010-01-07";"7";"3";"11";"60"
"2010-01-08";"4";"3";"5";"72"
"2010-01-09";"6";"5";"8";"73"
"2010-01-10";"7";"5";"8";"64"
"2010-01-11";"7";"5";"8";"75"
"2010-01-12";"6";"5";"8";"72"
"2010-01-13";"4";"3";"7";"70"
"2010-01-14";"5";"3";"6";"68"
"2010-01-15";"6";"4";"9";"63"
"2010-01-16";"6";"4";"7";"60"
"2010-01-17";"5";"4";"7";"63"
"2010-01-18";"6";"3";"9";"52"
"2010-01-19";"8";"6";"13";"52"
"2010-01-20";"6";"4";"9";"50"
"2010-01-21";"7";"4";"10";"44"
"2010-01-22";"3";"0";"9";"54"
"2010-01-23";"2";"-1";"5";"60"
"2010-01-24";"5";"3";"6";"60"
"2010-01-25";"2";"1";"3";"67"
"2010-01-26";"3";"1";"5";"59"
"2010-01-27";"6";"4";"9";"43"
"2010-01-28";"7";"4";"11";"56"
"2010-01-29";"5";"3";"6";"63"
"2010-01-30";"4";"2";"9";"54"
"2010-01-31";"5";"4";"7";"0"
"2010-02-01";"5";"0";"10";"34"
"2010-02-02";"9";"8";"10";"50"
"2010-02-03";"9";"6";"12";"57"
"2010-02-04";"8";"3";"11";"58"
"2010-02-05";"5";"2";"42";"73"
"2010-02-06";"9";"3";"13";"60"
"2010-02-07";"10";"8";"14";"49"
"2010-02-08";"7";"3";"8";"54"
"2010-02-09";"4";"3";"5";"62"
"2010-02-10";"7";"4";"10";"48"
"2010-02-11";"6";"2";"8";"59"
"2010-02-12";"5";"5";"8";"54"
"2010-02-13";"6";"6";"9";"57"
"2010-02-14";"5";"2";"6";"68"
"2010-02-15";"6";"5";"11";"62"
"2010-02-16";"4";"4";"6";"66"
"2010-02-17";"5";"3";"6";"71"
"2010-02-18";"7";"10";"13";"77"
"2010-02-19";"7";"6";"12";"77"
"2010-02-20";"9";"5";"13";"59"
"2010-02-21";"9";"9";"13";"53"
"2010-02-22";"8";"6";"9";"66"
"2010-02-23";"8";"10";"13";"64"
"2010-02-24";"10";"9";"14";"63"
"2010-02-26";"12";"9";"15";"75"
"2010-02-27";"11";"10";"14";"55"
"2010-02-28";"9";"8";"12";"71"
"2010-03-01";"12";"7";"15";"75"
"2010-03-02";"12";"10";"15";"73"
"2010-03-03";"9";"7";"13";"68"
"2010-03-04";"10";"11";"13";"57"
"2010-03-05";"8";"7";"11";"50"
"2010-03-06";"6";"4";"9";"59"
"2010-03-07";"6";"5";"9";"53"
"2010-03-08";"4";"0";"7";"35"
"2010-03-09";"3";"4";"5";"43"
"2010-03-10";"4";"4";"7";"53"
"2010-03-11";"5";"5";"9";"56"
"2010-03-12";"8";"8";"12";"57"
"2010-03-13";"9";"8";"13";"56"
"2010-03-14";"9";"9";"14";"60"
"2010-03-15";"9";"0";"14";"59"
"2010-03-16";"11";"9";"15";"57"
