"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"5";"3";"7";"88"
"2010-01-02";"3";"1";"10";"82"
"2010-01-03";"0";"-3";"3";"50"
"2010-01-04";"1";"-1";"3";"63"
"2010-01-05";"2";"1";"3";"66"
"2010-01-06";"3";"1";"8";"59"
"2010-01-07";"3";"-1";"7";"70"
"2010-01-08";"3";"2";"5";"87"
"2010-01-09";"4";"3";"6";"90"
"2010-01-10";"5";"2";"10";"75"
"2010-01-11";"1";"-1";"5";"84"
"2010-01-12";"2";"0";"5";"79"
"2010-01-13";"4";"3";"5";"83"
"2010-01-14";"4";"3";"5";"83"
"2010-01-15";"5";"1";"8";"75"
"2010-01-16";"2";"0";"4";"84"
"2010-01-17";"4";"2";"6";"77"
"2010-01-18";"2";"0";"6";"85"
"2010-01-19";"0";"-1";"1";"87"
"2010-01-20";"0";"-2";"1";"82"
"2010-01-21";"0";"-1";"1";"86"
"2010-01-22";"1";"-1";"2";"83"
"2010-01-23";"1";"0";"3";"79"
"2010-01-24";"1";"-1";"2";"76"
"2010-01-25";"2";"1";"3";"68"
"2010-01-26";"2";"0";"5";"68"
"2010-01-27";"2";"-2";"6";"67"
"2010-01-28";"2";"-2";"8";"66"
"2010-01-29";"1";"-2";"5";"71"
"2010-01-30";"2";"-1";"4";"74"
"2010-01-31";"2";"-2";"7";"55"
"2010-02-01";"1";"-5";"7";"56"
"2010-02-02";"0";"-4";"9";"52"
"2010-02-03";"4";"0";"8";"53"
"2010-02-04";"4";"2";"6";"58"
"2010-02-05";"2";"0";"3";"92"
"2010-02-06";"3";"1";"6";"82"
"2010-02-07";"2";"-1";"5";"87"
"2010-02-08";"1";"-1";"2";"88"
"2010-02-09";"2";"0";"3";"90"
"2010-02-10";"3";"0";"5";"89"
"2010-02-11";"2";"1";"4";"91"
"2010-02-12";"5";"2";"10";"72"
"2010-02-13";"4";"-1";"11";"65"
"2010-02-14";"4";"2";"7";"79"
"2010-02-15";"2";"0";"4";"97"
"2010-02-16";"4";"3";"5";"86"
"2010-02-17";"5";"4";"6";"98"
"2010-02-18";"6";"7";"11";"92"
"2010-02-19";"7";"6";"8";"99"
"2010-02-20";"7";"4";"14";"79"
"2010-02-21";"6";"1";"9";"83"
"2010-02-22";"5";"4";"6";"96"
"2010-02-23";"6";"5";"9";"94"
"2010-02-24";"7";"5";"12";"89"
"2010-02-25";"8";"3";"14";"86"
"2010-02-26";"10";"8";"13";"85"
"2010-02-27";"9";"2";"14";"53"
"2010-02-28";"8";"6";"10";"82"
"2010-03-01";"7";"2";"13";"86"
"2010-03-02";"10";"3";"18";"72"
"2010-03-03";"7";"4";"10";"88"
"2010-03-05";"5";"3";"9";"67"
"2010-03-06";"4";"-3";"10";"46"
"2010-03-07";"4";"1";"6";"61"
"2010-03-08";"2";"0";"5";"52"
"2010-03-09";"1";"-1";"4";"67"
"2010-03-10";"1";"0";"2";"100"
"2010-03-11";"3";"0";"6";"85"
"2010-03-12";"4";"0";"9";"80"
