LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/8/2011;""23"";""19"";""28"";""16"";""65"";""13"";""9"";""22"";""0"";""1013"";""0"";""0"";"""""
"Napoli;2/8/2011;""25"";""19"";""30"";""17"";""65"";""17"";""9"";""20"";""0"";""1016"";""0"";""0"";"""""
"Napoli;3/8/2011;""25"";""21"";""29"";""19"";""68"";""10"";""9"";""17"";""0"";""1018"";""0"";""0"";"""""
"Napoli;4/8/2011;""26"";""22"";""30"";""18"";""60"";""15"";""10"";""22"";""0"";""1015"";""0"";""0"";"""""
"Napoli;5/8/2011;""26"";""21"";""30"";""18"";""65"";""13"";""7"";""20"";""0"";""1013"";""0"";""0"";"""""
"Napoli;6/8/2011;""25"";""22"";""28"";""19"";""69"";""8"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Napoli;7/8/2011;""25"";""21"";""29"";""19"";""71"";""8"";""8"";""19"";""0"";""1013"";""0"";""0"";"""""
"Napoli;8/8/2011;""25"";""20"";""29"";""20"";""74"";""12"";""8"";""19"";""0"";""1013"";""0"";""0"";"""""
"Napoli;9/8/2011;""25"";""22"";""29"";""19"";""70"";""10"";""9"";""20"";""0"";""1013"";""0"";""0"";"""""
"Napoli;10/8/2011;""25"";""21"";""31"";""12"";""46"";""15"";""12"";""24"";""0"";""1015"";""0"";""0"";"""""
"Napoli;11/8/2011;""24"";""20"";""30"";""11"";""44"";""36"";""14"";""24"";""50"";""1017"";""0"";""0"";"""""
"Napoli;12/8/2011;""24"";""18"";""29"";""15"";""57"";""30"";""9"";""19"";""26"";""1014"";""0"";""0"";"""""
"Napoli;13/8/2011;""24"";""20"";""28"";""16"";""62"";""31"";""10"";""19"";""0"";""1012"";""0"";""0"";"""""
"Napoli;14/8/2011;""25"";""20"";""30"";""18"";""67"";""26"";""7"";""19"";""0"";""1012"";""0"";""0"";"""""
"Napoli;15/8/2011;""25"";""20"";""30"";""18"";""66"";""14"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Napoli;16/8/2011;""26"";""22"";""31"";""19"";""65"";""15"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;17/8/2011;""27"";""22"";""31"";""20"";""66"";""12"";""8"";""15"";""0"";""0"";""0"";""0"";"""""
"Napoli;18/8/2011;""27"";""21"";""32"";""19"";""62"";""14"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Napoli;19/8/2011;""27"";""22"";""32"";""18"";""59"";""15"";""7"";""19"";""0"";""1018"";""0"";""0"";"""""
"Napoli;20/8/2011;""28"";""22"";""33"";""18"";""53"";""18"";""7"";""19"";""0"";""1018"";""0"";""0"";"""""
"Napoli;21/8/2011;""30"";""24"";""35"";""19"";""53"";""13"";""8"";""19"";""0"";""0"";""0"";""0"";"""""
"Napoli;22/8/2011;""30"";""24"";""38"";""13"";""34"";""30"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Napoli;23/8/2011;""28"";""24"";""34"";""17"";""51"";""36"";""8"";""17"";""0"";""1016"";""0"";""0"";"""""
"Napoli;24/8/2011;""27"";""23"";""33"";""19"";""63"";""16"";""8"";""19"";""0"";""1015"";""0"";""0"";"""""
"Napoli;25/8/2011;""28"";""23"";""34"";""21"";""67"";""7"";""7"";""17"";""74"";""1014"";""0"";""0"";"""""
"Napoli;26/8/2011;""29"";""24"";""35"";""21"";""65"";""10"";""8"";""19"";""0"";""1013"";""0"";""0"";"""""
"Napoli;27/8/2011;""27"";""23"";""33"";""20"";""62"";""11"";""10"";""19"";""0"";""1013"";""0"";""0"";"""""
"Napoli;28/8/2011;""26"";""22"";""29"";""18"";""62"";""14"";""9"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;29/8/2011;""24"";""20"";""28"";""16"";""60"";""15"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;30/8/2011;""24"";""20"";""28"";""17"";""64"";""12"";""9"";""20"";""69"";""1013"";""0"";""0"";"""""
"Napoli;31/8/2011;""25"";""20"";""30"";""17"";""64"";""17"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
