LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/5/2011;""18"";""15"";""22"";""15"";""83"";""9"";""4"";""8"";""0"";""1002"";""0"";""0"";""pioggia """
"Napoli;2/5/2011;""17"";""14"";""20"";""14"";""79"";""9"";""5"";""14"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Napoli;3/5/2011;""19"";""16"";""22"";""15"";""81"";""9"";""6"";""14"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Napoli;4/5/2011;""18"";""15"";""22"";""15"";""79"";""10"";""5"";""10"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Napoli;5/5/2011;""17"";""14"";""21"";""6"";""46"";""15"";""10"";""16"";""0"";""1018"";""0"";""0"";"""""
"Napoli;6/5/2011;""17"";""11"";""22"";""3"";""37"";""30"";""6"";""12"";""0"";""1024"";""0"";""0"";"""""
"Napoli;7/5/2011;""17"";""11"";""21"";""9"";""60"";""18"";""5"";""12"";""0"";""1023"";""0"";""0"";"""""
"Napoli;8/5/2011;""18"";""13"";""23"";""10"";""61"";""14"";""5"";""12"";""0"";""1019"";""0"";""0"";"""""
"Napoli;9/5/2011;""16"";""13"";""19"";""7"";""56"";""12"";""10"";""23"";""39"";""1018"";""0"";""0"";""pioggia temporale """
"Napoli;10/5/2011;""18"";""14"";""23"";""5"";""41"";""13"";""12"";""23"";""33"";""1021"";""0"";""0"";"""""
"Napoli;11/5/2011;""19"";""11"";""26"";""6"";""43"";""17"";""7"";""17"";""20"";""1019"";""0"";""0"";"""""
"Napoli;12/5/2011;""21"";""14"";""27"";""8"";""47"";""19"";""7"";""17"";""0"";""1017"";""0"";""0"";"""""
"Napoli;13/5/2011;""19"";""16"";""22"";""14"";""72"";""10"";""5"";""12"";""0"";""0"";""0"";""0"";"""""
"Napoli;14/5/2011;""19"";""14"";""23"";""14"";""73"";""6"";""5"";""12"";""0"";""1019"";""0"";""0"";""nebbia """
"Napoli;15/5/2011;""19"";""14"";""24"";""11"";""62"";""11"";""7"";""14"";""0"";""0"";""0"";""0"";"""""
"Napoli;16/5/2011;""17"";""15"";""20"";""8"";""55"";""11"";""11"";""20"";""0"";""0"";""0"";""0"";"""""
"Napoli;17/5/2011;""16"";""14"";""20"";""6"";""51"";""12"";""5"";""9"";""0"";""0"";""0"";""0"";"""""
"Napoli;18/5/2011;""18"";""12"";""24"";""8"";""52"";""18"";""6"";""13"";""20"";""1017"";""0"";""0"";"""""
"Napoli;19/5/2011;""19"";""13"";""24"";""11"";""58"";""17"";""6"";""10"";""0"";""1018"";""0"";""0"";"""""
"Napoli;20/5/2011;""21"";""14"";""25"";""12"";""56"";""10"";""5"";""10"";""0"";""1019"";""0"";""0"";"""""
"Napoli;21/5/2011;""22"";""18"";""26"";""13"";""57"";""10"";""5"";""12"";""0"";""1017"";""0"";""0"";"""""
"Napoli;22/5/2011;""22"";""19"";""27"";""13"";""57"";""13"";""6"";""9"";""0"";""1016"";""0"";""0"";"""""
"Napoli;23/5/2011;""22"";""18"";""26"";""14"";""61"";""11"";""7"";""16"";""0"";""1018"";""0"";""0"";"""""
"Napoli;24/5/2011;""22"";""19"";""27"";""14"";""60"";""11"";""5"";""12"";""0"";""1018"";""0"";""0"";""pioggia temporale """
"Napoli;25/5/2011;""23"";""17"";""28"";""15"";""64"";""9"";""6"";""12"";""21"";""1017"";""0"";""0"";""temporale """
"Napoli;26/5/2011;""23"";""19"";""29"";""15"";""61"";""10"";""7"";""16"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Napoli;27/5/2011;""21"";""18"";""24"";""19"";""85"";""6"";""6"";""13"";""0"";""1015"";""0"";""0"";"""""
"Napoli;28/5/2011;""21"";""18"";""25"";""16"";""73"";""9"";""6"";""12"";""0"";""1014"";""0"";""0"";"""""
"Napoli;29/5/2011;""22"";""16"";""26"";""15"";""65"";""12"";""5"";""12"";""0"";""0"";""0"";""0"";"""""
"Napoli;30/5/2011;""22"";""19"";""25"";""13"";""57"";""14"";""6"";""14"";""0"";""1017"";""0"";""0"";"""""
"Napoli;31/5/2011;""21"";""17"";""25"";""17"";""74"";""14"";""5"";""13"";""0"";""1016"";""0"";""0"";"""""
