LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/4/2012;""14"";""8"";""18"";""10"";""76"";""10"";""10"";""22"";""0"";""1008"";""0"";""0"";"""""
"Napoli;2/4/2012;""15"";""9"";""19"";""8"";""63"";""10"";""8"";""19"";""0"";""1012"";""0"";""0"";"""""
"Napoli;3/4/2012;""17"";""13"";""23"";""8"";""59"";""8"";""8"";""20"";""0"";""1010"";""0"";""0"";""pioggia """
"Napoli;4/4/2012;""18"";""13"";""23"";""11"";""64"";""9"";""9"";""19"";""0"";""1008"";""0"";""0"";"""""
"Napoli;5/4/2012;""17"";""15"";""20"";""12"";""70"";""9"";""9"";""20"";""0"";""0"";""0"";""0"";""pioggia """
"Napoli;6/4/2012;""16"";""13"";""19"";""12"";""79"";""10"";""10"";""22"";""0"";""1010"";""0"";""0"";"""""
"Napoli;7/4/2012;""14"";""12"";""15"";""11"";""84"";""7"";""9"";""20"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Napoli;8/4/2012;""12"";""8"";""14"";""8"";""77"";""9"";""11"";""33"";""37"";""1002"";""0"";""0"";""pioggia temporale """
"Napoli;9/4/2012;""10"";""6"";""14"";""2"";""51"";""10"";""14"";""24"";""0"";""1008"";""0"";""0"";""pioggia """
"Napoli;10/4/2012;""11"";""5"";""16"";""5"";""60"";""0"";""9"";""24"";""0"";""0"";""0"";""0"";"""""
"Napoli;11/4/2012;""13"";""10"";""15"";""8"";""72"";""10"";""12"";""28"";""44"";""1007"";""0"";""0"";""pioggia """
"Napoli;12/4/2012;""14"";""11"";""17"";""8"";""67"";""10"";""11"";""19"";""0"";""0"";""0"";""0"";"""""
"Napoli;13/4/2012;""13"";""10"";""14"";""9"";""80"";""7"";""7"";""11"";""0"";""997"";""0"";""0"";""pioggia """
"Napoli;14/4/2012;""13"";""12"";""15"";""10"";""82"";""9"";""19"";""33"";""54"";""990"";""0"";""0"";""pioggia """
"Napoli;15/4/2012;""13"";""9"";""15"";""9"";""76"";""10"";""12"";""24"";""0"";""1000"";""0"";""0"";""pioggia temporale """
"Napoli;16/4/2012;""12"";""10"";""16"";""10"";""85"";""9"";""7"";""17"";""0"";""1001"";""0"";""0"";""pioggia temporale """
"Napoli;17/4/2012;""12"";""10"";""14"";""9"";""85"";""8"";""5"";""9"";""0"";""1004"";""0"";""0"";""pioggia temporale nebbia """
"Napoli;18/4/2012;""13"";""9"";""17"";""9"";""75"";""9"";""14"";""32"";""0"";""1003"";""0"";""0"";""pioggia """
"Napoli;19/4/2012;""14"";""11"";""16"";""10"";""77"";""9"";""13"";""28"";""52"";""1001"";""0"";""0"";""pioggia temporale """
"Napoli;20/4/2012;""13"";""11"";""16"";""9"";""76"";""10"";""16"";""32"";""44"";""0"";""0"";""0"";""pioggia """
"Napoli;21/4/2012;""14"";""10"";""18"";""10"";""75"";""9"";""14"";""24"";""0"";""1013"";""0"";""0"";""pioggia """
"Napoli;22/4/2012;""16"";""15"";""17"";""11"";""75"";""9"";""18"";""28"";""44"";""1015"";""0"";""0"";"""""
"Napoli;23/4/2012;""15"";""12"";""18"";""11"";""77"";""10"";""13"";""28"";""39"";""1013"";""0"";""0"";""pioggia """
"Napoli;24/4/2012;""16"";""13"";""19"";""12"";""79"";""10"";""12"";""20"";""0"";""1010"";""0"";""0"";"""""
"Napoli;25/4/2012;""15"";""12"";""18"";""8"";""65"";""10"";""11"";""28"";""46"";""1015"";""0"";""0"";""pioggia """
"Napoli;26/4/2012;""15"";""8"";""21"";""6"";""58"";""0"";""8"";""17"";""0"";""1020"";""0"";""0"";"""""
"Napoli;27/4/2012;""19"";""12"";""26"";""9"";""53"";""0"";""8"";""20"";""0"";""1019"";""0"";""0"";"""""
"Napoli;28/4/2012;""19"";""13"";""25"";""13"";""68"";""0"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Napoli;29/4/2012;""20"";""15"";""26"";""11"";""57"";""10"";""6"";""17"";""0"";""1018"";""0"";""0"";"""""
"Napoli;30/4/2012;""21"";""17"";""26"";""11"";""54"";""10"";""6"";""11"";""0"";""0"";""0"";""0"";"""""
