LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/2/2012;""7"";""3"";""10"";""4"";""81"";""8"";""14"";""37"";""61"";""1006"";""0"";""0"";""pioggia temporale """
"Napoli;2/2/2012;""5"";""1"";""9"";""3"";""84"";""9"";""9"";""20"";""0"";""1009"";""0"";""0"";""pioggia """
"Napoli;3/2/2012;""6"";""4"";""9"";""3"";""82"";""8"";""21"";""33"";""48"";""1005"";""0"";""0"";""pioggia temporale """
"Napoli;4/2/2012;""5"";""1"";""8"";""1"";""76"";""8"";""14"";""32"";""48"";""1011"";""0"";""0"";""pioggia neve """
"Napoli;5/2/2012;""4"";""2"";""7"";""1"";""70"";""9"";""13"";""22"";""0"";""1016"";""0"";""0"";""pioggia """
"Napoli;6/2/2012;""4"";""2"";""6"";""0"";""64"";""10"";""19"";""26"";""0"";""1007"";""0"";""0"";""pioggia """
"Napoli;7/2/2012;""4"";""2"";""5"";""0"";""62"";""10"";""14"";""22"";""33"";""1002"";""0"";""0"";""neve """
"Napoli;8/2/2012;""6"";""4"";""8"";""0"";""62"";""10"";""20"";""28"";""46"";""1013"";""0"";""0"";"""""
"Napoli;9/2/2012;""5"";""3"";""8"";""0"";""53"";""9"";""13"";""28"";""0"";""0"";""0"";""0"";"""""
"Napoli;10/2/2012;""5"";""3"";""6"";""3"";""73"";""8"";""12"";""24"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Napoli;11/2/2012;""5"";""3"";""7"";""3"";""80"";""9"";""8"";""19"";""50"";""1012"";""0"";""0"";""pioggia temporale """
"Napoli;12/2/2012;""4"";""2"";""6"";""2"";""86"";""8"";""9"";""17"";""0"";""1014"";""0"";""0"";""pioggia """
"Napoli;13/2/2012;""4"";""0"";""8"";""0"";""68"";""9"";""8"";""13"";""0"";""1014"";""0"";""0"";"""""
"Napoli;14/2/2012;""4"";""1"";""8"";""0"";""62"";""8"";""11"";""19"";""0"";""1011"";""0"";""0"";"""""
"Napoli;15/2/2012;""4"";""-1"";""9"";""1"";""58"";""10"";""9"";""26"";""0"";""1013"";""0"";""0"";""pioggia """
"Napoli;16/2/2012;""6"";""2"";""11"";""1"";""58"";""8"";""12"";""32"";""50"";""1013"";""0"";""0"";"""""
"Napoli;17/2/2012;""7"";""-2"";""11"";""2"";""55"";""10"";""9"";""17"";""0"";""1023"";""0"";""0"";"""""
"Napoli;18/2/2012;""8"";""2"";""13"";""5"";""81"";""10"";""7"";""17"";""0"";""1022"";""0"";""0"";""pioggia """
"Napoli;19/2/2012;""10"";""8"";""14"";""7"";""81"";""9"";""9"";""20"";""0"";""1022"";""0"";""0"";""pioggia """
"Napoli;20/2/2012;""10"";""6"";""14"";""6"";""80"";""9"";""8"";""13"";""0"";""1022"";""0"";""0"";""pioggia """
"Napoli;21/2/2012;""10"";""6"";""15"";""5"";""69"";""9"";""15"";""26"";""46"";""1022"";""0"";""0"";""pioggia """
"Napoli;22/2/2012;""11"";""9"";""14"";""4"";""63"";""10"";""35"";""56"";""80"";""1017"";""0"";""0"";"""""
"Napoli;23/2/2012;""12"";""9"";""15"";""4"";""58"";""10"";""17"";""32"";""0"";""0"";""0"";""0"";""pioggia """
"Napoli;24/2/2012;""11"";""4"";""17"";""4"";""65"";""6"";""6"";""9"";""0"";""1024"";""0"";""0"";"""""
"Napoli;25/2/2012;""11"";""7"";""15"";""8"";""80"";""7"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Napoli;26/2/2012;""11"";""7"";""14"";""6"";""73"";""9"";""12"";""41"";""54"";""1011"";""0"";""0"";"""""
"Napoli;27/2/2012;""9"";""7"";""12"";""0"";""35"";""10"";""30"";""43"";""69"";""0"";""0"";""0"";"""""
"Napoli;28/2/2012;""9"";""5"";""13"";""3"";""50"";""10"";""11"";""22"";""0"";""1022"";""0"";""0"";"""""
"Napoli;29/2/2012;""10"";""3"";""16"";""5"";""73"";""9"";""5"";""11"";""0"";""1018"";""0"";""0"";"""""
