LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/7/2012;""29"";""25"";""33"";""20"";""60"";""0"";""8"";""19"";""0"";""0"";""0"";""0"";"""""
"Napoli;2/7/2012;""29"";""24"";""33"";""21"";""65"";""9"";""9"";""19"";""0"";""1015"";""0"";""0"";"""""
"Napoli;3/7/2012;""28"";""24"";""32"";""21"";""66"";""10"";""11"";""20"";""0"";""1014"";""0"";""0"";"""""
"Napoli;4/7/2012;""27"";""22"";""31"";""17"";""58"";""10"";""8"";""17"";""0"";""1012"";""0"";""0"";"""""
"Napoli;5/7/2012;""27"";""22"";""31"";""17"";""59"";""10"";""8"";""15"";""0"";""0"";""0"";""0"";"""""
"Napoli;6/7/2012;""26"";""22"";""30"";""19"";""65"";""10"";""10"";""17"";""0"";""1012"";""0"";""0"";"""""
"Napoli;7/7/2012;""27"";""23"";""31"";""20"";""67"";""10"";""9"";""20"";""0"";""1014"";""0"";""0"";"""""
"Napoli;8/7/2012;""28"";""23"";""32"";""21"";""66"";""8"";""9"";""17"";""0"";""995"";""0"";""0"";"""""
"Napoli;9/7/2012;""29"";""22"";""33"";""19"";""58"";""0"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Napoli;10/7/2012;""29"";""24"";""33"";""19"";""58"";""10"";""9"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;11/7/2012;""28"";""23"";""32"";""20"";""63"";""9"";""8"";""20"";""0"";""1015"";""0"";""0"";"""""
"Napoli;12/7/2012;""27"";""23"";""31"";""20"";""67"";""9"";""7"";""17"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Napoli;13/7/2012;""27"";""22"";""31"";""19"";""66"";""10"";""13"";""26"";""39"";""1013"";""0"";""0"";"""""
"Napoli;14/7/2012;""26"";""21"";""31"";""20"";""68"";""0"";""8"";""19"";""0"";""1013"";""0"";""0"";"""""
"Napoli;15/7/2012;""28"";""23"";""32"";""20"";""65"";""10"";""11"";""22"";""0"";""1013"";""0"";""0"";"""""
"Napoli;16/7/2012;""27"";""23"";""29"";""18"";""61"";""10"";""10"";""19"";""0"";""1017"";""0"";""0"";"""""
"Napoli;17/7/2012;""27"";""23"";""33"";""13"";""43"";""10"";""13"";""26"";""0"";""1018"";""0"";""0"";"""""
"Napoli;18/7/2012;""29"";""23"";""34"";""10"";""33"";""0"";""13"";""24"";""0"";""1017"";""0"";""0"";"""""
"Napoli;19/7/2012;""28"";""23"";""32"";""14"";""44"";""0"";""9"";""20"";""0"";""0"";""0"";""0"";"""""
"Napoli;20/7/2012;""27"";""22"";""31"";""18"";""62"";""0"";""10"";""20"";""0"";""1014"";""0"";""0"";"""""
"Napoli;21/7/2012;""27"";""22"";""32"";""15"";""50"";""10"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Napoli;22/7/2012;""27"";""23"";""32"";""17"";""55"";""10"";""9"";""17"";""0"";""1011"";""0"";""0"";"""""
"Napoli;23/7/2012;""23"";""19"";""28"";""17"";""69"";""10"";""12"";""22"";""35"";""1009"";""0"";""0"";""pioggia temporale """
"Napoli;24/7/2012;""23"";""18"";""28"";""17"";""70"";""9"";""10"";""22"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Napoli;25/7/2012;""25"";""21"";""29"";""18"";""68"";""10"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
"Napoli;26/7/2012;""26"";""22"";""30"";""20"";""70"";""8"";""10"";""19"";""0"";""1015"";""0"";""0"";"""""
"Napoli;27/7/2012;""28"";""23"";""33"";""20"";""63"";""8"";""9"";""24"";""0"";""0"";""0"";""0"";"""""
"Napoli;28/7/2012;""28"";""24"";""32"";""20"";""65"";""0"";""9"";""19"";""0"";""1013"";""0"";""0"";"""""
"Napoli;29/7/2012;""28"";""23"";""33"";""21"";""68"";""9"";""9"";""20"";""0"";""1013"";""0"";""0"";"""""
"Napoli;30/7/2012;""28"";""25"";""32"";""23"";""74"";""8"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;31/7/2012;""28"";""23"";""32"";""21"";""66"";""9"";""9"";""17"";""0"";""1013"";""0"";""0"";"""""
