LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/3/2013;""11"";""7"";""15"";""4"";""63"";""10"";""10"";""17"";""0"";""1015"";""0"";""0"";"""""
"Napoli;2/3/2013;""11"";""9"";""13"";""5"";""64"";""10"";""22"";""39"";""52"";""1010"";""0"";""0"";""pioggia """
"Napoli;3/3/2013;""11"";""6"";""16"";""3"";""57"";""0"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Napoli;4/3/2013;""11"";""3"";""16"";""5"";""71"";""9"";""6"";""15"";""0"";""1020"";""0"";""0"";"""""
"Napoli;5/3/2013;""11"";""5"";""17"";""5"";""66"";""9"";""7"";""17"";""0"";""1020"";""0"";""0"";""pioggia """
"Napoli;6/3/2013;""14"";""11"";""18"";""8"";""70"";""9"";""13"";""26"";""52"";""1010"";""0"";""0"";""pioggia """
"Napoli;7/3/2013;""15"";""14"";""16"";""13"";""91"";""6"";""11"";""15"";""0"";""1008"";""0"";""0"";""pioggia """
"Napoli;8/3/2013;""14"";""13"";""16"";""13"";""90"";""6"";""14"";""24"";""41"";""1007"";""0"";""0"";""pioggia nebbia """
"Napoli;9/3/2013;""15"";""12"";""17"";""11"";""79"";""9"";""13"";""19"";""37"";""1008"";""0"";""0"";"""""
"Napoli;10/3/2013;""14"";""11"";""17"";""12"";""84"";""8"";""15"";""28"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Napoli;11/3/2013;""14"";""13"";""17"";""10"";""78"";""10"";""14"";""22"";""0"";""0"";""0"";""0"";"""""
"Napoli;12/3/2013;""13"";""10"";""16"";""9"";""78"";""9"";""15"";""33"";""56"";""0"";""0"";""0"";""pioggia temporale """
"Napoli;13/3/2013;""12"";""10"";""14"";""9"";""85"";""8"";""12"";""24"";""46"";""997"";""0"";""0"";""pioggia """
"Napoli;14/3/2013;""10"";""8"";""11"";""7"";""86"";""9"";""7"";""15"";""0"";""987"";""0"";""0"";""pioggia """
"Napoli;15/3/2013;""6"";""2"";""9"";""3"";""71"";""8"";""16"";""28"";""43"";""0"";""0"";""0"";""pioggia """
"Napoli;16/3/2013;""7"";""3"";""11"";""0"";""53"";""10"";""8"";""13"";""0"";""0"";""0"";""0"";"""""
"Napoli;17/3/2013;""9"";""2"";""14"";""3"";""61"";""10"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Napoli;18/3/2013;""14"";""10"";""17"";""9"";""73"";""9"";""19"";""35"";""59"";""1005"";""0"";""0"";""pioggia """
"Napoli;19/3/2013;""13"";""8"";""16"";""6"";""65"";""10"";""14"";""26"";""0"";""1008"";""0"";""0"";"""""
"Napoli;20/3/2013;""11"";""6"";""18"";""5"";""67"";""9"";""5"";""13"";""0"";""1007"";""0"";""0"";""pioggia """
"Napoli;21/3/2013;""13"";""9"";""17"";""8"";""73"";""8"";""17"";""37"";""52"";""1008"";""0"";""0"";"""""
"Napoli;22/3/2013;""12"";""6"";""16"";""7"";""75"";""10"";""9"";""22"";""0"";""1013"";""0"";""0"";"""""
"Napoli;23/3/2013;""13"";""7"";""17"";""6"";""68"";""8"";""7"";""15"";""0"";""1011"";""0"";""0"";"""""
"Napoli;24/3/2013;""17"";""9"";""23"";""7"";""53"";""10"";""9"";""24"";""44"";""1002"";""0"";""0"";"""""
"Napoli;25/3/2013;""14"";""13"";""17"";""10"";""77"";""9"";""16"";""24"";""43"";""995"";""0"";""0"";""pioggia """
"Napoli;26/3/2013;""13"";""11"";""15"";""9"";""78"";""9"";""13"";""28"";""0"";""1001"";""0"";""0"";""pioggia """
"Napoli;27/3/2013;""13"";""9"";""16"";""9"";""82"";""10"";""12"";""24"";""0"";""0"";""0"";""0"";"""""
"Napoli;28/3/2013;""14"";""12"";""16"";""11"";""80"";""9"";""8"";""19"";""0"";""1011"";""0"";""0"";""pioggia """
"Napoli;29/3/2013;""16"";""11"";""19"";""12"";""81"";""8"";""11"";""20"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Napoli;30/3/2013;""14"";""11"";""17"";""12"";""88"";""7"";""15"";""26"";""44"";""0"";""0"";""0"";""pioggia """
"Napoli;31/3/2013;""14"";""13"";""16"";""10"";""75"";""9"";""24"";""37"";""57"";""1003"";""0"";""0"";""pioggia """
