LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/6/2014;""19"";""14"";""23"";""8"";""51"";""15"";""9"";""17"";""0"";""0"";""0"";""0"";"""""
"Napoli;2/6/2014;""20"";""14"";""25"";""8"";""47"";""16"";""13"";""22"";""0"";""1014"";""0"";""0"";"""""
"Napoli;3/6/2014;""22"";""16"";""27"";""8"";""41"";""15"";""14"";""26"";""41"";""1011"";""0"";""0"";"""""
"Napoli;4/6/2014;""22"";""16"";""25"";""10"";""49"";""19"";""10"";""19"";""0"";""1012"";""0"";""0"";"""""
"Napoli;5/6/2014;""21"";""17"";""23"";""15"";""70"";""21"";""10"";""19"";""0"";""1017"";""0"";""0"";"""""
"Napoli;6/6/2014;""23"";""17"";""28"";""13"";""57"";""41"";""7"";""15"";""0"";""0"";""0"";""0"";"""""
"Napoli;7/6/2014;""24"";""18"";""29"";""15"";""58"";""16"";""7"";""17"";""0"";""1017"";""0"";""0"";"""""
"Napoli;8/6/2014;""26"";""19"";""33"";""13"";""46"";""14"";""9"";""19"";""0"";""1017"";""0"";""0"";"""""
"Napoli;9/6/2014;""28"";""22"";""33"";""11"";""34"";""17"";""11"";""26"";""0"";""1017"";""0"";""0"";"""""
"Napoli;10/6/2014;""26"";""21"";""33"";""13"";""46"";""15"";""8"";""19"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Napoli;11/6/2014;""25"";""19"";""29"";""17"";""63"";""13"";""7"";""17"";""0"";""1018"";""0"";""0"";"""""
"Napoli;12/6/2014;""25"";""21"";""31"";""18"";""66"";""10"";""7"";""19"";""0"";""1018"";""0"";""0"";""pioggia """
"Napoli;13/6/2014;""25"";""20"";""29"";""19"";""69"";""11"";""7"";""17"";""0"";""1014"";""0"";""0"";"""""
"Napoli;14/6/2014;""24"";""21"";""27"";""19"";""73"";""10"";""10"";""19"";""33"";""1010"";""0"";""0"";""pioggia """
"Napoli;15/6/2014;""24"";""20"";""28"";""18"";""69"";""12"";""10"";""20"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Napoli;16/6/2014;""20"";""16"";""24"";""17"";""83"";""11"";""10"";""32"";""50"";""1011"";""0"";""0"";""pioggia temporale """
"Napoli;17/6/2014;""22"";""18"";""25"";""18"";""76"";""10"";""11"";""22"";""37"";""1011"";""0"";""0"";""pioggia temporale """
"Napoli;18/6/2014;""21"";""18"";""25"";""17"";""77"";""11"";""10"";""22"";""35"";""1013"";""0"";""0"";""pioggia temporale """
"Napoli;19/6/2014;""20"";""18"";""23"";""16"";""79"";""12"";""8"";""26"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Napoli;20/6/2014;""20"";""15"";""26"";""15"";""72"";""40"";""7"";""17"";""0"";""1014"";""0"";""0"";"""""
"Napoli;21/6/2014;""23"";""19"";""26"";""18"";""71"";""13"";""10"";""19"";""0"";""1016"";""0"";""0"";"""""
"Napoli;22/6/2014;""24"";""18"";""28"";""17"";""66"";""21"";""8"";""17"";""0"";""1020"";""0"";""0"";"""""
"Napoli;23/6/2014;""25"";""19"";""28"";""16"";""59"";""16"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Napoli;24/6/2014;""26"";""20"";""31"";""13"";""44"";""12"";""6"";""13"";""0"";""0"";""0"";""0"";"""""
"Napoli;25/6/2014;""25"";""22"";""28"";""19"";""71"";""11"";""12"";""30"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Napoli;26/6/2014;""25"";""21"";""29"";""18"";""68"";""10"";""10"";""22"";""0"";""1012"";""0"";""0"";""pioggia """
"Napoli;27/6/2014;""24"";""21"";""28"";""17"";""62"";""19"";""8"";""17"";""0"";""1016"";""0"";""0"";"""""
"Napoli;28/6/2014;""24"";""21"";""27"";""19"";""72"";""12"";""9"";""19"";""0"";""1019"";""0"";""0"";"""""
"Napoli;29/6/2014;""25"";""20"";""28"";""16"";""58"";""13"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;30/6/2014;""24"";""21"";""26"";""17"";""66"";""10"";""16"";""33"";""0"";""993"";""0"";""0"";"""""
