LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/9/2014;""23"";""18"";""27"";""17"";""71"";""10"";""14"";""35"";""57"";""1004"";""0"";""0"";""pioggia temporale """
"Napoli;2/9/2014;""21"";""16"";""27"";""15"";""69"";""12"";""11"";""19"";""0"";""1004"";""0"";""0"";""pioggia """
"Napoli;3/9/2014;""23"";""19"";""28"";""15"";""63"";""21"";""9"";""20"";""0"";""1008"";""0"";""0"";""pioggia """
"Napoli;4/9/2014;""23"";""19"";""28"";""16"";""66"";""23"";""8"";""19"";""0"";""1011"";""0"";""0"";"""""
"Napoli;5/9/2014;""24"";""21"";""28"";""19"";""75"";""9"";""8"";""15"";""0"";""1011"";""0"";""0"";""pioggia """
"Napoli;6/9/2014;""22"";""20"";""26"";""19"";""81"";""9"";""7"";""13"";""28"";""1010"";""0"";""0"";""pioggia temporale """
"Napoli;7/9/2014;""23"";""18"";""27"";""18"";""72"";""12"";""6"";""13"";""0"";""1013"";""0"";""0"";"""""
"Napoli;8/9/2014;""24"";""20"";""27"";""19"";""75"";""10"";""9"";""20"";""0"";""0"";""0"";""0"";""temporale """
"Napoli;9/9/2014;""24"";""21"";""28"";""19"";""74"";""10"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Napoli;10/9/2014;""24"";""21"";""27"";""20"";""75"";""9"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Napoli;11/9/2014;""23"";""19"";""26"";""19"";""79"";""9"";""9"";""17"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Napoli;12/9/2014;""23"";""19"";""28"";""20"";""81"";""10"";""10"";""19"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Napoli;13/9/2014;""24"";""20"";""27"";""17"";""68"";""11"";""9"";""17"";""0"";""1014"";""0"";""0"";""temporale """
"Napoli;14/9/2014;""22"";""17"";""26"";""15"";""67"";""15"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Napoli;15/9/2014;""22"";""18"";""26"";""16"";""69"";""13"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Napoli;16/9/2014;""23"";""18"";""28"";""16"";""67"";""13"";""7"";""15"";""0"";""1014"";""0"";""0"";"""""
"Napoli;17/9/2014;""23"";""19"";""28"";""15"";""59"";""15"";""6"";""13"";""0"";""1014"";""0"";""0"";"""""
"Napoli;18/9/2014;""24"";""19"";""30"";""16"";""63"";""14"";""6"";""17"";""0"";""1016"";""0"";""0"";"""""
"Napoli;19/9/2014;""26"";""21"";""30"";""18"";""63"";""19"";""8"";""15"";""0"";""1018"";""0"";""0"";"""""
"Napoli;20/9/2014;""26"";""22"";""32"";""20"";""68"";""12"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Napoli;21/9/2014;""26"";""23"";""28"";""22"";""82"";""9"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
"Napoli;22/9/2014;""25"";""23"";""28"";""20"";""74"";""10"";""10"";""19"";""0"";""1012"";""0"";""0"";""pioggia """
"Napoli;23/9/2014;""23"";""19"";""25"";""10"";""46"";""17"";""14"";""26"";""44"";""1012"";""0"";""0"";"""""
"Napoli;24/9/2014;""21"";""17"";""25"";""13"";""60"";""11"";""10"";""20"";""0"";""1016"";""0"";""0"";""pioggia """
"Napoli;25/9/2014;""21"";""19"";""25"";""18"";""83"";""10"";""7"";""19"";""0"";""0"";""0"";""0"";""pioggia """
"Napoli;26/9/2014;""21"";""17"";""25"";""11"";""56"";""14"";""10"";""19"";""0"";""1018"";""0"";""0"";"""""
"Napoli;27/9/2014;""21"";""14"";""25"";""9"";""46"";""13"";""13"";""26"";""0"";""1023"";""0"";""0"";"""""
"Napoli;28/9/2014;""21"";""17"";""26"";""11"";""51"";""24"";""14"";""28"";""0"";""1026"";""0"";""0"";"""""
"Napoli;29/9/2014;""20"";""14"";""25"";""11"";""56"";""28"";""7"";""13"";""0"";""0"";""0"";""0"";"""""
"Napoli;30/9/2014;""21"";""15"";""26"";""14"";""66"";""20"";""7"";""15"";""0"";""1026"";""0"";""0"";"""""
