LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/1/2016;""8"";""5"";""10"";""1"";""56"";""9"";""6"";""9"";""0"";""0"";""0"";""0"";"""""
"Napoli;2/1/2016;""9"";""4"";""16"";""6"";""76"";""8"";""8"";""20"";""0"";""1020"";""0"";""0"";""pioggia """
"Napoli;3/1/2016;""13"";""9"";""15"";""9"";""75"";""10"";""15"";""32"";""52"";""1008"";""0"";""0"";""pioggia temporale """
"Napoli;4/1/2016;""13"";""9"";""16"";""10"";""84"";""8"";""11"";""33"";""0"";""1002"";""0"";""0"";""pioggia """
"Napoli;5/1/2016;""15"";""12"";""16"";""12"";""86"";""7"";""8"";""15"";""0"";""1001"";""0"";""0"";""pioggia """
"Napoli;6/1/2016;""13"";""9"";""16"";""9"";""78"";""12"";""13"";""30"";""54"";""1001"";""0"";""0"";""pioggia temporale """
"Napoli;7/1/2016;""11"";""6"";""14"";""7"";""79"";""9"";""7"";""17"";""0"";""1006"";""0"";""0"";""pioggia """
"Napoli;8/1/2016;""14"";""11"";""17"";""13"";""93"";""7"";""7"";""17"";""0"";""0"";""0"";""0"";""pioggia """
"Napoli;9/1/2016;""16"";""15"";""17"";""13"";""85"";""9"";""13"";""24"";""39"";""1013"";""0"";""0"";""pioggia """
"Napoli;10/1/2016;""16"";""15"";""19"";""13"";""82"";""11"";""12"";""24"";""43"";""1011"";""0"";""0"";"""""
"Napoli;11/1/2016;""16"";""15"";""18"";""13"";""83"";""8"";""18"";""32"";""48"";""1011"";""0"";""0"";"""""
"Napoli;12/1/2016;""15"";""13"";""17"";""8"";""64"";""9"";""22"";""35"";""57"";""1010"";""0"";""0"";""pioggia """
"Napoli;13/1/2016;""12"";""8"";""15"";""6"";""67"";""10"";""12"";""24"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Napoli;14/1/2016;""11"";""4"";""15"";""6"";""68"";""10"";""12"";""22"";""35"";""1019"";""0"";""0"";""pioggia """
"Napoli;15/1/2016;""14"";""11"";""15"";""9"";""70"";""9"";""16"";""43"";""46"";""1009"";""0"";""0"";""pioggia """
"Napoli;16/1/2016;""9"";""7"";""11"";""4"";""58"";""12"";""16"";""33"";""37"";""1005"";""0"";""0"";"""""
"Napoli;17/1/2016;""6"";""2"";""9"";""0"";""47"";""11"";""15"";""30"";""0"";""0"";""0"";""0"";"""""
"Napoli;18/1/2016;""4"";""0"";""8"";""0"";""49"";""15"";""8"";""22"";""0"";""1016"";""0"";""0"";"""""
"Napoli;19/1/2016;""5"";""1"";""8"";""0"";""51"";""11"";""10"";""15"";""0"";""1015"";""0"";""0"";"""""
"Napoli;20/1/2016;""6"";""1"";""11"";""1"";""62"";""11"";""7"";""11"";""0"";""1018"";""0"";""0"";"""""
"Napoli;21/1/2016;""9"";""5"";""14"";""5"";""75"";""10"";""7"";""11"";""0"";""1002"";""0"";""0"";""pioggia """
"Napoli;22/1/2016;""9"";""5"";""13"";""2"";""62"";""13"";""11"";""20"";""0"";""1028"";""0"";""0"";"""""
"Napoli;23/1/2016;""8"";""3"";""12"";""2"";""62"";""13"";""6"";""11"";""0"";""1032"";""0"";""0"";"""""
"Napoli;24/1/2016;""10"";""6"";""15"";""3"";""60"";""20"";""9"";""19"";""0"";""1034"";""0"";""0"";"""""
"Napoli;25/1/2016;""9"";""3"";""14"";""5"";""73"";""15"";""6"";""15"";""0"";""1033"";""0"";""0"";"""""
"Napoli;26/1/2016;""10"";""5"";""15"";""7"";""83"";""9"";""6"";""11"";""0"";""1032"";""0"";""0"";"""""
"Napoli;27/1/2016;""10"";""6"";""15"";""8"";""87"";""6"";""5"";""11"";""0"";""1010"";""0"";""0"";""nebbia """
"Napoli;28/1/2016;""13"";""9"";""16"";""9"";""81"";""6"";""5"";""11"";""0"";""0"";""0"";""0"";"""""
"Napoli;29/1/2016;""13"";""12"";""16"";""9"";""75"";""10"";""6"";""11"";""0"";""1032"";""0"";""0"";"""""
"Napoli;30/1/2016;""13"";""12"";""16"";""9"";""74"";""10"";""6"";""13"";""0"";""1013"";""0"";""0"";"""""
"Napoli;31/1/2016;""14"";""13"";""16"";""9"";""71"";""10"";""13"";""26"";""37"";""1024"";""0"";""0"";"""""
