LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/12/2018;""12"";""10"";""16"";""6"";""67"";""20"";""11"";""15"";""0"";""1016"";""0"";""0"";"""""
"Napoli;2/12/2018;""12"";""6"";""18"";""7"";""72"";""19"";""7"";""13"";""0"";""1018"";""0"";""0"";"""""
"Napoli;3/12/2018;""13"";""9"";""15"";""11"";""89"";""11"";""3"";""8"";""0"";""1017"";""0"";""0"";""pioggia """
"Napoli;4/12/2018;""15"";""13"";""19"";""13"";""85"";""15"";""5"";""11"";""0"";""1013"";""0"";""0"";""pioggia nebbia """
"Napoli;5/12/2018;""14"";""8"";""18"";""6"";""63"";""20"";""11"";""24"";""0"";""1023"";""0"";""0"";"""""
"Napoli;6/12/2018;""11"";""7"";""16"";""7"";""78"";""21"";""6"";""13"";""0"";""1022"";""0"";""0"";"""""
"Napoli;7/12/2018;""11"";""7"";""16"";""6"";""72"";""21"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Napoli;8/12/2018;""14"";""8"";""17"";""9"";""71"";""17"";""17"";""31"";""0"";""1014"";""0"";""0"";""pioggia """
"Napoli;9/12/2018;""10"";""2"";""17"";""6"";""78"";""16"";""11"";""24"";""0"";""1014"";""0"";""0"";""pioggia """
"Napoli;10/12/2018;""8"";""4"";""12"";""4"";""79"";""21"";""8"";""15"";""0"";""1012"";""0"";""0"";"""""
"Napoli;11/12/2018;""9"";""4"";""14"";""2"";""57"";""18"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Napoli;12/12/2018;""5"";""2"";""8"";""0"";""66"";""20"";""8"";""11"";""0"";""1017"";""0"";""0"";"""""
"Napoli;13/12/2018;""8"";""7"";""10"";""4"";""72"";""19"";""7"";""9"";""0"";""1013"";""0"";""0"";""pioggia """
"Napoli;14/12/2018;""10"";""9"";""11"";""9"";""92"";""11"";""6"";""17"";""0"";""1009"";""0"";""0"";""pioggia """
"Napoli;15/12/2018;""8"";""5"";""10"";""6"";""73"";""20"";""10"";""17"";""0"";""1011"";""0"";""0"";"""""
"Napoli;16/12/2018;""5"";""1"";""8"";""3"";""65"";""20"";""8"";""11"";""0"";""1018"";""0"";""0"";"""""
"Napoli;17/12/2018;""12"";""8"";""15"";""7"";""72"";""16"";""15"";""28"";""0"";""1012"";""0"";""0"";""pioggia """
"Napoli;18/12/2018;""9"";""4"";""13"";""1"";""54"";""19"";""12"";""22"";""0"";""1022"";""0"";""0"";"""""
"Napoli;19/12/2018;""7"";""1"";""13"";""2"";""64"";""18"";""6"";""9"";""0"";""1024"";""0"";""0"";"""""
"Napoli;20/12/2018;""9"";""3"";""15"";""6"";""81"";""17"";""7"";""15"";""0"";""1023"";""0"";""0"";""pioggia """
"Napoli;21/12/2018;""10"";""5"";""15"";""7"";""82"";""14"";""6"";""15"";""0"";""1027"";""0"";""0"";""pioggia """
"Napoli;22/12/2018;""12"";""9"";""14"";""10"";""90"";""12"";""5"";""11"";""0"";""1026"";""0"";""0"";""pioggia """
"Napoli;23/12/2018;""14"";""10"";""17"";""12"";""87"";""20"";""6"";""15"";""0"";""1025"";""0"";""0"";"""""
"Napoli;24/12/2018;""14"";""12"";""16"";""12"";""82"";""18"";""8"";""26"";""0"";""1019"";""0"";""0"";""pioggia """
"Napoli;25/12/2018;""10"";""8"";""13"";""2"";""42"";""20"";""25"";""44"";""0"";""1024"";""0"";""0"";"""""
"Napoli;26/12/2018;""9"";""5"";""13"";""1"";""52"";""19"";""9"";""22"";""0"";""1029"";""0"";""0"";"""""
"Napoli;27/12/2018;""7"";""1"";""15"";""1"";""61"";""18"";""5"";""8"";""0"";""1026"";""0"";""0"";"""""
"Napoli;28/12/2018;""7"";""1"";""14"";""4"";""72"";""17"";""6"";""9"";""0"";""1025"";""0"";""0"";"""""
"Napoli;29/12/2018;""8"";""2"";""15"";""3"";""72"";""13"";""6"";""9"";""0"";""1025"";""0"";""0"";"""""
"Napoli;30/12/2018;""8"";""1"";""14"";""3"";""73"";""9"";""8"";""24"";""0"";""1022"";""0"";""0"";"""""
"Napoli;31/12/2018;""9"";""7"";""13"";""1"";""53"";""20"";""18"";""35"";""0"";""1023"";""0"";""0"";"""""
