LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/10/2019;""22"";""18"";""26"";""18"";""79"";""20"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Napoli;2/10/2019;""21"";""16"";""25"";""17"";""83"";""17"";""9"";""26"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Napoli;3/10/2019;""18"";""15"";""23"";""15"";""80"";""20"";""9"";""18"";""0"";""1006"";""0"";""0"";""pioggia temporale """
"Napoli;4/10/2019;""17"";""13"";""22"";""9"";""60"";""19"";""11"";""18"";""0"";""1011"";""0"";""0"";"""""
"Napoli;5/10/2019;""19"";""14"";""23"";""14"";""74"";""19"";""8"";""24"";""0"";""1011"";""0"";""0"";""pioggia """
"Napoli;6/10/2019;""19"";""14"";""24"";""14"";""74"";""21"";""6"";""13"";""0"";""1011"";""0"";""0"";"""""
"Napoli;7/10/2019;""17"";""15"";""19"";""13"";""76"";""16"";""16"";""37"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Napoli;8/10/2019;""19"";""16"";""24"";""8"";""49"";""20"";""15"";""31"";""0"";""1015"";""0"";""0"";"""""
"Napoli;9/10/2019;""19"";""13"";""25"";""11"";""58"";""20"";""6"";""11"";""0"";""1019"";""0"";""0"";"""""
"Napoli;10/10/2019;""20"";""15"";""26"";""15"";""71"";""20"";""6"";""15"";""0"";""1017"";""0"";""0"";"""""
"Napoli;11/10/2019;""20"";""15"";""25"";""15"";""75"";""18"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Napoli;12/10/2019;""19"";""15"";""25"";""15"";""77"";""19"";""6"";""11"";""0"";""1024"";""0"";""0"";"""""
"Napoli;13/10/2019;""19"";""13"";""24"";""14"";""75"";""19"";""6"";""11"";""0"";""1023"";""0"";""0"";"""""
"Napoli;14/10/2019;""19"";""14"";""24"";""15"";""76"";""20"";""5"";""11"";""0"";""1021"";""0"";""0"";"""""
"Napoli;15/10/2019;""19"";""13"";""24"";""14"";""72"";""15"";""7"";""13"";""0"";""1018"";""0"";""0"";""pioggia """
"Napoli;16/10/2019;""19"";""16"";""22"";""14"";""75"";""18"";""10"";""22"";""0"";""1018"";""0"";""0"";""pioggia """
"Napoli;17/10/2019;""17"";""13"";""22"";""12"";""71"";""20"";""6"";""13"";""0"";""1019"";""0"";""0"";"""""
"Napoli;18/10/2019;""18"";""13"";""23"";""13"";""75"";""19"";""6"";""11"";""0"";""1019"";""0"";""0"";"""""
"Napoli;19/10/2019;""18"";""13"";""23"";""13"";""76"";""20"";""6"";""11"";""0"";""1018"";""0"";""0"";"""""
"Napoli;20/10/2019;""19"";""13"";""26"";""14"";""75"";""20"";""6"";""9"";""0"";""1020"";""0"";""0"";"""""
"Napoli;21/10/2019;""20"";""14"";""27"";""15"";""72"";""18"";""5"";""9"";""0"";""1022"";""0"";""0"";"""""
"Napoli;22/10/2019;""20"";""15"";""26"";""15"";""74"";""18"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Napoli;23/10/2019;""20"";""14"";""27"";""13"";""65"";""19"";""6"";""11"";""0"";""1019"";""0"";""0"";"""""
"Napoli;24/10/2019;""19"";""14"";""25"";""12"";""62"";""19"";""8"";""17"";""0"";""1015"";""0"";""0"";"""""
"Napoli;25/10/2019;""21"";""18"";""25"";""14"";""62"";""20"";""9"";""15"";""0"";""1016"";""0"";""0"";""pioggia """
"Napoli;26/10/2019;""21"";""16"";""26"";""13"";""60"";""20"";""9"";""15"";""0"";""1020"";""0"";""0"";"""""
"Napoli;27/10/2019;""18"";""13"";""24"";""12"";""69"";""18"";""5"";""11"";""0"";""1020"";""0"";""0"";"""""
"Napoli;28/10/2019;""17"";""12"";""22"";""14"";""82"";""13"";""5"";""11"";""0"";""1017"";""0"";""0"";"""""
"Napoli;29/10/2019;""17"";""12"";""21"";""14"";""82"";""13"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Napoli;30/10/2019;""17"";""12"";""22"";""14"";""83"";""12"";""5"";""15"";""0"";""1018"";""0"";""0"";"""""
"Napoli;31/10/2019;""17"";""13"";""22"";""15"";""84"";""14"";""5"";""11"";""0"";""1017"";""0"";""0"";""pioggia """
