LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Napoli;1/11/2020;""17"";""15"";""19"";""13"";""77"";""18"";""4"";""13"";""0"";""1023"";""0"";""0"";"""""
"Napoli;2/11/2020;""16"";""11"";""20"";""11"";""76"";""22"";""5"";""13"";""0"";""1024"";""0"";""0"";"""""
"Napoli;3/11/2020;""14"";""10"";""20"";""10"";""78"";""19"";""5"";""13"";""0"";""1024"";""0"";""0"";"""""
"Napoli;4/11/2020;""15"";""11"";""20"";""12"";""80"";""18"";""5"";""13"";""0"";""1022"";""0"";""0"";"""""
"Napoli;5/11/2020;""17"";""13"";""21"";""11"";""71"";""20"";""8"";""17"";""0"";""1025"";""0"";""0"";"""""
"Napoli;6/11/2020;""17"";""13"";""21"";""11"";""68"";""20"";""11"";""24"";""0"";""1027"";""0"";""0"";"""""
"Napoli;7/11/2020;""16"";""10"";""21"";""9"";""67"";""20"";""6"";""11"";""0"";""1027"";""0"";""0"";"""""
"Napoli;8/11/2020;""14"";""9"";""20"";""10"";""78"";""18"";""6"";""13"";""0"";""1025"";""0"";""0"";"""""
"Napoli;9/11/2020;""15"";""8"";""21"";""10"";""74"";""17"";""5"";""8"";""0"";""1023"";""0"";""0"";"""""
"Napoli;10/11/2020;""15"";""9"";""23"";""9"";""71"";""19"";""6"";""15"";""0"";""1023"";""0"";""0"";"""""
"Napoli;11/11/2020;""14"";""9"";""21"";""11"";""79"";""17"";""5"";""13"";""0"";""1024"";""0"";""0"";"""""
"Napoli;12/11/2020;""15"";""11"";""19"";""12"";""86"";""11"";""5"";""11"";""0"";""1025"";""0"";""0"";"""""
"Napoli;13/11/2020;""16"";""11"";""20"";""13"";""87"";""12"";""4"";""11"";""0"";""1025"";""0"";""0"";""pioggia """
"Napoli;14/11/2020;""16"";""11"";""20"";""13"";""84"";""16"";""6"";""11"";""0"";""1024"";""0"";""0"";""pioggia temporale """
"Napoli;15/11/2020;""16"";""12"";""20"";""13"";""86"";""21"";""4"";""9"";""0"";""1022"";""0"";""0"";""pioggia """
"Napoli;16/11/2020;""15"";""12"";""18"";""13"";""90"";""12"";""5"";""13"";""0"";""1018"";""0"";""0"";""pioggia """
"Napoli;17/11/2020;""15"";""14"";""17"";""11"";""77"";""18"";""14"";""26"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Napoli;18/11/2020;""16"";""12"";""20"";""10"";""68"";""21"";""14"";""21"";""0"";""1025"";""0"";""0"";"""""
"Napoli;19/11/2020;""14"";""7"";""19"";""10"";""76"";""20"";""6"";""13"";""0"";""1023"";""0"";""0"";"""""
"Napoli;20/11/2020;""13"";""10"";""14"";""11"";""89"";""13"";""10"";""41"";""0"";""1013"";""0"";""0"";""pioggia """
"Napoli;21/11/2020;""11"";""9"";""13"";""5"";""65"";""19"";""30"";""50"";""0"";""1018"";""0"";""0"";""pioggia """
"Napoli;22/11/2020;""10"";""7"";""14"";""3"";""58"";""20"";""17"";""28"";""0"";""1024"";""0"";""0"";"""""
"Napoli;23/11/2020;""13"";""7"";""18"";""7"";""71"";""18"";""7"";""15"";""0"";""1025"";""0"";""0"";"""""
"Napoli;24/11/2020;""13"";""9"";""18"";""8"";""72"";""21"";""9"";""13"";""0"";""1022"";""0"";""0"";"""""
"Napoli;25/11/2020;""12"";""8"";""18"";""7"";""72"";""21"";""6"";""11"";""0"";""1022"";""0"";""0"";"""""
"Napoli;26/11/2020;""12"";""7"";""19"";""8"";""75"";""22"";""5"";""9"";""0"";""1022"";""0"";""0"";"""""
"Napoli;27/11/2020;""11"";""6"";""18"";""8"";""79"";""17"";""4"";""9"";""0"";""1021"";""0"";""0"";"""""
"Napoli;28/11/2020;""13"";""8"";""19"";""8"";""70"";""18"";""8"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Napoli;29/11/2020;""13"";""12"";""14"";""10"";""85"";""22"";""12"";""28"";""0"";""1010"";""0"";""0"";""pioggia """
"Napoli;30/11/2020;""13"";""8"";""16"";""6"";""65"";""19"";""13"";""24"";""0"";""1018"";""0"";""0"";"""""
