LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/1/2010;""16"";""13"";""17"";""10"";""67"";""10"";""28"";""38"";""52"";""1005"";""0"";""0"";""pioggia """
"Palermo;2/1/2010;""15"";""14"";""15"";""10"";""71"";""10"";""26"";""33"";""59"";""1013"";""0"";""0"";""pioggia """
"Palermo;3/1/2010;""13"";""8"";""15"";""7"";""68"";""10"";""12"";""30"";""0"";""1019"";""0"";""0"";"""""
"Palermo;4/1/2010;""14"";""8"";""18"";""8"";""67"";""10"";""10"";""24"";""28"";""1013"";""0"";""0"";"""""
"Palermo;5/1/2010;""17"";""15"";""20"";""8"";""54"";""10"";""17"";""29"";""48"";""1004"";""0"";""0"";"""""
"Palermo;6/1/2010;""16"";""14"";""17"";""11"";""72"";""10"";""17"";""22"";""0"";""1005"";""0"";""0"";"""""
"Palermo;7/1/2010;""16"";""14"";""21"";""10"";""68"";""11"";""10"";""23"";""0"";""1008"";""0"";""0"";"""""
"Palermo;8/1/2010;""17"";""14"";""22"";""10"";""66"";""10"";""22"";""43"";""50"";""1000"";""0"";""0"";""pioggia temporale """
"Palermo;9/1/2010;""11"";""7"";""14"";""7"";""72"";""9"";""23"";""35"";""38"";""1005"";""0"";""0"";""pioggia """
Palermo;10/1/2010;;;;;;;;;;;;;
"Palermo;11/1/2010;""11"";""9"";""13"";""6"";""68"";""10"";""15"";""18"";""0"";""1015"";""0"";""0"";""pioggia """
"Palermo;12/1/2010;""11"";""9"";""13"";""8"";""79"";""10"";""11"";""22"";""25"";""1014"";""0"";""0"";""pioggia """
"Palermo;13/1/2010;""12"";""8"";""15"";""8"";""80"";""8"";""13"";""23"";""37"";""0"";""0"";""0"";""pioggia """
"Palermo;14/1/2010;""13"";""10"";""14"";""9"";""80"";""10"";""7"";""22"";""0"";""1009"";""0"";""0"";""pioggia """
"Palermo;15/1/2010;""12"";""10"";""14"";""9"";""82"";""6"";""22"";""89"";""46"";""1006"";""0"";""0"";""pioggia """
"Palermo;16/1/2010;""13"";""11"";""14"";""9"";""76"";""9"";""13"";""21"";""0"";""1018"";""0"";""0"";""pioggia """
"Palermo;17/1/2010;""11"";""8"";""14"";""7"";""76"";""10"";""7"";""12"";""0"";""1022"";""0"";""0"";"""""
"Palermo;18/1/2010;""13"";""11"";""15"";""10"";""81"";""10"";""8"";""14"";""0"";""1019"";""0"";""0"";""pioggia """
"Palermo;19/1/2010;""12"";""10"";""14"";""8"";""73"";""10"";""8"";""13"";""0"";""1020"";""0"";""0"";"""""
"Palermo;20/1/2010;""12"";""8"";""14"";""7"";""72"";""10"";""11"";""23"";""0"";""1016"";""0"";""0"";"""""
"Palermo;21/1/2010;""13"";""12"";""14"";""10"";""81"";""10"";""20"";""27"";""37"";""1011"";""0"";""0"";""pioggia temporale """
"Palermo;22/1/2010;""13"";""10"";""14"";""6"";""62"";""10"";""9"";""20"";""30"";""1018"";""0"";""0"";"""""
"Palermo;23/1/2010;""10"";""6"";""13"";""3"";""61"";""10"";""12"";""21"";""0"";""1020"";""0"";""0"";""pioggia """
"Palermo;24/1/2010;""9"";""5"";""13"";""4"";""72"";""10"";""5"";""12"";""0"";""1023"";""0"";""0"";"""""
"Palermo;25/1/2010;""12"";""9"";""14"";""7"";""72"";""10"";""4"";""9"";""0"";""1022"";""0"";""0"";"""""
"Palermo;26/1/2010;""13"";""9"";""16"";""8"";""69"";""10"";""6"";""16"";""37"";""1016"";""0"";""0"";""pioggia """
"Palermo;27/1/2010;""14"";""12"";""17"";""10"";""77"";""10"";""8"";""64"";""0"";""1007"";""0"";""0"";""pioggia """
"Palermo;28/1/2010;""13"";""11"";""14"";""10"";""79"";""10"";""18"";""90"";""0"";""1008"";""0"";""0"";""pioggia """
"Palermo;29/1/2010;""12"";""11"";""13"";""8"";""73"";""10"";""21"";""32"";""28"";""1001"";""0"";""0"";""pioggia """
"Palermo;30/1/2010;""12"";""11"";""14"";""9"";""79"";""10"";""20"";""30"";""43"";""0"";""0"";""0"";""pioggia """
"Palermo;31/1/2010;""12"";""10"";""13"";""8"";""75"";""9"";""20"";""33"";""45"";""1005"";""0"";""0"";""pioggia temporale """
