LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/3/2010;""16"";""14"";""24"";""13"";""80"";""11"";""12"";""29"";""0"";""1014"";""0"";""0"";"""""
"Palermo;2/3/2010;""15"";""14"";""15"";""12"";""84"";""10"";""9"";""18"";""0"";""1022"";""0"";""0"";"""""
"Palermo;3/3/2010;""17"";""12"";""24"";""9"";""65"";""10"";""12"";""39"";""55"";""1012"";""0"";""0"";"""""
"Palermo;4/3/2010;""15"";""14"";""17"";""11"";""76"";""11"";""23"";""33"";""44"";""1008"";""0"";""0"";"""""
"Palermo;5/3/2010;""14"";""14"";""15"";""10"";""74"";""10"";""20"";""53"";""0"";""1013"";""0"";""0"";"""""
"Palermo;6/3/2010;""12"";""11"";""14"";""6"";""66"";""10"";""11"";""18"";""0"";""1014"";""0"";""0"";""pioggia """
"Palermo;7/3/2010;""11"";""9"";""13"";""10"";""90"";""10"";""10"";""30"";""0"";""1008"";""0"";""0"";""pioggia """
"Palermo;8/3/2010;""11"";""9"";""13"";""8"";""81"";""9"";""14"";""27"";""0"";""1005"";""0"";""0"";""pioggia """
"Palermo;9/3/2010;""14"";""9"";""17"";""10"";""77"";""9"";""21"";""38"";""61"";""999"";""0"";""0"";""pioggia """
"Palermo;10/3/2010;""11"";""9"";""12"";""6"";""69"";""10"";""18"";""27"";""36"";""1007"";""0"";""0"";""pioggia """
"Palermo;11/3/2010;""10"";""9"";""12"";""5"";""69"";""10"";""16"";""22"";""0"";""1014"";""0"";""0"";""pioggia """
"Palermo;12/3/2010;""11"";""9"";""13"";""5"";""65"";""11"";""10"";""15"";""0"";""1016"";""0"";""0"";"""""
"Palermo;13/3/2010;""10"";""9"";""12"";""8"";""86"";""8"";""12"";""22"";""0"";""1015"";""0"";""0"";""pioggia """
"Palermo;14/3/2010;""11"";""9"";""13"";""7"";""72"";""10"";""10"";""20"";""0"";""1017"";""0"";""0"";""pioggia """
"Palermo;15/3/2010;""12"";""8"";""14"";""7"";""70"";""10"";""7"";""13"";""0"";""1020"";""0"";""0"";"""""
"Palermo;16/3/2010;""12"";""10"";""14"";""7"";""72"";""10"";""13"";""23"";""28"";""1023"";""0"";""0"";""pioggia """
"Palermo;17/3/2010;""13"";""9"";""14"";""9"";""76"";""11"";""10"";""18"";""0"";""1032"";""0"";""0"";"""""
"Palermo;18/3/2010;""13"";""8"";""18"";""7"";""68"";""12"";""8"";""16"";""0"";""1034"";""0"";""0"";"""""
"Palermo;19/3/2010;""14"";""10"";""17"";""9"";""69"";""12"";""6"";""12"";""0"";""1031"";""0"";""0"";"""""
"Palermo;20/3/2010;""14"";""10"";""19"";""10"";""73"";""11"";""5"";""12"";""0"";""1028"";""0"";""0"";"""""
"Palermo;21/3/2010;""16"";""12"";""20"";""11"";""70"";""10"";""4"";""10"";""0"";""1026"";""0"";""0"";"""""
"Palermo;22/3/2010;""17"";""14"";""19"";""9"";""59"";""10"";""7"";""16"";""0"";""1021"";""0"";""0"";"""""
"Palermo;23/3/2010;""15"";""12"";""16"";""13"";""88"";""10"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Palermo;24/3/2010;""14"";""11"";""16"";""12"";""84"";""10"";""7"";""17"";""0"";""1017"";""0"";""0"";"""""
Palermo;25/3/2010;;;;;;;;;;;;;
"Palermo;26/3/2010;""15"";""13"";""22"";""13"";""87"";""7"";""4"";""10"";""0"";""1019"";""0"";""0"";"""""
"Palermo;27/3/2010;""16"";""13"";""18"";""13"";""83"";""9"";""13"";""24"";""0"";""1018"";""0"";""0"";"""""
"Palermo;28/3/2010;""15"";""12"";""16"";""12"";""80"";""10"";""13"";""22"";""0"";""1019"";""0"";""0"";"""""
"Palermo;29/3/2010;""15"";""9"";""19"";""10"";""70"";""10"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Palermo;30/3/2010;""19"";""15"";""25"";""11"";""60"";""10"";""13"";""24"";""37"";""1011"";""0"";""0"";"""""
"Palermo;31/3/2010;""16"";""14"";""18"";""11"";""73"";""12"";""10"";""20"";""0"";""1015"";""0"";""0"";"""""
