LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/6/2014;""19"";""16"";""21"";""15"";""74"";""11"";""15"";""26"";""0"";""1015"";""0"";""0"";"""""
"Palermo;2/6/2014;""20"";""19"";""22"";""14"";""67"";""10"";""29"";""37"";""0"";""1012"";""0"";""0"";"""""
"Palermo;3/6/2014;""20"";""18"";""22"";""16"";""77"";""12"";""18"";""33"";""0"";""1012"";""0"";""0"";"""""
"Palermo;4/6/2014;""20"";""16"";""23"";""16"";""77"";""12"";""10"";""19"";""0"";""1014"";""0"";""0"";"""""
"Palermo;5/6/2014;""20"";""16"";""25"";""16"";""75"";""20"";""12"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;6/6/2014;""23"";""17"";""29"";""15"";""65"";""20"";""13"";""28"";""0"";""1017"";""0"";""0"";"""""
"Palermo;7/6/2014;""23"";""18"";""29"";""14"";""58"";""20"";""15"";""32"";""0"";""1017"";""0"";""0"";"""""
"Palermo;8/6/2014;""22"";""18"";""23"";""18"";""80"";""21"";""12"";""22"";""0"";""1018"";""0"";""0"";"""""
"Palermo;9/6/2014;""23"";""19"";""27"";""18"";""77"";""18"";""16"";""35"";""0"";""1016"";""0"";""0"";"""""
"Palermo;10/6/2014;""23"";""20"";""28"";""18"";""76"";""21"";""11"";""30"";""0"";""1017"";""0"";""0"";"""""
"Palermo;11/6/2014;""24"";""20"";""27"";""19"";""76"";""18"";""12"";""32"";""0"";""1019"";""0"";""0"";"""""
"Palermo;12/6/2014;""23"";""20"";""26"";""20"";""81"";""22"";""11"";""22"";""0"";""1018"";""0"";""0"";"""""
"Palermo;13/6/2014;""24"";""20"";""26"";""21"";""86"";""14"";""9"";""19"";""0"";""1015"";""0"";""0"";"""""
"Palermo;14/6/2014;""24"";""19"";""26"";""19"";""74"";""13"";""11"";""30"";""0"";""1010"";""0"";""0"";"""""
"Palermo;15/6/2014;""25"";""23"";""27"";""18"";""65"";""15"";""20"";""35"";""0"";""1009"";""0"";""0"";"""""
"Palermo;16/6/2014;""26"";""23"";""29"";""15"";""53"";""11"";""19"";""35"";""0"";""1011"";""0"";""0"";""pioggia """
"Palermo;17/6/2014;""22"";""21"";""23"";""18"";""77"";""10"";""16"";""30"";""0"";""1012"";""0"";""0"";""pioggia """
"Palermo;18/6/2014;""22"";""19"";""24"";""18"";""77"";""11"";""13"";""20"";""0"";""1015"";""0"";""0"";"""""
"Palermo;19/6/2014;""22"";""20"";""23"";""16"";""70"";""12"";""21"";""35"";""0"";""1016"";""0"";""0"";"""""
"Palermo;20/6/2014;""22"";""19"";""24"";""17"";""72"";""14"";""13"";""22"";""0"";""1016"";""0"";""0"";"""""
"Palermo;21/6/2014;""23"";""17"";""28"";""16"";""63"";""20"";""13"";""28"";""0"";""1016"";""0"";""0"";"""""
"Palermo;22/6/2014;""25"";""19"";""29"";""15"";""55"";""20"";""12"";""26"";""0"";""1019"";""0"";""0"";"""""
"Palermo;23/6/2014;""25"";""20"";""29"";""18"";""68"";""20"";""12"";""26"";""0"";""1021"";""0"";""0"";"""""
"Palermo;24/6/2014;""34"";""24"";""37"";""5"";""19"";""20"";""40"";""56"";""80"";""1014"";""0"";""0"";"""""
"Palermo;25/6/2014;""26"";""23"";""34"";""16"";""61"";""12"";""17"";""35"";""43"";""1013"";""0"";""0"";"""""
"Palermo;26/6/2014;""24"";""22"";""26"";""21"";""85"";""11"";""13"";""22"";""35"";""1012"";""0"";""0"";"""""
"Palermo;27/6/2014;""23"";""20"";""26"";""19"";""77"";""11"";""9"";""17"";""0"";""1018"";""0"";""0"";"""""
"Palermo;28/6/2014;""24"";""21"";""28"";""19"";""71"";""14"";""15"";""35"";""0"";""1019"";""0"";""0"";"""""
"Palermo;29/6/2014;""27"";""20"";""35"";""15"";""54"";""18"";""20"";""48"";""70"";""1014"";""0"";""0"";""pioggia """
"Palermo;30/6/2014;""24"";""22"";""29"";""18"";""70"";""12"";""19"";""41"";""52"";""1015"";""0"";""0"";""pioggia """
