LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/5/2014;""16"";""14"";""18"";""12"";""75"";""11"";""15"";""28"";""0"";""1012"";""0"";""0"";"""""
"Palermo;2/5/2014;""16"";""13"";""18"";""12"";""77"";""11"";""10"";""22"";""0"";""1011"";""0"";""0"";"""""
"Palermo;3/5/2014;""16"";""14"";""17"";""11"";""73"";""11"";""30"";""41"";""61"";""1006"";""0"";""0"";""pioggia """
"Palermo;4/5/2014;""16"";""15"";""17"";""12"";""78"";""11"";""19"";""32"";""0"";""1008"";""0"";""0"";""pioggia """
"Palermo;5/5/2014;""17"";""15"";""18"";""12"";""72"";""13"";""17"";""28"";""0"";""1015"";""0"";""0"";""pioggia """
"Palermo;6/5/2014;""16"";""13"";""19"";""11"";""70"";""19"";""16"";""35"";""0"";""1020"";""0"";""0"";"""""
"Palermo;7/5/2014;""17"";""13"";""20"";""11"";""70"";""16"";""11"";""26"";""0"";""1020"";""0"";""0"";"""""
"Palermo;8/5/2014;""17"";""13"";""18"";""13"";""81"";""11"";""11"";""22"";""0"";""1018"";""0"";""0"";"""""
"Palermo;9/5/2014;""17"";""15"";""19"";""14"";""81"";""11"";""11"";""20"";""0"";""1018"";""0"";""0"";""pioggia """
"Palermo;10/5/2014;""17"";""13"";""20"";""14"";""83"";""16"";""11"";""28"";""0"";""1018"";""0"";""0"";"""""
"Palermo;11/5/2014;""19"";""15"";""22"";""14"";""75"";""14"";""8"";""19"";""0"";""1016"";""0"";""0"";"""""
"Palermo;12/5/2014;""21"";""18"";""25"";""13"";""60"";""15"";""18"";""32"";""0"";""1016"";""0"";""0"";"""""
"Palermo;13/5/2014;""20"";""16"";""23"";""15"";""73"";""13"";""11"";""28"";""0"";""1013"";""0"";""0"";"""""
"Palermo;14/5/2014;""18"";""17"";""19"";""12"";""70"";""11"";""30"";""44"";""0"";""1017"";""0"";""0"";"""""
"Palermo;15/5/2014;""17"";""14"";""18"";""12"";""72"";""11"";""17"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;16/5/2014;""17"";""14"";""18"";""11"";""67"";""10"";""16"";""35"";""59"";""1015"";""0"";""0"";""pioggia temporale """
"Palermo;17/5/2014;""17"";""14"";""19"";""11"";""64"";""13"";""16"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;18/5/2014;""17"";""14"";""20"";""11"";""66"";""13"";""7"";""17"";""0"";""1017"";""0"";""0"";""pioggia """
"Palermo;19/5/2014;""18"";""17"";""20"";""16"";""85"";""11"";""10"";""20"";""0"";""1015"";""0"";""0"";"""""
"Palermo;20/5/2014;""19"";""15"";""23"";""16"";""82"";""13"";""12"";""30"";""0"";""1017"";""0"";""0"";"""""
"Palermo;21/5/2014;""20"";""17"";""22"";""17"";""85"";""12"";""13"";""28"";""0"";""1018"";""0"";""0"";"""""
"Palermo;22/5/2014;""20"";""17"";""25"";""18"";""88"";""16"";""11"";""28"";""0"";""1016"";""0"";""0"";"""""
"Palermo;23/5/2014;""21"";""19"";""23"";""17"";""81"";""11"";""14"";""33"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Palermo;24/5/2014;""20"";""18"";""22"";""18"";""91"";""10"";""10"";""20"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Palermo;25/5/2014;""20"";""17"";""21"";""19"";""95"";""8"";""15"";""30"";""0"";""1014"";""0"";""0"";"""""
"Palermo;26/5/2014;""20"";""17"";""21"";""17"";""86"";""11"";""13"";""28"";""0"";""1017"";""0"";""0"";"""""
"Palermo;27/5/2014;""20"";""19"";""21"";""16"";""79"";""11"";""13"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;28/5/2014;""20"";""17"";""22"";""14"";""71"";""10"";""14"";""28"";""0"";""1014"";""0"";""0"";"""""
"Palermo;29/5/2014;""19"";""18"";""20"";""14"";""72"";""11"";""16"";""24"";""0"";""1014"";""0"";""0"";"""""
"Palermo;30/5/2014;""20"";""18"";""21"";""15"";""76"";""11"";""17"";""24"";""0"";""1016"";""0"";""0"";"""""
"Palermo;31/5/2014;""20"";""18"";""21"";""16"";""76"";""11"";""15"";""32"";""0"";""1015"";""0"";""0"";"""""
