LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/10/2014;""22"";""18"";""25"";""15"";""65"";""19"";""9"";""20"";""0"";""1024"";""0"";""0"";"""""
"Palermo;2/10/2014;""24"";""20"";""27"";""18"";""70"";""14"";""15"";""30"";""0"";""1021"";""0"";""0"";"""""
"Palermo;3/10/2014;""23"";""22"";""25"";""19"";""76"";""12"";""13"";""24"";""0"";""1018"";""0"";""0"";"""""
"Palermo;4/10/2014;""22"";""19"";""25"";""18"";""81"";""10"";""8"";""19"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Palermo;5/10/2014;""21"";""19"";""23"";""18"";""84"";""10"";""16"";""35"";""43"";""1012"";""0"";""0"";""pioggia """
"Palermo;6/10/2014;""23"";""20"";""25"";""17"";""69"";""13"";""15"";""24"";""0"";""1014"";""0"";""0"";"""""
"Palermo;7/10/2014;""22"";""17"";""25"";""16"";""70"";""15"";""11"";""24"";""0"";""1019"";""0"";""0"";"""""
"Palermo;8/10/2014;""23"";""19"";""28"";""17"";""69"";""20"";""11"";""20"";""0"";""1019"";""0"";""0"";"""""
"Palermo;9/10/2014;""23"";""19"";""27"";""18"";""72"";""22"";""10"";""20"";""0"";""1019"";""0"";""0"";"""""
"Palermo;10/10/2014;""24"";""20"";""27"";""19"";""72"";""25"";""11"";""22"";""0"";""1018"";""0"";""0"";"""""
"Palermo;11/10/2014;""23"";""20"";""27"";""19"";""77"";""15"";""9"";""20"";""0"";""1018"";""0"";""0"";"""""
"Palermo;12/10/2014;""24"";""19"";""26"";""18"";""71"";""19"";""13"";""28"";""0"";""1017"";""0"";""0"";"""""
"Palermo;13/10/2014;""26"";""20"";""32"";""17"";""61"";""20"";""12"";""28"";""0"";""1016"";""0"";""0"";"""""
"Palermo;14/10/2014;""29"";""22"";""35"";""12"";""41"";""14"";""18"";""39"";""56"";""1012"";""0"";""0"";"""""
"Palermo;15/10/2014;""27"";""23"";""33"";""16"";""53"";""11"";""16"";""37"";""56"";""1012"";""0"";""0"";""pioggia temporale """
"Palermo;16/10/2014;""23"";""21"";""25"";""18"";""73"";""13"";""9"";""19"";""0"";""1019"";""0"";""0"";"""""
"Palermo;17/10/2014;""24"";""20"";""28"";""19"";""75"";""20"";""10"";""20"";""0"";""0"";""0"";""0"";"""""
"Palermo;18/10/2014;""23"";""20"";""26"";""18"";""70"";""19"";""10"";""20"";""0"";""1023"";""0"";""0"";"""""
"Palermo;19/10/2014;""22"";""19"";""26"";""19"";""81"";""12"";""10"";""30"";""0"";""1024"";""0"";""0"";"""""
"Palermo;20/10/2014;""22"";""19"";""24"";""19"";""82"";""13"";""9"";""22"";""0"";""1023"";""0"";""0"";"""""
"Palermo;21/10/2014;""21"";""18"";""24"";""17"";""78"";""13"";""10"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;22/10/2014;""23"";""21"";""24"";""16"";""66"";""10"";""33"";""44"";""0"";""1009"";""0"";""0"";"""""
"Palermo;23/10/2014;""20"";""18"";""21"";""11"";""54"";""11"";""35"";""52"";""63"";""1010"";""0"";""0"";""pioggia temporale """
"Palermo;24/10/2014;""19"";""18"";""21"";""12"";""60"";""11"";""21"";""52"";""70"";""1011"";""0"";""0"";""pioggia temporale """
"Palermo;25/10/2014;""21"";""20"";""21"";""14"";""63"";""12"";""22"";""39"";""0"";""1016"";""0"";""0"";""pioggia """
"Palermo;26/10/2014;""20"";""17"";""22"";""12"";""60"";""13"";""10"";""17"";""0"";""1020"";""0"";""0"";"""""
"Palermo;27/10/2014;""18"";""14"";""21"";""12"";""67"";""13"";""8"";""19"";""0"";""1019"";""0"";""0"";""pioggia temporale """
"Palermo;28/10/2014;""17"";""15"";""20"";""12"";""69"";""12"";""10"";""17"";""0"";""1018"";""0"";""0"";""pioggia """
"Palermo;29/10/2014;""18"";""15"";""21"";""12"";""68"";""13"";""11"";""17"";""0"";""1018"";""0"";""0"";"""""
"Palermo;30/10/2014;""18"";""14"";""21"";""13"";""74"";""11"";""10"";""24"";""0"";""1021"";""0"";""0"";"""""
"Palermo;31/10/2014;""19"";""17"";""20"";""12"";""61"";""10"";""21"";""33"";""0"";""1021"";""0"";""0"";""pioggia """
