LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/12/2015;""15"";""10"";""17"";""10"";""74"";""10"";""17"";""26"";""0"";""1029"";""0"";""0"";"""""
"Palermo;2/12/2015;""14"";""10"";""17"";""9"";""71"";""10"";""10"";""22"";""0"";""1029"";""0"";""0"";"""""
"Palermo;3/12/2015;""15"";""13"";""17"";""10"";""73"";""10"";""7"";""15"";""0"";""1031"";""0"";""0"";"""""
"Palermo;4/12/2015;""14"";""12"";""17"";""10"";""74"";""10"";""8"";""17"";""0"";""1033"";""0"";""0"";"""""
"Palermo;5/12/2015;""15"";""12"";""18"";""11"";""76"";""10"";""7"";""13"";""0"";""1034"";""0"";""0"";"""""
"Palermo;6/12/2015;""15"";""11"";""18"";""10"";""74"";""10"";""6"";""11"";""0"";""1035"";""0"";""0"";"""""
"Palermo;7/12/2015;""14"";""11"";""18"";""10"";""75"";""0"";""6"";""11"";""0"";""1035"";""0"";""0"";"""""
"Palermo;8/12/2015;""15"";""11"";""18"";""10"";""76"";""10"";""8"";""13"";""0"";""1033"";""0"";""0"";"""""
"Palermo;9/12/2015;""15"";""12"";""17"";""11"";""76"";""10"";""12"";""19"";""0"";""1032"";""0"";""0"";""pioggia """
"Palermo;10/12/2015;""15"";""12"";""17"";""11"";""74"";""10"";""12"";""44"";""0"";""1030"";""0"";""0"";""pioggia """
"Palermo;11/12/2015;""16"";""15"";""16"";""8"";""62"";""10"";""18"";""28"";""0"";""1031"";""0"";""0"";"""""
"Palermo;12/12/2015;""15"";""9"";""16"";""8"";""64"";""10"";""13"";""20"";""0"";""1029"";""0"";""0"";"""""
"Palermo;13/12/2015;""11"";""7"";""16"";""5"";""66"";""0"";""9"";""24"";""0"";""1026"";""0"";""0"";"""""
"Palermo;14/12/2015;""14"";""12"";""17"";""8"";""65"";""10"";""12"";""30"";""0"";""1024"";""0"";""0"";"""""
"Palermo;15/12/2015;""13"";""9"";""16"";""9"";""75"";""10"";""9"";""13"";""0"";""1027"";""0"";""0"";"""""
"Palermo;16/12/2015;""13"";""10"";""16"";""9"";""78"";""10"";""12"";""24"";""0"";""1029"";""0"";""0"";""pioggia """
"Palermo;17/12/2015;""15"";""14"";""16"";""6"";""55"";""10"";""25"";""32"";""0"";""1028"";""0"";""0"";"""""
"Palermo;18/12/2015;""14"";""11"";""16"";""6"";""58"";""10"";""11"";""24"";""0"";""1029"";""0"";""0"";"""""
"Palermo;19/12/2015;""13"";""9"";""16"";""9"";""79"";""10"";""8"";""11"";""0"";""1028"";""0"";""0"";"""""
"Palermo;20/12/2015;""14"";""12"";""17"";""10"";""73"";""10"";""12"";""30"";""0"";""1027"";""0"";""0"";""pioggia """
"Palermo;21/12/2015;""14"";""11"";""16"";""10"";""76"";""10"";""8"";""17"";""0"";""1033"";""0"";""0"";"""""
"Palermo;22/12/2015;""13"";""9"";""16"";""10"";""81"";""10"";""10"";""20"";""0"";""1036"";""0"";""0"";"""""
"Palermo;23/12/2015;""13"";""9"";""16"";""9"";""78"";""0"";""6"";""11"";""0"";""1035"";""0"";""0"";"""""
"Palermo;24/12/2015;""13"";""9"";""18"";""9"";""73"";""10"";""8"";""17"";""0"";""1034"";""0"";""0"";"""""
"Palermo;25/12/2015;""14"";""11"";""17"";""8"";""70"";""10"";""8"";""22"";""0"";""1034"";""0"";""0"";"""""
"Palermo;26/12/2015;""12"";""9"";""15"";""8"";""74"";""10"";""8"";""15"";""0"";""1032"";""0"";""0"";"""""
"Palermo;27/12/2015;""14"";""9"";""16"";""9"";""76"";""10"";""11"";""19"";""0"";""1032"";""0"";""0"";"""""
"Palermo;28/12/2015;""12"";""9"";""16"";""9"";""81"";""10"";""9"";""20"";""0"";""1032"";""0"";""0"";"""""
"Palermo;29/12/2015;""13"";""9"";""16"";""8"";""72"";""10"";""10"";""17"";""0"";""1030"";""0"";""0"";"""""
"Palermo;30/12/2015;""14"";""12"";""16"";""8"";""64"";""10"";""12"";""20"";""0"";""1025"";""0"";""0"";"""""
"Palermo;31/12/2015;""13"";""9"";""16"";""8"";""71"";""10"";""13"";""28"";""0"";""1025"";""0"";""0"";"""""
