LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/11/2015;""18"";""17"";""19"";""16"";""84"";""10"";""31"";""54"";""67"";""1020"";""0"";""0"";""pioggia temporale """
"Palermo;2/11/2015;""19"";""17"";""21"";""16"";""79"";""10"";""15"";""30"";""0"";""1025"";""0"";""0"";""pioggia """
"Palermo;3/11/2015;""19"";""15"";""22"";""15"";""75"";""12"";""9"";""19"";""0"";""1027"";""0"";""0"";"""""
"Palermo;4/11/2015;""19"";""16"";""22"";""15"";""78"";""15"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Palermo;5/11/2015;""19"";""17"";""21"";""16"";""82"";""12"";""9"";""19"";""0"";""1021"";""0"";""0"";"""""
"Palermo;6/11/2015;""18"";""15"";""21"";""15"";""83"";""11"";""10"";""19"";""35"";""1023"";""0"";""0"";""pioggia temporale """
"Palermo;7/11/2015;""19"";""17"";""21"";""16"";""81"";""10"";""11"";""19"";""0"";""1026"";""0"";""0"";""pioggia temporale """
"Palermo;8/11/2015;""18"";""14"";""20"";""15"";""81"";""11"";""10"";""20"";""0"";""1029"";""0"";""0"";"""""
"Palermo;9/11/2015;""17"";""14"";""21"";""14"";""82"";""12"";""6"";""9"";""0"";""1030"";""0"";""0"";"""""
"Palermo;10/11/2015;""19"";""18"";""20"";""13"";""69"";""12"";""14"";""22"";""0"";""1026"";""0"";""0"";"""""
"Palermo;11/11/2015;""18"";""15"";""20"";""14"";""76"";""15"";""16"";""24"";""0"";""1025"";""0"";""0"";"""""
"Palermo;12/11/2015;""17"";""12"";""20"";""14"";""85"";""17"";""8"";""26"";""0"";""1025"";""0"";""0"";"""""
"Palermo;13/11/2015;""17"";""0"";""20"";""15"";""85"";""11"";""13"";""24"";""0"";""1028"";""0"";""0"";"""""
"Palermo;14/11/2015;""18"";""14"";""20"";""13"";""72"";""10"";""12"";""20"";""0"";""1026"";""0"";""0"";"""""
"Palermo;15/11/2015;""18"";""14"";""20"";""13"";""74"";""11"";""9"";""15"";""0"";""1022"";""0"";""0"";"""""
"Palermo;16/11/2015;""16"";""13"";""20"";""12"";""77"";""13"";""9"";""22"";""0"";""1020"";""0"";""0"";"""""
"Palermo;17/11/2015;""16"";""12"";""20"";""13"";""81"";""12"";""8"";""24"";""0"";""1021"";""0"";""0"";"""""
"Palermo;18/11/2015;""17"";""15"";""20"";""14"";""78"";""10"";""9"";""19"";""0"";""1023"";""0"";""0"";"""""
"Palermo;19/11/2015;""17"";""13"";""20"";""12"";""76"";""12"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Palermo;20/11/2015;""17"";""14"";""20"";""13"";""76"";""12"";""13"";""26"";""0"";""1021"";""0"";""0"";"""""
"Palermo;21/11/2015;""20"";""18"";""21"";""14"";""68"";""11"";""39"";""57"";""74"";""1006"";""0"";""0"";""pioggia """
"Palermo;22/11/2015;""16"";""14"";""18"";""8"";""59"";""10"";""27"";""44"";""0"";""1007"";""0"";""0"";""pioggia """
"Palermo;23/11/2015;""15"";""13"";""18"";""7"";""58"";""12"";""9"";""15"";""0"";""1015"";""0"";""0"";"""""
"Palermo;24/11/2015;""15"";""12"";""19"";""10"";""72"";""10"";""12"";""30"";""30"";""1015"";""0"";""0"";""pioggia temporale """
"Palermo;25/11/2015;""16"";""13"";""17"";""11"";""73"";""10"";""33"";""56"";""70"";""1008"";""0"";""0"";""pioggia """
"Palermo;26/11/2015;""14"";""12"";""28"";""10"";""74"";""11"";""37"";""52"";""67"";""996"";""0"";""0"";""pioggia temporale """
"Palermo;27/11/2015;""13"";""12"";""15"";""9"";""74"";""8"";""27"";""48"";""69"";""1002"";""0"";""0"";""pioggia temporale """
"Palermo;28/11/2015;""16"";""14"";""17"";""8"";""61"";""11"";""27"";""37"";""41"";""1015"";""0"";""0"";""pioggia """
"Palermo;29/11/2015;""16"";""14"";""17"";""9"";""63"";""10"";""18"";""30"";""0"";""1024"";""0"";""0"";""pioggia """
"Palermo;30/11/2015;""15"";""12"";""17"";""10"";""70"";""10"";""15"";""37"";""0"";""1030"";""0"";""0"";"""""
