LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/9/2015;""26"";""24"";""29"";""21"";""73"";""10"";""8"";""15"";""0"";""1015"";""0"";""0"";"""""
"Palermo;2/9/2015;""26"";""22"";""29"";""21"";""74"";""10"";""10"";""19"";""0"";""1015"";""0"";""0"";"""""
"Palermo;3/9/2015;""27"";""24"";""29"";""21"";""69"";""10"";""13"";""22"";""0"";""1014"";""0"";""0"";"""""
"Palermo;4/9/2015;""29"";""25"";""33"";""21"";""63"";""10"";""13"";""24"";""0"";""1014"";""0"";""0"";"""""
"Palermo;5/9/2015;""30"";""27"";""34"";""20"";""59"";""10"";""22"";""43"";""37"";""1014"";""0"";""0"";"""""
"Palermo;6/9/2015;""27"";""26"";""29"";""23"";""76"";""10"";""14"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;7/9/2015;""27"";""25"";""28"";""21"";""70"";""10"";""18"";""28"";""0"";""1016"";""0"";""0"";"""""
"Palermo;8/9/2015;""26"";""23"";""28"";""19"";""68"";""10"";""12"";""33"";""0"";""1014"";""0"";""0"";"""""
"Palermo;9/9/2015;""24"";""20"";""26"";""18"";""72"";""9"";""15"";""37"";""26"";""1010"";""0"";""0"";""pioggia """
"Palermo;10/9/2015;""24"";""21"";""26"";""17"";""65"";""10"";""20"";""37"";""0"";""1013"";""0"";""0"";""pioggia """
"Palermo;11/9/2015;""23"";""21"";""26"";""15"";""61"";""10"";""12"";""20"";""0"";""1019"";""0"";""0"";"""""
"Palermo;12/9/2015;""24"";""19"";""28"";""17"";""65"";""10"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Palermo;13/9/2015;""25"";""20"";""30"";""19"";""68"";""10"";""10"";""35"";""0"";""1018"";""0"";""0"";""pioggia """
"Palermo;14/9/2015;""29"";""24"";""33"";""13"";""38"";""0"";""23"";""33"";""50"";""1015"";""0"";""0"";"""""
"Palermo;15/9/2015;""28"";""24"";""32"";""16"";""49"";""25"";""14"";""28"";""0"";""1015"";""0"";""0"";"""""
"Palermo;16/9/2015;""29"";""26"";""34"";""17"";""49"";""25"";""12"";""24"";""0"";""1014"";""0"";""0"";"""""
"Palermo;17/9/2015;""30"";""27"";""35"";""14"";""38"";""25"";""15"";""28"";""0"";""1013"";""0"";""0"";"""""
"Palermo;18/9/2015;""27"";""24"";""31"";""19"";""62"";""24"";""11"";""20"";""0"";""1016"";""0"";""0"";"""""
"Palermo;19/9/2015;""26"";""23"";""28"";""23"";""85"";""11"";""12"";""24"";""0"";""1017"";""0"";""0"";"""""
"Palermo;20/9/2015;""24"";""24"";""26"";""18"";""68"";""11"";""23"";""41"";""0"";""1014"";""0"";""0"";""pioggia """
"Palermo;21/9/2015;""24"";""20"";""25"";""18"";""67"";""11"";""27"";""44"";""0"";""1012"";""0"";""0"";""temporale """
"Palermo;22/9/2015;""24"";""22"";""25"";""17"";""63"";""11"";""18"";""28"";""0"";""1011"";""0"";""0"";"""""
"Palermo;23/9/2015;""23"";""19"";""26"";""16"";""64"";""14"";""13"";""26"";""0"";""1011"";""0"";""0"";"""""
"Palermo;24/9/2015;""23"";""20"";""24"";""15"";""60"";""10"";""26"";""39"";""50"";""1012"";""0"";""0"";""pioggia """
"Palermo;25/9/2015;""21"";""19"";""24"";""14"";""63"";""11"";""14"";""33"";""0"";""1014"";""0"";""0"";""pioggia """
"Palermo;26/9/2015;""22"";""19"";""24"";""16"";""71"";""11"";""14"";""26"";""33"";""1014"";""0"";""0"";""pioggia """
"Palermo;27/9/2015;""22"";""18"";""24"";""16"";""71"";""12"";""10"";""17"";""0"";""1016"";""0"";""0"";""temporale """
"Palermo;28/9/2015;""22"";""18"";""24"";""16"";""70"";""12"";""8"";""15"";""0"";""1018"";""0"";""0"";"""""
"Palermo;29/9/2015;""22"";""19"";""24"";""16"";""70"";""11"";""11"";""19"";""0"";""1018"";""0"";""0"";"""""
"Palermo;30/9/2015;""22"";""19"";""24"";""16"";""68"";""13"";""11"";""20"";""0"";""1019"";""0"";""0"";"""""
