LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/8/2016;""26"";""23"";""29"";""20"";""68"";""13"";""14"";""35"";""0"";""1015"";""0"";""0"";"""""
"Palermo;2/8/2016;""26"";""23"";""30"";""21"";""72"";""11"";""16"";""33"";""0"";""1016"";""0"";""0"";"""""
"Palermo;3/8/2016;""26"";""23"";""28"";""21"";""72"";""11"";""12"";""19"";""0"";""1016"";""0"";""0"";"""""
"Palermo;4/8/2016;""26"";""24"";""28"";""22"";""74"";""11"";""13"";""26"";""0"";""1015"";""0"";""0"";"""""
"Palermo;5/8/2016;""27"";""23"";""29"";""21"";""72"";""11"";""12"";""30"";""0"";""1014"";""0"";""0"";"""""
"Palermo;6/8/2016;""26"";""23"";""29"";""20"";""68"";""10"";""16"";""32"";""0"";""1015"";""0"";""0"";""temporale """
"Palermo;7/8/2016;""26"";""23"";""28"";""19"";""64"";""10"";""20"";""37"";""0"";""1016"";""0"";""0"";""pioggia """
"Palermo;8/8/2016;""25"";""22"";""28"";""20"";""73"";""10"";""10"";""35"";""0"";""1018"";""0"";""0"";""pioggia """
"Palermo;9/8/2016;""26"";""24"";""28"";""20"";""68"";""10"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Palermo;10/8/2016;""26"";""21"";""30"";""18"";""64"";""10"";""8"";""17"";""0"";""1015"";""0"";""0"";"""""
"Palermo;11/8/2016;""26"";""25"";""27"";""17"";""60"";""10"";""24"";""39"";""0"";""1017"";""0"";""0"";"""""
"Palermo;12/8/2016;""25"";""24"";""27"";""18"";""61"";""10"";""15"";""24"";""0"";""1020"";""0"";""0"";"""""
"Palermo;13/8/2016;""25"";""23"";""27"";""14"";""50"";""11"";""17"";""28"";""0"";""1022"";""0"";""0"";"""""
"Palermo;14/8/2016;""25"";""21"";""27"";""17"";""60"";""11"";""11"";""22"";""0"";""1022"";""0"";""0"";"""""
"Palermo;15/8/2016;""25"";""21"";""28"";""17"";""61"";""13"";""15"";""32"";""0"";""1021"";""0"";""0"";"""""
"Palermo;16/8/2016;""25"";""20"";""28"";""18"";""63"";""11"";""15"";""33"";""0"";""1018"";""0"";""0"";"""""
"Palermo;17/8/2016;""25"";""21"";""28"";""19"";""67"";""11"";""9"";""17"";""0"";""1015"";""0"";""0"";""pioggia """
"Palermo;18/8/2016;""25"";""23"";""27"";""20"";""69"";""12"";""12"";""24"";""0"";""1013"";""0"";""0"";"""""
"Palermo;19/8/2016;""26"";""22"";""29"";""18"";""61"";""19"";""12"";""24"";""0"";""1014"";""0"";""0"";"""""
"Palermo;20/8/2016;""27"";""23"";""32"";""18"";""55"";""19"";""10"";""26"";""0"";""1016"";""0"";""0"";"""""
"Palermo;21/8/2016;""27"";""23"";""30"";""19"";""60"";""18"";""9"";""20"";""0"";""1017"";""0"";""0"";"""""
"Palermo;22/8/2016;""26"";""23"";""28"";""21"";""74"";""12"";""12"";""28"";""0"";""1017"";""0"";""0"";"""""
"Palermo;23/8/2016;""26"";""23"";""27"";""17"";""59"";""11"";""20"";""39"";""0"";""1017"";""0"";""0"";"""""
"Palermo;24/8/2016;""26"";""25"";""28"";""18"";""61"";""10"";""23"";""37"";""0"";""1017"";""0"";""0"";"""""
"Palermo;25/8/2016;""26"";""25"";""28"";""21"";""71"";""11"";""17"";""30"";""0"";""1016"";""0"";""0"";"""""
"Palermo;26/8/2016;""26"";""22"";""28"";""20"";""71"";""16"";""13"";""26"";""0"";""1017"";""0"";""0"";"""""
"Palermo;27/8/2016;""26"";""22"";""28"";""21"";""74"";""14"";""12"";""32"";""0"";""1020"";""0"";""0"";"""""
"Palermo;28/8/2016;""26"";""22"";""28"";""21"";""72"";""15"";""14"";""26"";""0"";""1020"";""0"";""0"";"""""
"Palermo;29/8/2016;""25"";""22"";""28"";""19"";""69"";""15"";""11"";""24"";""0"";""1019"";""0"";""0"";"""""
"Palermo;30/8/2016;""26"";""22"";""30"";""17"";""56"";""15"";""11"";""28"";""0"";""1017"";""0"";""0"";"""""
"Palermo;31/8/2016;""26"";""24"";""29"";""19"";""61"";""11"";""12"";""26"";""0"";""1018"";""0"";""0"";""pioggia temporale """
