LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/4/2018;""14"";""14"";""15"";""8"";""65"";""18"";""38"";""50"";""0"";""1015"";""0"";""0"";"""""
"Palermo;2/4/2018;""13"";""9"";""17"";""6"";""63"";""20"";""13"";""22"";""0"";""1018"";""0"";""0"";"""""
"Palermo;3/4/2018;""14"";""9"";""18"";""9"";""70"";""21"";""8"";""18"";""0"";""1017"";""0"";""0"";"""""
"Palermo;4/4/2018;""15"";""14"";""18"";""12"";""78"";""20"";""14"";""37"";""0"";""1017"";""0"";""0"";"""""
"Palermo;5/4/2018;""15"";""12"";""17"";""12"";""81"";""19"";""17"";""31"";""0"";""1017"";""0"";""0"";"""""
"Palermo;6/4/2018;""14"";""11"";""16"";""10"";""78"";""17"";""12"";""28"";""0"";""1018"";""0"";""0"";"""""
"Palermo;7/4/2018;""14"";""9"";""19"";""9"";""73"";""21"";""10"";""26"";""0"";""1016"";""0"";""0"";"""""
"Palermo;8/4/2018;""18"";""12"";""22"";""11"";""67"";""19"";""10"";""30"";""0"";""1009"";""0"";""0"";"""""
"Palermo;9/4/2018;""15"";""12"";""18"";""11"";""76"";""19"";""15"";""54"";""0"";""1013"";""0"";""0"";""pioggia """
"Palermo;10/4/2018;""14"";""11"";""17"";""9"";""73"";""19"";""10"";""26"";""0"";""1013"";""0"";""0"";""pioggia """
"Palermo;11/4/2018;""17"";""14"";""20"";""13"";""76"";""14"";""10"";""26"";""0"";""1005"";""0"";""0"";""pioggia """
"Palermo;12/4/2018;""16"";""13"";""19"";""12"";""79"";""14"";""11"";""30"";""0"";""1008"";""0"";""0"";"""""
"Palermo;13/4/2018;""16"";""11"";""22"";""11"";""73"";""19"";""11"";""35"";""0"";""1013"";""0"";""0"";"""""
"Palermo;14/4/2018;""18"";""14"";""23"";""10"";""60"";""19"";""23"";""61"";""0"";""1008"";""0"";""0"";""pioggia """
"Palermo;15/4/2018;""17"";""15"";""19"";""13"";""77"";""11"";""10"";""24"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Palermo;16/4/2018;""16"";""15"";""18"";""12"";""79"";""20"";""18"";""31"";""0"";""1013"";""0"";""0"";""pioggia """
"Palermo;17/4/2018;""16"";""13"";""17"";""12"";""80"";""22"";""10"";""18"";""0"";""1019"";""0"";""0"";"""""
"Palermo;18/4/2018;""16"";""14"";""18"";""13"";""83"";""19"";""11"";""30"";""0"";""1021"";""0"";""0"";""pioggia temporale """
"Palermo;19/4/2018;""16"";""13"";""20"";""13"";""80"";""20"";""13"";""28"";""0"";""1022"";""0"";""0"";"""""
"Palermo;20/4/2018;""16"";""13"";""19"";""14"";""85"";""20"";""7"";""18"";""0"";""1020"";""0"";""0"";"""""
"Palermo;21/4/2018;""16"";""14"";""19"";""15"";""88"";""16"";""8"";""15"";""0"";""1019"";""0"";""0"";""nebbia """
"Palermo;22/4/2018;""18"";""15"";""20"";""15"";""81"";""19"";""11"";""21"";""0"";""1019"";""0"";""0"";"""""
"Palermo;23/4/2018;""18"";""14"";""22"";""13"";""76"";""17"";""12"";""26"";""0"";""1019"";""0"";""0"";"""""
"Palermo;24/4/2018;""18"";""13"";""24"";""12"";""66"";""19"";""9"";""24"";""0"";""1019"";""0"";""0"";"""""
"Palermo;25/4/2018;""18"";""14"";""23"";""13"";""73"";""19"";""9"";""21"";""0"";""1018"";""0"";""0"";"""""
"Palermo;26/4/2018;""19"";""15"";""24"";""12"";""66"";""18"";""11"";""28"";""0"";""1013"";""0"";""0"";"""""
"Palermo;27/4/2018;""18"";""15"";""25"";""13"";""74"";""19"";""14"";""46"";""0"";""1009"";""0"";""0"";""pioggia """
"Palermo;28/4/2018;""19"";""14"";""24"";""11"";""62"";""18"";""13"";""30"";""0"";""1010"";""0"";""0"";""pioggia """
"Palermo;29/4/2018;""20"";""18"";""24"";""14"";""70"";""21"";""14"";""24"";""0"";""1010"";""0"";""0"";"""""
"Palermo;30/4/2018;""18"";""17"";""19"";""14"";""77"";""19"";""12"";""21"";""0"";""1015"";""0"";""0"";"""""
