LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/2/2020;""14"";""11"";""16"";""11"";""79"";""21"";""12"";""26"";""0"";""1022"";""0"";""0"";"""""
"Palermo;2/2/2020;""14"";""12"";""17"";""11"";""81"";""20"";""12"";""26"";""0"";""1023"";""0"";""0"";"""""
"Palermo;3/2/2020;""16"";""14"";""19"";""11"";""73"";""21"";""14"";""21"";""0"";""1021"";""0"";""0"";"""""
"Palermo;4/2/2020;""16"";""13"";""20"";""10"";""71"";""20"";""23"";""54"";""0"";""1015"";""0"";""0"";"""""
"Palermo;5/2/2020;""13"";""7"";""15"";""4"";""53"";""19"";""45"";""57"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Palermo;6/2/2020;""11"";""8"";""12"";""2"";""53"";""20"";""30"";""44"";""0"";""1021"";""0"";""0"";""pioggia """
"Palermo;7/2/2020;""11"";""6"";""13"";""2"";""51"";""20"";""14"";""24"";""0"";""1027"";""0"";""0"";"""""
"Palermo;8/2/2020;""9"";""4"";""14"";""3"";""60"";""19"";""9"";""17"";""0"";""1028"";""0"";""0"";"""""
"Palermo;9/2/2020;""12"";""7"";""15"";""7"";""72"";""21"";""10"";""18"";""0"";""1032"";""0"";""0"";"""""
"Palermo;10/2/2020;""15"";""13"";""17"";""8"";""65"";""19"";""24"";""28"";""0"";""1029"";""0"";""0"";"""""
"Palermo;11/2/2020;""17"";""15"";""18"";""9"";""62"";""21"";""25"";""37"";""0"";""1021"";""0"";""0"";"""""
"Palermo;12/2/2020;""15"";""10"";""18"";""8"";""63"";""19"";""12"";""26"";""0"";""1021"";""0"";""0"";"""""
"Palermo;13/2/2020;""13"";""10"";""17"";""8"";""64"";""20"";""7"";""17"";""0"";""1022"";""0"";""0"";"""""
"Palermo;14/2/2020;""15"";""14"";""17"";""10"";""69"";""20"";""23"";""39"";""0"";""1020"";""0"";""0"";"""""
"Palermo;15/2/2020;""14"";""12"";""16"";""8"";""68"";""20"";""15"";""22"";""0"";""1025"";""0"";""0"";"""""
"Palermo;16/2/2020;""12"";""8"";""15"";""6"";""65"";""20"";""10"";""26"";""0"";""1029"";""0"";""0"";"""""
"Palermo;17/2/2020;""11"";""6"";""16"";""5"";""62"";""20"";""8"";""18"";""0"";""1028"";""0"";""0"";"""""
"Palermo;18/2/2020;""12"";""8"";""15"";""6"";""65"";""21"";""9"";""17"";""0"";""1025"";""0"";""0"";"""""
"Palermo;19/2/2020;""13"";""9"";""15"";""9"";""79"";""19"";""13"";""30"";""0"";""1022"";""0"";""0"";"""""
"Palermo;20/2/2020;""14"";""12"";""15"";""9"";""70"";""20"";""19"";""24"";""0"";""1023"";""0"";""0"";"""""
"Palermo;21/2/2020;""12"";""8"";""15"";""7"";""71"";""19"";""7"";""11"";""0"";""1025"";""0"";""0"";"""""
"Palermo;22/2/2020;""13"";""9"";""16"";""7"";""67"";""20"";""16"";""28"";""0"";""1028"";""0"";""0"";"""""
"Palermo;23/2/2020;""13"";""8"";""16"";""7"";""69"";""21"";""8"";""13"";""0"";""1031"";""0"";""0"";"""""
"Palermo;24/2/2020;""13"";""10"";""16"";""10"";""79"";""19"";""15"";""28"";""0"";""1024"";""0"";""0"";"""""
"Palermo;25/2/2020;""14"";""8"";""17"";""9"";""72"";""21"";""10"";""30"";""0"";""1017"";""0"";""0"";"""""
"Palermo;26/2/2020;""15"";""14"";""17"";""10"";""68"";""21"";""27"";""39"";""0"";""1012"";""0"";""0"";"""""
"Palermo;27/2/2020;""14"";""13"";""15"";""6"";""58"";""20"";""25"";""44"";""0"";""1017"";""0"";""0"";"""""
"Palermo;28/2/2020;""15"";""11"";""16"";""10"";""73"";""19"";""24"";""39"";""0"";""1017"";""0"";""0"";"""""
"Palermo;29/2/2020;""14"";""8"";""21"";""7"";""62"";""19"";""14"";""28"";""0"";""1019"";""0"";""0"";"""""
