LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Palermo;1/7/2020;""26"";""22"";""32"";""20"";""69"";""19"";""12"";""28"";""0"";""1012"";""0"";""0"";"""""
"Palermo;2/7/2020;""25"";""23"";""26"";""21"";""76"";""19"";""14"";""26"";""0"";""1011"";""0"";""0"";""pioggia """
"Palermo;3/7/2020;""25"";""23"";""27"";""22"";""81"";""19"";""10"";""18"";""0"";""1012"";""0"";""0"";"""""
"Palermo;4/7/2020;""26"";""24"";""27"";""20"";""73"";""20"";""16"";""26"";""0"";""1014"";""0"";""0"";"""""
"Palermo;5/7/2020;""25"";""24"";""27"";""20"";""72"";""19"";""13"";""21"";""0"";""1014"";""0"";""0"";"""""
"Palermo;6/7/2020;""25"";""22"";""26"";""20"";""75"";""20"";""12"";""22"";""0"";""1010"";""0"";""0"";"""""
"Palermo;7/7/2020;""25"";""22"";""27"";""19"";""71"";""20"";""15"";""28"";""0"";""1009"";""0"";""0"";"""""
"Palermo;8/7/2020;""26"";""22"";""28"";""22"";""79"";""21"";""11"";""21"";""0"";""1014"";""0"";""0"";"""""
"Palermo;9/7/2020;""26"";""24"";""27"";""22"";""80"";""20"";""16"";""28"";""0"";""1016"";""0"";""0"";"""""
"Palermo;10/7/2020;""26"";""24"";""28"";""22"";""76"";""21"";""17"";""24"";""0"";""1015"";""0"";""0"";"""""
"Palermo;11/7/2020;""26"";""23"";""28"";""21"";""72"";""22"";""14"";""26"";""0"";""1015"";""0"";""0"";"""""
"Palermo;12/7/2020;""26"";""22"";""29"";""20"";""68"";""20"";""17"";""30"";""0"";""1015"";""0"";""0"";"""""
"Palermo;13/7/2020;""26"";""22"";""28"";""21"";""75"";""19"";""15"";""31"";""0"";""1013"";""0"";""0"";"""""
"Palermo;14/7/2020;""26"";""24"";""28"";""21"";""73"";""19"";""9"";""13"";""0"";""1012"";""0"";""0"";"""""
"Palermo;15/7/2020;""26"";""23"";""28"";""21"";""74"";""19"";""10"";""30"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Palermo;16/7/2020;""26"";""22"";""28"";""20"";""72"";""19"";""11"";""17"";""0"";""1015"";""0"";""0"";"""""
"Palermo;17/7/2020;""25"";""22"";""27"";""18"";""66"";""19"";""12"";""24"";""0"";""1012"";""0"";""0"";"""""
"Palermo;18/7/2020;""26"";""24"";""27"";""19"";""69"";""19"";""12"";""21"";""0"";""1012"";""0"";""0"";""pioggia """
"Palermo;19/7/2020;""26"";""23"";""29"";""19"";""66"";""22"";""12"";""21"";""0"";""1014"";""0"";""0"";"""""
"Palermo;20/7/2020;""26"";""22"";""28"";""18"";""60"";""20"";""14"";""22"";""0"";""1017"";""0"";""0"";"""""
"Palermo;21/7/2020;""26"";""22"";""28"";""19"";""66"";""22"";""15"";""26"";""0"";""1019"";""0"";""0"";"""""
"Palermo;22/7/2020;""26"";""23"";""28"";""21"";""72"";""20"";""14"";""22"";""0"";""1017"";""0"";""0"";"""""
"Palermo;23/7/2020;""27"";""23"";""30"";""21"";""71"";""21"";""16"";""30"";""0"";""1014"";""0"";""0"";"""""
"Palermo;24/7/2020;""26"";""23"";""29"";""19"";""66"";""20"";""12"";""31"";""0"";""1011"";""0"";""0"";"""""
"Palermo;25/7/2020;""27"";""23"";""29"";""21"";""71"";""21"";""8"";""15"";""0"";""1012"";""0"";""0"";"""""
"Palermo;26/7/2020;""27"";""24"";""29"";""21"";""70"";""21"";""14"";""24"";""0"";""1015"";""0"";""0"";"""""
"Palermo;27/7/2020;""27"";""23"";""29"";""20"";""67"";""20"";""18"";""35"";""0"";""1016"";""0"";""0"";"""""
"Palermo;28/7/2020;""27"";""23"";""31"";""20"";""66"";""21"";""16"";""37"";""0"";""1015"";""0"";""0"";"""""
"Palermo;29/7/2020;""27"";""23"";""30"";""21"";""74"";""21"";""16"";""37"";""0"";""1015"";""0"";""0"";"""""
"Palermo;30/7/2020;""27"";""23"";""31"";""21"";""72"";""22"";""15"";""37"";""0"";""1016"";""0"";""0"";"""""
"Palermo;31/7/2020;""27"";""24"";""33"";""23"";""77"";""19"";""13"";""30"";""0"";""1015"";""0"";""0"";"""""
