"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"16";"13";"17";"67"
"2010-01-02";"15";"14";"15";"71"
"2010-01-03";"13";"8";"15";"68"
"2010-01-04";"14";"8";"18";"67"
"2010-01-05";"17";"15";"20";"54"
"2010-01-06";"16";"14";"17";"72"
"2010-01-07";"16";"14";"21";"68"
"2010-01-08";"17";"14";"22";"66"
"2010-01-09";"11";"7";"14";"72"
"2010-01-11";"11";"9";"13";"68"
"2010-01-12";"11";"9";"13";"79"
"2010-01-13";"12";"8";"15";"80"
"2010-01-14";"13";"10";"14";"80"
"2010-01-15";"12";"10";"14";"82"
"2010-01-16";"13";"11";"14";"76"
"2010-01-17";"11";"8";"14";"76"
"2010-01-18";"13";"11";"15";"81"
"2010-01-19";"12";"10";"14";"73"
"2010-01-20";"12";"8";"14";"72"
"2010-01-21";"13";"12";"14";"81"
"2010-01-22";"13";"10";"14";"62"
"2010-01-23";"10";"6";"13";"61"
"2010-01-24";"9";"5";"13";"72"
"2010-01-25";"12";"9";"14";"72"
"2010-01-26";"13";"9";"16";"69"
"2010-01-27";"14";"12";"17";"77"
"2010-01-28";"13";"11";"14";"79"
"2010-01-29";"12";"11";"13";"73"
"2010-01-30";"12";"11";"14";"79"
"2010-01-31";"12";"10";"13";"75"
"2010-02-01";"11";"8";"13";"65"
"2010-02-02";"11";"6";"11";"54"
"2010-02-03";"10";"6";"13";"64"
"2010-02-04";"13";"10";"16";"60"
"2010-02-05";"16";"12";"18";"60"
"2010-02-06";"14";"14";"15";"77"
"2010-02-07";"12";"9";"14";"72"
"2010-02-08";"11";"7";"13";"66"
"2010-02-09";"13";"8";"17";"63"
"2010-02-10";"12";"11";"13";"84"
"2010-02-11";"11";"9";"12";"64"
"2010-02-12";"8";"6";"11";"75"
"2010-02-13";"10";"8";"12";"73"
"2010-02-14";"11";"8";"13";"85"
"2010-02-15";"12";"11";"12";"68"
"2010-02-16";"14";"11";"17";"76"
"2010-02-17";"16";"14";"21";"69"
"2010-02-18";"17";"12";"23";"64"
"2010-02-19";"22";"18";"26";"43"
"2010-02-20";"15";"13";"20";"71"
"2010-02-21";"14";"13";"15";"62"
"2010-02-22";"17";"15";"20";"62"
"2010-02-23";"17";"15";"20";"64"
"2010-02-24";"15";"15";"17";"82"
"2010-02-25";"15";"14";"17";"76"
"2010-02-26";"18";"15";"21";"59"
"2010-02-27";"14";"12";"15";"77"
"2010-02-28";"19";"12";"27";"55"
"2010-03-01";"16";"14";"24";"80"
"2010-03-02";"15";"14";"15";"84"
"2010-03-03";"17";"12";"24";"65"
"2010-03-04";"15";"14";"17";"76"
"2010-03-05";"14";"14";"15";"74"
"2010-03-06";"12";"11";"14";"66"
"2010-03-07";"11";"9";"13";"90"
"2010-03-08";"11";"9";"13";"81"
"2010-03-09";"14";"9";"17";"77"
"2010-03-10";"11";"9";"12";"69"
"2010-03-11";"10";"9";"12";"69"
"2010-03-12";"11";"9";"13";"65"
"2010-03-13";"10";"9";"12";"86"
"2010-03-14";"11";"9";"13";"72"
"2010-03-15";"12";"8";"14";"70"
"2010-03-16";"12";"10";"14";"72"
"2010-03-17";"13";"9";"14";"76"
"2010-03-18";"13";"8";"18";"68"
"2010-03-19";"14";"10";"17";"69"
"2010-03-20";"14";"10";"19";"73"
"2010-03-21";"16";"12";"20";"70"
"2010-03-22";"17";"14";"19";"59"
"2010-03-23";"15";"12";"16";"88"
"2010-03-24";"14";"11";"16";"84"
"2010-03-26";"15";"13";"22";"87"
"2010-03-27";"16";"13";"18";"83"
"2010-03-28";"15";"12";"16";"80"
"2010-03-29";"15";"9";"19";"70"
"2010-03-30";"19";"15";"25";"60"
"2010-03-31";"16";"14";"18";"73"
"2010-04-01";"16";"13";"17";"67"
"2010-04-02";"15";"12";"17";"74"
"2010-04-03";"14";"9";"18";"73"
"2010-04-04";"18";"12";"25";"56"
"2010-04-05";"15";"12";"18";"72"
"2010-04-06";"14";"11";"16";"71"
"2010-04-07";"14";"11";"17";"67"
"2010-04-08";"15";"14";"16";"80"
"2010-04-09";"14";"12";"17";"81"
"2010-04-10";"15";"12";"17";"83"
"2010-04-11";"15";"10";"19";"68"
"2010-04-12";"17";"15";"21";"73"
"2010-04-13";"16";"15";"18";"89"
"2010-04-14";"16";"14";"19";"86"
"2010-04-15";"18";"16";"24";"80"
"2010-04-16";"16";"15";"18";"89"
"2010-04-17";"16";"14";"18";"88"
"2010-04-18";"16";"15";"17";"95"
"2010-04-19";"16";"14";"17";"84"
"2010-04-20";"16";"13";"18";"77"
"2010-04-21";"15";"12";"19";"81"
"2010-04-22";"17";"12";"22";"70"
"2010-04-23";"19";"15";"20";"74"
"2010-04-24";"17";"15";"18";"88"
"2010-04-25";"17";"15";"18";"92"
"2010-04-26";"16";"14";"19";"91"
"2010-04-27";"17";"13";"18";"88"
"2010-04-28";"17";"15";"20";"88"
"2010-04-29";"17";"14";"20";"89"
"2010-04-30";"17";"13";"21";"80"
"2010-05-01";"19";"14";"23";"71"
"2010-05-02";"19";"15";"22";"69"
"2010-05-03";"20";"16";"24";"79"
"2010-05-04";"21";"18";"27";"68"
"2010-05-05";"18";"14";"18";"81"
"2010-05-06";"17";"15";"18";"67"
"2010-05-07";"18";"15";"20";"56"
"2010-05-08";"18";"16";"21";"74"
"2010-05-09";"18";"13";"21";"79"
"2010-05-10";"21";"17";"28";"62"
"2010-05-11";"21";"19";"26";"61"
"2010-05-12";"19";"18";"21";"80"
"2010-05-13";"18";"16";"20";"82"
"2010-05-14";"19";"15";"22";"80"
"2010-05-15";"17";"15";"19";"74"
"2010-05-16";"17";"16";"18";"67"
"2010-05-17";"17";"17";"18";"70"
"2010-05-18";"17";"15";"19";"74"
"2010-05-19";"17";"14";"20";"70"
"2010-05-20";"17";"15";"18";"78"
"2010-05-21";"18";"16";"19";"77"
"2010-05-22";"18";"14";"20";"80"
"2010-05-23";"18";"13";"22";"75"
"2010-05-24";"3";"0";"20";"72"
"2010-05-25";"19";"15";"21";"81"
"2010-05-26";"19";"14";"22";"78"
"2010-05-27";"25";"18";"31";"42"
"2010-05-28";"22";"20";"27";"73"
"2010-05-29";"21";"19";"23";"88"
"2010-05-30";"20";"19";"21";"92"
"2010-05-31";"20";"16";"22";"78"
"2010-06-01";"20";"19";"21";"86"
"2010-06-02";"20";"17";"22";"77"
"2010-06-03";"20";"18";"21";"78"
"2010-06-04";"19";"16";"22";"81"
"2010-06-05";"20";"19";"22";"78"
"2010-06-06";"20";"17";"23";"77"
"2010-06-07";"21";"17";"26";"80"
"2010-06-08";"23";"18";"29";"66"
"2010-06-09";"24";"19";"31";"64"
"2010-06-10";"25";"20";"31";"69"
"2010-06-11";"25";"21";"29";"70"
"2010-06-12";"23";"21";"25";"75"
"2010-06-13";"23";"20";"26";"85"
"2010-06-14";"23";"22";"26";"88"
"2010-06-15";"25";"22";"31";"74"
"2010-06-16";"23";"21";"24";"82"
"2010-06-17";"24";"21";"28";"85"
"2010-06-18";"24";"22";"29";"77"
"2010-06-19";"22";"21";"23";"79"
"2010-06-20";"23";"20";"25";"69"
"2010-06-21";"20";"19";"21";"72"
"2010-06-22";"20";"20";"21";"77"
"2010-06-23";"21";"20";"23";"78"
"2010-06-24";"21";"18";"23";"76"
"2010-06-25";"21";"18";"23";"74"
"2010-06-26";"22";"17";"25";"72"
"2010-06-27";"23";"20";"24";"77"
"2010-06-28";"23";"20";"25";"81"
"2010-06-29";"23";"20";"24";"82"
"2010-06-30";"23";"20";"25";"76"
"2010-07-01";"24";"21";"25";"79"
"2010-07-02";"24";"15";"27";"81"
"2010-07-03";"25";"21";"28";"76"
"2010-07-04";"25";"21";"26";"80"
"2010-07-05";"25";"22";"29";"83"
"2010-07-06";"26";"23";"28";"78"
"2010-07-07";"25";"22";"27";"80"
"2010-07-08";"26";"23";"28";"78"
"2010-07-09";"26";"24";"28";"71"
"2010-07-10";"26";"22";"28";"75"
"2010-07-11";"25";"21";"28";"68"
"2010-07-12";"26";"22";"28";"73"
"2010-07-13";"26";"23";"28";"81"
"2010-07-14";"27";"23";"33";"72"
"2010-07-15";"27";"24";"30";"77"
"2010-07-16";"27";"24";"30";"80"
"2010-07-17";"27";"23";"29";"83"
"2010-07-18";"27";"24";"29";"83"
"2010-07-19";"28";"25";"29";"77"
"2010-07-20";"27";"24";"29";"79"
"2010-07-21";"27";"25";"28";"80"
"2010-07-22";"28";"25";"31";"77"
"2010-07-23";"28";"24";"32";"71"
"2010-07-24";"29";"27";"31";"65"
"2010-07-25";"26";"25";"27";"69"
"2010-07-26";"26";"23";"28";"60"
"2010-07-27";"24";"19";"27";"69"
"2010-07-28";"25";"22";"27";"68"
"2010-07-29";"25";"21";"27";"73"
"2010-07-30";"26";"24";"30";"65"
"2010-07-31";"25";"23";"27";"65"
"2010-08-01";"25";"23";"27";"67"
"2010-08-02";"25";"20";"28";"65"
"2010-08-03";"25";"23";"28";"72"
"2010-08-04";"25";"22";"27";"73"
"2010-08-05";"26";"25";"28";"69"
"2010-08-06";"25";"23";"26";"63"
"2010-08-07";"24";"22";"25";"65"
"2010-08-08";"25";"23";"27";"65"
"2010-08-09";"25";"23";"27";"70"
"2010-08-10";"25";"21";"28";"63"
"2010-08-11";"26";"22";"28";"69"
"2010-08-12";"26";"23";"30";"70"
"2010-08-13";"27";"23";"32";"62"
"2010-08-15";"29";"26";"35";"65"
"2010-08-16";"26";"23";"28";"77"
"2010-08-17";"27";"24";"28";"73"
"2010-08-18";"26";"22";"30";"68"
"2010-08-19";"27";"24";"31";"71"
"2010-08-20";"28";"24";"33";"69"
"2010-08-21";"27";"25";"30";"77"
"2010-08-22";"27";"26";"29";"82"
"2010-08-23";"27";"24";"29";"81"
"2010-08-24";"27";"24";"29";"78"
"2010-08-25";"27";"23";"29";"79"
"2010-08-26";"27";"24";"29";"79"
"2010-08-27";"26";"24";"28";"79"
"2010-08-28";"27";"23";"30";"73"
"2010-08-29";"27";"25";"28";"71"
"2010-08-30";"26";"23";"27";"67"
"2010-08-31";"25";"22";"26";"58"
"2010-09-01";"25";"20";"27";"51"
"2010-09-02";"25";"20";"28";"59"
"2010-09-03";"25";"22";"28";"72"
"2010-09-04";"25";"23";"26";"68"
"2010-09-05";"24";"20";"26";"72"
"2010-09-06";"24";"20";"27";"70"
"2010-09-07";"27";"22";"34";"53"
"2010-09-08";"28";"24";"32";"59"
"2010-09-09";"24";"20";"25";"79"
"2010-09-10";"22";"18";"24";"72"
"2010-09-11";"23";"19";"24";"67"
"2010-09-13";"23";"20";"25";"66"
"2010-09-14";"23";"20";"25";"62"
"2010-09-15";"23";"20";"27";"69"
"2010-09-16";"22";"19";"25";"69"
"2010-09-17";"24";"19";"30";"58"
"2010-09-18";"26";"21";"32";"50"
"2010-09-19";"25";"22";"29";"54"
"2010-09-20";"23";"20";"24";"65"
"2010-09-21";"23";"20";"25";"65"
"2010-09-22";"23";"21";"25";"68"
"2010-09-23";"23";"21";"24";"68"
"2010-09-24";"22";"20";"25";"67"
"2010-09-25";"22";"20";"23";"72"
"2010-09-26";"22";"20";"24";"62"
"2010-09-27";"22";"20";"25";"65"
"2010-09-28";"21";"18";"23";"78"
"2010-09-29";"22";"19";"24";"65"
"2010-09-30";"21";"17";"23";"63"
"2010-10-01";"21";"19";"24";"70"
"2010-10-02";"21";"17";"25";"71"
"2010-10-03";"22";"17";"25";"67"
"2010-10-04";"24";"19";"29";"61"
"2010-10-05";"27";"24";"31";"45"
"2010-10-06";"24";"22";"28";"68"
"2010-10-07";"22";"20";"25";"79"
"2010-10-08";"23";"20";"25";"71"
"2010-10-09";"22";"19";"25";"75"
"2010-10-10";"22";"19";"25";"72"
"2010-10-11";"23";"21";"25";"73"
"2010-10-12";"22";"19";"26";"79"
