LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/2/2011;""9"";""5"";""14"";""3"";""66"";""10"";""7"";""14"";""0"";""1014"";""0"";""0"";"""""
"Roma;2/2/2011;""8"";""4"";""14"";""3"";""70"";""10"";""5"";""13"";""0"";""1014"";""0"";""0"";"""""
"Roma;3/2/2011;""7"";""1"";""14"";""1"";""61"";""10"";""6"";""13"";""0"";""1016"";""0"";""0"";"""""
"Roma;4/2/2011;""7"";""1"";""16"";""3"";""64"";""10"";""4"";""8"";""0"";""1023"";""0"";""0"";"""""
"Roma;5/2/2011;""8"";""1"";""16"";""3"";""69"";""9"";""3"";""6"";""0"";""1027"";""0"";""0"";"""""
"Roma;6/2/2011;""8"";""2"";""17"";""3"";""71"";""7"";""3"";""7"";""0"";""1026"";""0"";""0"";"""""
"Roma;7/2/2011;""9"";""4"";""18"";""3"";""72"";""7"";""4"";""7"";""0"";""1025"";""0"";""0"";"""""
"Roma;8/2/2011;""8"";""2"";""15"";""5"";""85"";""4"";""3"";""6"";""0"";""1020"";""0"";""0"";"""""
"Roma;9/2/2011;""7"";""1"";""15"";""4"";""80"";""5"";""3"";""6"";""0"";""1020"";""0"";""0"";""nebbia """
"Roma;10/2/2011;""7"";""2"";""14"";""4"";""84"";""4"";""3"";""6"";""0"";""1022"";""0"";""0"";"""""
"Roma;11/2/2011;""6"";""2"";""13"";""3"";""82"";""0"";""0"";""0"";""0"";""1023"";""0"";""0"";""nebbia """
"Roma;12/2/2011;""8"";""3"";""13"";""4"";""75"";""0"";""0"";""0"";""0"";""1019"";""0"";""0"";"""""
"Roma;13/2/2011;""9"";""4"";""14"";""5"";""79"";""0"";""0"";""0"";""0"";""1016"";""0"";""0"";"""""
"Roma;14/2/2011;""9"";""4"";""16"";""4"";""77"";""0"";""0"";""0"";""0"";""1012"";""0"";""0"";"""""
"Roma;15/2/2011;""9"";""2"";""15"";""5"";""79"";""10"";""0"";""0"";""0"";""1008"";""0"";""0"";"""""
"Roma;16/2/2011;""10"";""9"";""12"";""8"";""87"";""0"";""0"";""0"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Roma;17/2/2011;""10"";""6"";""14"";""6"";""77"";""0"";""0"";""0"";""0"";""1003"";""0"";""0"";""pioggia """
"Roma;18/2/2011;""11"";""6"";""17"";""5"";""70"";""0"";""0"";""0"";""0"";""1001"";""0"";""0"";"""""
"Roma;19/2/2011;""11"";""5"";""16"";""4"";""68"";""0"";""9"";""17"";""30"";""1007"";""0"";""0"";"""""
"Roma;20/2/2011;""9"";""4"";""14"";""6"";""82"";""9"";""6"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Roma;21/2/2011;""9"";""5"";""13"";""6"";""85"";""9"";""6"";""13"";""0"";""1006"";""0"";""0"";""pioggia temporale nebbia """
"Roma;22/2/2011;""7"";""2"";""13"";""4"";""84"";""10"";""3"";""7"";""0"";""1007"";""0"";""0"";"""""
"Roma;23/2/2011;""6"";""2"";""12"";""2"";""59"";""10"";""11"";""20"";""33"";""1010"";""0"";""0"";"""""
"Roma;24/2/2011;""4"";""1"";""9"";""0"";""37"";""0"";""16"";""23"";""45"";""1016"";""0"";""0"";"""""
"Roma;25/2/2011;""5"";""1"";""11"";""0"";""35"";""10"";""12"";""22"";""38"";""1017"";""0"";""0"";"""""
"Roma;26/2/2011;""4"";""0"";""10"";""1"";""65"";""10"";""7"";""14"";""0"";""1015"";""0"";""0"";"""""
"Roma;27/2/2011;""6"";""1"";""10"";""5"";""86"";""8"";""9"";""25"";""25"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;28/2/2011;""8"";""6"";""12"";""5"";""82"";""10"";""12"";""20"";""28"";""1012"";""0"";""0"";""pioggia """
