LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/6/2012;""20"";""13"";""25"";""16"";""78"";""10"";""11"";""19"";""37"";""1016"";""0"";""0"";"""""
"Roma;2/6/2012;""21"";""15"";""27"";""16"";""75"";""10"";""11"";""22"";""0"";""1016"";""0"";""0"";"""""
"Roma;3/6/2012;""22"";""14"";""27"";""11"";""53"";""0"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;4/6/2012;""20"";""15"";""23"";""15"";""75"";""10"";""13"";""24"";""39"";""1011"";""0"";""0"";"""""
"Roma;5/6/2012;""20"";""13"";""26"";""15"";""75"";""10"";""9"";""22"";""0"";""1011"";""0"";""0"";"""""
"Roma;6/6/2012;""21"";""17"";""25"";""16"";""74"";""10"";""10"";""15"";""0"";""1014"";""0"";""0"";"""""
"Roma;7/6/2012;""21"";""14"";""27"";""12"";""61"";""10"";""7"";""15"";""0"";""1015"";""0"";""0"";"""""
"Roma;8/6/2012;""24"";""16"";""30"";""11"";""50"";""10"";""14"";""32"";""0"";""1014"";""0"";""0"";"""""
"Roma;9/6/2012;""23"";""17"";""28"";""15"";""62"";""10"";""17"";""33"";""61"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;10/6/2012;""21"";""18"";""25"";""16"";""75"";""10"";""13"";""19"";""0"";""1012"";""0"";""0"";"""""
"Roma;11/6/2012;""22"";""19"";""26"";""18"";""76"";""10"";""14"";""22"";""37"";""1009"";""0"";""0"";"""""
"Roma;12/6/2012;""22"";""17"";""27"";""17"";""75"";""10"";""19"";""35"";""52"";""1006"";""0"";""0"";"""""
"Roma;13/6/2012;""20"";""15"";""24"";""15"";""77"";""10"";""13"";""19"";""0"";""1013"";""0"";""0"";"""""
"Roma;14/6/2012;""20"";""13"";""26"";""12"";""63"";""10"";""8"";""19"";""0"";""1017"";""0"";""0"";"""""
"Roma;15/6/2012;""22"";""14"";""29"";""13"";""60"";""10"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Roma;16/6/2012;""25"";""17"";""32"";""15"";""55"";""0"";""7"";""19"";""0"";""1019"";""0"";""0"";"""""
"Roma;17/6/2012;""27"";""19"";""33"";""16"";""56"";""10"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Roma;18/6/2012;""28"";""20"";""35"";""15"";""49"";""0"";""7"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;19/6/2012;""27"";""19"";""35"";""14"";""47"";""0"";""7"";""17"";""0"";""1015"";""0"";""0"";"""""
"Roma;20/6/2012;""27"";""19"";""35"";""14"";""48"";""10"";""6"";""17"";""0"";""1014"";""0"";""0"";"""""
"Roma;21/6/2012;""26"";""20"";""33"";""15"";""54"";""10"";""11"";""22"";""0"";""1011"";""0"";""0"";"""""
"Roma;22/6/2012;""27"";""20"";""34"";""18"";""63"";""10"";""11"";""22"";""33"";""1014"";""0"";""0"";"""""
"Roma;23/6/2012;""28"";""21"";""35"";""14"";""50"";""10"";""10"";""22"";""35"";""1017"";""0"";""0"";"""""
"Roma;24/6/2012;""27"";""20"";""33"";""13"";""44"";""10"";""9"";""19"";""0"";""1016"";""0"";""0"";"""""
"Roma;25/6/2012;""26"";""19"";""32"";""16"";""56"";""10"";""10"";""20"";""0"";""1013"";""0"";""0"";"""""
"Roma;26/6/2012;""26"";""20"";""33"";""19"";""68"";""10"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Roma;27/6/2012;""27"";""22"";""32"";""19"";""63"";""10"";""9"";""20"";""35"";""1016"";""0"";""0"";"""""
"Roma;28/6/2012;""28"";""21"";""33"";""19"";""62"";""10"";""8"";""19"";""0"";""1015"";""0"";""0"";"""""
"Roma;29/6/2012;""27"";""22"";""33"";""21"";""72"";""10"";""8"";""19"";""0"";""1015"";""0"";""0"";"""""
"Roma;30/6/2012;""28"";""20"";""35"";""19"";""62"";""10"";""7"";""19"";""0"";""1015"";""0"";""0"";"""""
