LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/11/2013;""17"";""12"";""24"";""15"";""85"";""10"";""7"";""30"";""0"";""1020"";""0"";""0"";"""""
"Roma;2/11/2013;""18"";""14"";""22"";""16"";""90"";""10"";""13"";""24"";""0"";""1018"";""0"";""0"";""pioggia """
"Roma;3/11/2013;""19"";""16"";""21"";""17"";""89"";""10"";""16"";""28"";""0"";""1015"";""0"";""0"";""pioggia """
"Roma;4/11/2013;""19"";""17"";""21"";""16"";""84"";""10"";""14"";""28"";""50"";""1008"";""0"";""0"";""pioggia temporale """
"Roma;5/11/2013;""15"";""12"";""18"";""14"";""91"";""9"";""9"";""22"";""32"";""996"";""0"";""0"";""pioggia temporale """
"Roma;6/11/2013;""14"";""10"";""20"";""12"";""87"";""10"";""7"";""15"";""0"";""1006"";""0"";""0"";"""""
"Roma;7/11/2013;""16"";""9"";""21"";""14"";""91"";""10"";""12"";""24"";""41"";""1016"";""0"";""0"";"""""
"Roma;8/11/2013;""18"";""15"";""21"";""16"";""89"";""10"";""13"";""22"";""0"";""1018"";""0"";""0"";"""""
"Roma;9/11/2013;""18"";""16"";""21"";""16"";""90"";""10"";""14"";""26"";""0"";""1015"";""0"";""0"";"""""
"Roma;10/11/2013;""15"";""10"";""18"";""13"";""87"";""9"";""14"";""32"";""54"";""1009"";""0"";""0"";""pioggia temporale """
"Roma;11/11/2013;""11"";""9"";""13"";""9"";""88"";""10"";""16"";""30"";""54"";""998"";""0"";""0"";""pioggia temporale """
"Roma;12/11/2013;""12"";""9"";""14"";""11"";""95"";""10"";""6"";""15"";""0"";""1010"";""0"";""0"";""pioggia """
"Roma;13/11/2013;""13"";""10"";""18"";""12"";""92"";""10"";""6"";""11"";""0"";""1013"";""0"";""0"";""pioggia """
"Roma;14/11/2013;""14"";""11"";""20"";""13"";""89"";""10"";""7"";""13"";""0"";""1014"";""0"";""0"";"""""
"Roma;15/11/2013;""14"";""12"";""16"";""13"";""96"";""9"";""8"";""20"";""43"";""1012"";""0"";""0"";""pioggia temporale """
"Roma;16/11/2013;""13"";""9"";""16"";""11"";""90"";""9"";""5"";""11"";""0"";""1017"";""0"";""0"";"""""
"Roma;17/11/2013;""15"";""12"";""19"";""12"";""83"";""10"";""9"";""17"";""28"";""1019"";""0"";""0"";""pioggia """
"Roma;18/11/2013;""14"";""9"";""19"";""11"";""80"";""10"";""12"";""24"";""52"";""1012"";""0"";""0"";"""""
"Roma;19/11/2013;""14"";""11"";""17"";""11"";""86"";""9"";""16"";""32"";""41"";""1002"";""0"";""0"";""pioggia temporale """
"Roma;20/11/2013;""12"";""8"";""16"";""10"";""89"";""9"";""11"";""33"";""67"";""1002"";""0"";""0"";""pioggia temporale """
"Roma;21/11/2013;""11"";""9"";""14"";""8"";""82"";""10"";""13"";""28"";""57"";""1002"";""0"";""0"";""pioggia temporale """
"Roma;22/11/2013;""9"";""8"";""11"";""8"";""92"";""9"";""10"";""22"";""0"";""997"";""0"";""0"";""pioggia """
"Roma;23/11/2013;""7"";""7"";""9"";""7"";""95"";""8"";""12"";""28"";""33"";""0"";""0"";""0"";""pioggia temporale """
"Roma;24/11/2013;""8"";""5"";""11"";""6"";""89"";""10"";""7"";""22"";""0"";""1002"";""0"";""0"";"""""
"Roma;25/11/2013;""7"";""3"";""14"";""4"";""77"";""10"";""14"";""30"";""52"";""1008"";""0"";""0"";"""""
"Roma;26/11/2013;""4"";""2"";""8"";""0"";""68"";""10"";""22"";""37"";""69"";""1013"";""0"";""0"";"""""
"Roma;27/11/2013;""3"";""0"";""7"";""1"";""84"";""10"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Roma;28/11/2013;""4"";""-1"";""8"";""3"";""88"";""9"";""10"";""19"";""0"";""1024"";""0"";""0"";""pioggia """
"Roma;29/11/2013;""6"";""2"";""12"";""4"";""85"";""10"";""7"";""11"";""0"";""1022"";""0"";""0"";"""""
"Roma;30/11/2013;""6"";""1"";""13"";""3"";""84"";""10"";""5"";""7"";""0"";""1012"";""0"";""0"";"""""
