LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/4/2014;""13"";""6"";""19"";""7"";""69"";""11"";""7"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;2/4/2014;""12"";""7"";""19"";""8"";""73"";""10"";""5"";""11"";""0"";""1016"";""0"";""0"";"""""
"Roma;3/4/2014;""14"";""9"";""21"";""6"";""56"";""10"";""11"";""33"";""0"";""1010"";""0"";""0"";"""""
"Roma;4/4/2014;""15"";""11"";""19"";""10"";""67"";""9"";""13"";""39"";""59"";""1002"";""0"";""0"";""pioggia temporale """
"Roma;5/4/2014;""13"";""10"";""17"";""8"";""71"";""10"";""6"";""15"";""0"";""1006"";""0"";""0"";"""""
"Roma;6/4/2014;""15"";""8"";""22"";""6"";""59"";""11"";""7"";""19"";""0"";""1012"";""0"";""0"";"""""
"Roma;7/4/2014;""16"";""10"";""23"";""8"";""62"";""11"";""8"";""15"";""0"";""1017"";""0"";""0"";"""""
"Roma;8/4/2014;""16"";""10"";""23"";""11"";""70"";""10"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Roma;9/4/2014;""16"";""13"";""20"";""10"";""69"";""10"";""7"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;10/4/2014;""14"";""8"";""18"";""5"";""58"";""11"";""7"";""17"";""0"";""1018"";""0"";""0"";"""""
"Roma;11/4/2014;""13"";""7"";""20"";""7"";""67"";""10"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Roma;12/4/2014;""13"";""8"";""18"";""9"";""75"";""10"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;13/4/2014;""15"";""11"";""20"";""9"";""72"";""11"";""8"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Roma;14/4/2014;""14"";""9"";""20"";""9"";""71"";""10"";""7"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;15/4/2014;""12"";""7"";""18"";""8"";""72"";""10"";""12"";""22"";""43"";""1011"";""0"";""0"";""pioggia temporale """
"Roma;16/4/2014;""10"";""5"";""15"";""1"";""41"";""12"";""17"";""35"";""59"";""1014"";""0"";""0"";"""""
"Roma;17/4/2014;""10"";""5"";""15"";""0"";""41"";""13"";""18"";""37"";""59"";""1014"";""0"";""0"";"""""
"Roma;18/4/2014;""12"";""5"";""19"";""4"";""54"";""13"";""10"";""19"";""100"";""1009"";""0"";""0"";"""""
"Roma;19/4/2014;""13"";""11"";""15"";""9"";""75"";""9"";""24"";""37"";""57"";""1005"";""0"";""0"";""pioggia temporale """
"Roma;20/4/2014;""13"";""9"";""17"";""7"";""68"";""8"";""9"";""17"";""0"";""1005"";""0"";""0"";""pioggia temporale nebbia """
"Roma;21/4/2014;""15"";""9"";""22"";""8"";""64"";""11"";""7"";""19"";""0"";""1006"";""0"";""0"";"""""
"Roma;22/4/2014;""16"";""10"";""21"";""10"";""69"";""11"";""9"";""28"";""0"";""1011"";""0"";""0"";""pioggia """
"Roma;23/4/2014;""17"";""14"";""22"";""11"";""69"";""10"";""7"";""15"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Roma;24/4/2014;""17"";""11"";""22"";""7"";""55"";""11"";""17"";""33"";""54"";""1012"";""0"";""0"";"""""
"Roma;25/4/2014;""16"";""12"";""23"";""10"";""66"";""11"";""10"";""24"";""0"";""1010"";""0"";""0"";"""""
"Roma;26/4/2014;""16"";""13"";""21"";""11"";""73"";""9"";""8"";""19"";""0"";""1008"";""0"";""0"";""pioggia temporale nebbia """
"Roma;27/4/2014;""14"";""12"";""17"";""10"";""77"";""6"";""11"";""19"";""0"";""1006"";""0"";""0"";""pioggia temporale """
"Roma;28/4/2014;""13"";""11"";""18"";""9"";""73"";""9"";""7"";""15"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Roma;29/4/2014;""13"";""9"";""17"";""7"";""66"";""11"";""9"";""17"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Roma;30/4/2014;""14"";""10"";""18"";""9"";""71"";""11"";""13"";""24"";""39"";""1010"";""0"";""0"";"""""
