LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/1/2014;""7"";""3"";""11"";""5"";""91"";""7"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Roma;2/1/2014;""8"";""2"";""13"";""7"";""91"";""10"";""9"";""19"";""0"";""1018"";""0"";""0"";"""""
"Roma;3/1/2014;""12"";""10"";""15"";""10"";""87"";""10"";""11"";""19"";""0"";""1020"";""0"";""0"";""pioggia """
"Roma;4/1/2014;""13"";""10"";""15"";""12"";""95"";""8"";""24"";""35"";""50"";""1018"";""0"";""0"";""pioggia """
"Roma;5/1/2014;""11"";""8"";""14"";""10"";""93"";""9"";""22"";""39"";""56"";""1008"";""0"";""0"";""pioggia temporale """
"Roma;6/1/2014;""8"";""4"";""13"";""6"";""88"";""11"";""6"";""56"";""0"";""1017"";""0"";""0"";"""""
"Roma;7/1/2014;""8"";""3"";""14"";""6"";""90"";""11"";""3"";""6"";""0"";""1024"";""0"";""0"";"""""
"Roma;8/1/2014;""8"";""3"";""12"";""7"";""91"";""9"";""3"";""6"";""0"";""1027"";""0"";""0"";"""""
"Roma;9/1/2014;""7"";""3"";""12"";""6"";""93"";""7"";""3"";""4"";""0"";""1024"";""0"";""0"";""nebbia """
"Roma;10/1/2014;""10"";""9"";""12"";""9"";""91"";""9"";""4"";""7"";""0"";""1021"";""0"";""0"";"""""
"Roma;11/1/2014;""9"";""4"";""13"";""7"";""90"";""8"";""2"";""4"";""0"";""1022"";""0"";""0"";"""""
"Roma;12/1/2014;""8"";""5"";""12"";""7"";""93"";""8"";""4"";""7"";""0"";""1021"";""0"";""0"";"""""
"Roma;13/1/2014;""8"";""4"";""13"";""7"";""90"";""7"";""3"";""7"";""0"";""1018"";""0"";""0"";"""""
"Roma;14/1/2014;""11"";""9"";""12"";""10"";""91"";""8"";""14"";""35"";""0"";""1009"";""0"";""0"";""pioggia """
"Roma;15/1/2014;""8"";""5"";""12"";""7"";""91"";""10"";""6"";""9"";""0"";""1010"";""0"";""0"";""pioggia """
"Roma;16/1/2014;""8"";""4"";""12"";""6"";""88"";""10"";""8"";""20"";""0"";""1016"";""0"";""0"";"""""
"Roma;17/1/2014;""12"";""11"";""13"";""10"";""86"";""9"";""29"";""35"";""50"";""1014"";""0"";""0"";""pioggia """
"Roma;18/1/2014;""14"";""12"";""16"";""9"";""73"";""10"";""27"";""41"";""67"";""1009"";""0"";""0"";""pioggia """
"Roma;19/1/2014;""14"";""10"";""16"";""11"";""82"";""9"";""25"";""39"";""61"";""0"";""0"";""0"";""pioggia temporale """
"Roma;20/1/2014;""11"";""9"";""15"";""9"";""88"";""9"";""12"";""22"";""0"";""999"";""0"";""0"";""pioggia temporale """
"Roma;21/1/2014;""10"";""8"";""12"";""8"";""86"";""10"";""5"";""11"";""0"";""1002"";""0"";""0"";""pioggia """
"Roma;22/1/2014;""9"";""7"";""11"";""8"";""90"";""10"";""7"";""15"";""0"";""1012"";""0"";""0"";""pioggia """
"Roma;23/1/2014;""9"";""6"";""13"";""7"";""84"";""10"";""11"";""19"";""0"";""1015"";""0"";""0"";""pioggia """
"Roma;24/1/2014;""9"";""7"";""12"";""7"";""88"";""9"";""12"";""20"";""35"";""1003"";""0"";""0"";""pioggia temporale """
"Roma;25/1/2014;""7"";""4"";""11"";""2"";""59"";""12"";""22"";""30"";""57"";""1003"";""0"";""0"";"""""
"Roma;26/1/2014;""4"";""0"";""9"";""2"";""70"";""10"";""9"";""19"";""0"";""1008"";""0"";""0"";"""""
"Roma;27/1/2014;""5"";""0"";""10"";""5"";""79"";""9"";""11"";""32"";""52"";""1000"";""0"";""0"";""pioggia """
"Roma;28/1/2014;""6"";""3"";""10"";""3"";""81"";""10"";""7"";""15"";""0"";""996"";""0"";""0"";"""""
"Roma;29/1/2014;""5"";""-1"";""11"";""5"";""86"";""9"";""15"";""28"";""33"";""1004"";""0"";""0"";""pioggia """
"Roma;30/1/2014;""12"";""11"";""14"";""9"";""82"";""8"";""33"";""56"";""83"";""1007"";""0"";""0"";""pioggia """
"Roma;31/1/2014;""12"";""10"";""14"";""11"";""92"";""5"";""28"";""59"";""85"";""1007"";""0"";""0"";""pioggia temporale """
