LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/7/2014;""21"";""18"";""27"";""18"";""81"";""10"";""9"";""20"";""0"";""0"";""0"";""0"";"""""
"Roma;2/7/2014;""21"";""16"";""26"";""16"";""73"";""11"";""7"";""15"";""0"";""0"";""0"";""0"";"""""
"Roma;3/7/2014;""22"";""16"";""30"";""15"";""66"";""11"";""7"";""19"";""0"";""1022"";""0"";""0"";"""""
"Roma;4/7/2014;""25"";""19"";""32"";""18"";""66"";""13"";""10"";""28"";""0"";""1017"";""0"";""0"";"""""
"Roma;5/7/2014;""25"";""21"";""27"";""20"";""74"";""11"";""11"";""19"";""0"";""1013"";""0"";""0"";"""""
"Roma;6/7/2014;""24"";""18"";""29"";""19"";""73"";""10"";""7"";""19"";""0"";""1014"";""0"";""0"";"""""
"Roma;7/7/2014;""24"";""19"";""29"";""20"";""77"";""11"";""9"";""20"";""0"";""1015"";""0"";""0"";"""""
"Roma;8/7/2014;""23"";""20"";""26"";""19"";""77"";""11"";""15"";""26"";""46"";""1011"";""0"";""0"";"""""
"Roma;9/7/2014;""21"";""17"";""25"";""16"";""75"";""10"";""13"";""20"";""39"";""1010"";""0"";""0"";"""""
"Roma;10/7/2014;""20"";""18"";""24"";""14"";""65"";""11"";""11"";""20"";""46"";""1006"";""0"";""0"";""pioggia temporale """
"Roma;11/7/2014;""20"";""15"";""26"";""13"";""66"";""12"";""9"";""20"";""39"";""1008"";""0"";""0"";"""""
"Roma;12/7/2014;""21"";""19"";""25"";""16"";""74"";""10"";""10"";""19"";""0"";""1012"";""0"";""0"";""temporale """
"Roma;13/7/2014;""20"";""17"";""24"";""17"";""82"";""10"";""12"";""19"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;14/7/2014;""21"";""17"";""25"";""17"";""76"";""10"";""8"";""17"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;15/7/2014;""22"";""16"";""27"";""16"";""70"";""11"";""7"";""15"";""0"";""1014"";""0"";""0"";"""""
"Roma;16/7/2014;""24"";""18"";""31"";""16"";""64"";""12"";""7"";""19"";""0"";""1015"";""0"";""0"";""temporale """
"Roma;17/7/2014;""23"";""19"";""30"";""17"";""72"";""11"";""8"";""28"";""61"";""1016"";""0"";""0"";""pioggia temporale """
"Roma;18/7/2014;""25"";""17"";""32"";""15"";""58"";""11"";""8"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;19/7/2014;""26"";""20"";""31"";""17"";""58"";""12"";""7"";""15"";""0"";""1016"";""0"";""0"";"""""
"Roma;20/7/2014;""26"";""25"";""33"";""17"";""56"";""10"";""11"";""100"";""0"";""1015"";""0"";""0"";"""""
"Roma;21/7/2014;""24"";""20"";""29"";""17"";""65"";""10"";""20"";""96"";""57"";""0"";""0"";""0"";""pioggia """
"Roma;22/7/2014;""21"";""19"";""23"";""18"";""83"";""10"";""29"";""100"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Roma;23/7/2014;""23"";""18"";""29"";""16"";""70"";""10"";""7"";""17"";""28"";""1008"";""0"";""0"";"""""
"Roma;24/7/2014;""24"";""20"";""27"";""18"";""72"";""10"";""9"";""17"";""0"";""1011"";""0"";""0"";"""""
"Roma;25/7/2014;""23"";""18"";""29"";""18"";""72"";""11"";""7"";""37"";""0"";""1013"";""0"";""0"";"""""
"Roma;26/7/2014;""23"";""20"";""27"";""18"";""75"";""10"";""5"";""17"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Roma;27/7/2014;""22"";""19"";""27"";""17"";""75"";""10"";""7"";""20"";""33"";""1010"";""0"";""0"";""pioggia temporale """
"Roma;28/7/2014;""24"";""19"";""28"";""19"";""72"";""10"";""8"";""15"";""0"";""1012"";""0"";""0"";"""""
"Roma;29/7/2014;""24"";""21"";""27"";""19"";""73"";""10"";""14"";""24"";""0"";""1009"";""0"";""0"";""pioggia """
"Roma;30/7/2014;""20"";""16"";""23"";""15"";""73"";""10"";""9"";""20"";""30"";""1006"";""0"";""0"";""pioggia temporale """
"Roma;31/7/2014;""22"";""15"";""27"";""16"";""71"";""11"";""8"";""19"";""0"";""1009"";""0"";""0"";"""""
