LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/5/2016;""13"";""9"";""18"";""10"";""80"";""8"";""8"";""17"";""32"";""1011"";""0"";""0"";""pioggia """
"Roma;2/5/2016;""12"";""7"";""17"";""8"";""78"";""10"";""8"";""17"";""33"";""1008"";""0"";""0"";""pioggia """
"Roma;3/5/2016;""17"";""11"";""22"";""9"";""63"";""10"";""17"";""30"";""44"";""1010"";""0"";""0"";""pioggia """
"Roma;4/5/2016;""17"";""12"";""23"";""6"";""52"";""10"";""13"";""26"";""0"";""1014"";""0"";""0"";"""""
"Roma;5/5/2016;""15"";""9"";""21"";""8"";""63"";""10"";""10"";""17"";""30"";""1017"";""0"";""0"";""pioggia temporale """
"Roma;6/5/2016;""16"";""9"";""22"";""7"";""57"";""10"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Roma;7/5/2016;""17"";""12"";""22"";""9"";""61"";""10"";""8"";""20"";""0"";""1013"";""0"";""0"";"""""
"Roma;8/5/2016;""18"";""13"";""23"";""11"";""63"";""10"";""7"";""15"";""0"";""1014"";""0"";""0"";"""""
"Roma;9/5/2016;""19"";""14"";""23"";""11"";""64"";""10"";""9"";""19"";""0"";""1017"";""0"";""0"";"""""
"Roma;10/5/2016;""20"";""15"";""25"";""12"";""59"";""10"";""11"";""22"";""0"";""1015"";""0"";""0"";"""""
"Roma;11/5/2016;""19"";""17"";""24"";""15"";""77"";""8"";""10"";""22"";""0"";""1007"";""0"";""0"";""pioggia """
"Roma;12/5/2016;""17"";""15"";""20"";""14"";""82"";""8"";""12"";""19"";""0"";""1004"";""0"";""0"";""pioggia """
"Roma;13/5/2016;""17"";""14"";""20"";""12"";""75"";""10"";""13"";""20"";""39"";""1005"";""0"";""0"";"""""
"Roma;14/5/2016;""15"";""13"";""17"";""13"";""91"";""8"";""11"";""19"";""0"";""1006"";""0"";""0"";""pioggia """
"Roma;15/5/2016;""16"";""12"";""21"";""13"";""83"";""9"";""8"";""22"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Roma;16/5/2016;""16"";""10"";""21"";""12"";""82"";""8"";""7"";""15"";""0"";""1015"";""0"";""0"";""nebbia """
"Roma;17/5/2016;""16"";""12"";""19"";""12"";""78"";""10"";""8"";""20"";""0"";""1016"";""0"";""0"";""pioggia """
"Roma;18/5/2016;""16"";""11"";""21"";""11"";""74"";""10"";""10"";""19"";""0"";""1016"";""0"";""0"";"""""
"Roma;19/5/2016;""17"";""14"";""20"";""12"";""75"";""10"";""13"";""22"";""0"";""1012"";""0"";""0"";""pioggia """
"Roma;20/5/2016;""16"";""11"";""21"";""9"";""67"";""10"";""18"";""33"";""41"";""1011"";""0"";""0"";""temporale """
"Roma;21/5/2016;""20"";""13"";""27"";""9"";""51"";""0"";""13"";""24"";""35"";""1016"";""0"";""0"";"""""
"Roma;22/5/2016;""20"";""13"";""26"";""10"";""54"";""10"";""11"";""20"";""0"";""1017"";""0"";""0"";"""""
"Roma;23/5/2016;""18"";""14"";""22"";""9"";""56"";""10"";""15"";""26"";""41"";""1014"";""0"";""0"";""pioggia """
"Roma;24/5/2016;""17"";""12"";""21"";""9"";""61"";""10"";""11"";""20"";""0"";""1012"";""0"";""0"";"""""
"Roma;25/5/2016;""17"";""10"";""23"";""9"";""60"";""0"";""8"";""17"";""0"";""1015"";""0"";""0"";"""""
"Roma;26/5/2016;""19"";""12"";""25"";""10"";""61"";""10"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Roma;27/5/2016;""22"";""15"";""30"";""11"";""52"";""0"";""8"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;28/5/2016;""22"";""16"";""28"";""13"";""59"";""9"";""11"";""22"";""0"";""1014"";""0"";""0"";"""""
"Roma;29/5/2016;""22"";""18"";""25"";""16"";""67"";""10"";""13"";""26"";""0"";""1011"";""0"";""0"";""pioggia """
"Roma;30/5/2016;""19"";""16"";""22"";""13"";""70"";""10"";""12"";""26"";""0"";""1014"";""0"";""0"";"""""
"Roma;31/5/2016;""20"";""14"";""23"";""12"";""63"";""10"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
