LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/12/2017;""8"";""5"";""12"";""2"";""67"";""20"";""9"";""17"";""0"";""1008"";""0"";""0"";"""""
"Roma;2/12/2017;""9"";""5"";""12"";""1"";""60"";""20"";""11"";""21"";""0"";""1007"";""0"";""0"";""pioggia """
"Roma;3/12/2017;""7"";""5"";""9"";""5"";""86"";""17"";""9"";""13"";""0"";""1015"";""0"";""0"";""pioggia """
"Roma;4/12/2017;""6"";""3"";""11"";""2"";""76"";""20"";""10"";""17"";""0"";""1024"";""0"";""0"";"""""
"Roma;5/12/2017;""5"";""0"";""11"";""1"";""69"";""19"";""8"";""15"";""0"";""1032"";""0"";""0"";"""""
"Roma;6/12/2017;""6"";""1"";""12"";""3"";""68"";""19"";""7"";""11"";""0"";""1034"";""0"";""0"";"""""
"Roma;7/12/2017;""9"";""5"";""13"";""4"";""73"";""19"";""6"";""9"";""0"";""1032"";""0"";""0"";"""""
"Roma;8/12/2017;""12"";""8"";""14"";""7"";""72"";""18"";""14"";""21"";""0"";""1022"";""0"";""0"";""pioggia """
"Roma;9/12/2017;""8"";""2"";""13"";""5"";""63"";""18"";""13"";""24"";""0"";""1011"";""0"";""0"";""pioggia """
"Roma;10/12/2017;""5"";""-2"";""11"";""6"";""66"";""17"";""18"";""31"";""0"";""1016"";""0"";""0"";""pioggia """
"Roma;11/12/2017;""14"";""12"";""15"";""11"";""80"";""13"";""30"";""39"";""0"";""1008"";""0"";""0"";""pioggia """
"Roma;12/12/2017;""15"";""12"";""16"";""12"";""81"";""12"";""25"";""37"";""0"";""1012"";""0"";""0"";""pioggia """
"Roma;13/12/2017;""11"";""8"";""13"";""8"";""81"";""20"";""9"";""13"";""0"";""1018"";""0"";""0"";""pioggia """
"Roma;14/12/2017;""12"";""8"";""13"";""8"";""77"";""19"";""14"";""22"";""0"";""1015"";""0"";""0"";""pioggia """
"Roma;15/12/2017;""13"";""11"";""14"";""12"";""90"";""12"";""16"";""30"";""0"";""1004"";""0"";""0"";""pioggia """
"Roma;16/12/2017;""9"";""4"";""13"";""4"";""73"";""19"";""10"";""18"";""0"";""1005"";""0"";""0"";""pioggia """
"Roma;17/12/2017;""5"";""2"";""10"";""1"";""72"";""18"";""13"";""22"";""0"";""1014"";""0"";""0"";"""""
"Roma;18/12/2017;""4"";""1"";""9"";""0"";""57"";""19"";""10"";""17"";""0"";""1021"";""0"";""0"";"""""
"Roma;19/12/2017;""3"";""-2"";""9"";""0"";""61"";""21"";""8"";""15"";""0"";""1027"";""0"";""0"";"""""
"Roma;20/12/2017;""3"";""1"";""5"";""0"";""66"";""17"";""8"";""13"";""0"";""1028"";""0"";""0"";"""""
"Roma;21/12/2017;""4"";""-2"";""10"";""0"";""56"";""21"";""11"";""18"";""0"";""1028"";""0"";""0"";"""""
"Roma;22/12/2017;""7"";""1"";""14"";""0"";""52"";""20"";""12"";""21"";""0"";""1024"";""0"";""0"";"""""
"Roma;23/12/2017;""9"";""5"";""14"";""0"";""48"";""20"";""11"";""18"";""0"";""1028"";""0"";""0"";"""""
"Roma;24/12/2017;""8"";""3"";""14"";""3"";""60"";""20"";""7"";""11"";""0"";""1029"";""0"";""0"";"""""
"Roma;25/12/2017;""7"";""1"";""13"";""4"";""79"";""18"";""5"";""9"";""0"";""1028"";""0"";""0"";"""""
"Roma;26/12/2017;""10"";""6"";""14"";""6"";""75"";""20"";""13"";""24"";""0"";""1019"";""0"";""0"";""pioggia """
"Roma;27/12/2017;""11"";""9"";""13"";""9"";""86"";""11"";""21"";""33"";""0"";""1001"";""0"";""0"";""pioggia temporale """
"Roma;28/12/2017;""7"";""5"";""10"";""3"";""76"";""15"";""12"";""24"";""0"";""994"";""0"";""0"";""pioggia """
"Roma;29/12/2017;""4"";""1"";""8"";""2"";""81"";""20"";""11"";""26"";""0"";""1008"";""0"";""0"";"""""
"Roma;30/12/2017;""7"";""3"";""11"";""4"";""71"";""20"";""5"";""11"";""0"";""1017"";""0"";""0"";"""""
"Roma;31/12/2017;""10"";""4"";""14"";""7"";""83"";""20"";""9"";""21"";""0"";""1020"";""0"";""0"";"""""
