LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/9/2017;""25"";""19"";""28"";""20"";""74"";""17"";""11"";""30"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Roma;2/9/2017;""23"";""19"";""25"";""17"";""70"";""18"";""14"";""22"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Roma;3/9/2017;""19"";""14"";""24"";""11"";""59"";""20"";""10"";""18"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Roma;4/9/2017;""20"";""15"";""26"";""11"";""57"";""21"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Roma;5/9/2017;""22"";""16"";""27"";""13"";""58"";""21"";""9"";""18"";""0"";""1020"";""0"";""0"";"""""
"Roma;6/9/2017;""22"";""18"";""27"";""16"";""69"";""18"";""8"";""17"";""0"";""1019"";""0"";""0"";"""""
"Roma;7/9/2017;""23"";""19"";""27"";""16"";""66"";""19"";""10"";""21"";""0"";""1013"";""0"";""0"";"""""
"Roma;8/9/2017;""22"";""17"";""27"";""14"";""62"";""21"";""9"";""17"";""0"";""1012"";""0"";""0"";"""""
"Roma;9/9/2017;""21"";""16"";""26"";""14"";""65"";""19"";""12"";""24"";""0"";""1009"";""0"";""0"";"""""
"Roma;10/9/2017;""21"";""16"";""24"";""17"";""77"";""15"";""20"";""44"";""0"";""1003"";""0"";""0"";""pioggia temporale """
"Roma;11/9/2017;""20"";""18"";""21"";""15"";""73"";""20"";""13"";""22"";""0"";""1000"";""0"";""0"";""pioggia """
"Roma;12/9/2017;""20"";""16"";""24"";""14"";""70"";""21"";""13"";""22"";""0"";""1010"";""0"";""0"";"""""
"Roma;13/9/2017;""20"";""16"";""25"";""13"";""67"";""21"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Roma;14/9/2017;""20"";""15"";""25"";""15"";""72"";""20"";""10"";""18"";""0"";""1018"";""0"";""0"";"""""
"Roma;15/9/2017;""22"";""18"";""26"";""17"";""73"";""21"";""12"";""21"";""0"";""1014"";""0"";""0"";"""""
"Roma;16/9/2017;""23"";""19"";""27"";""18"";""72"";""18"";""18"";""30"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Roma;17/9/2017;""20"";""16"";""23"";""14"";""72"";""20"";""8"";""13"";""0"";""1015"";""0"";""0"";""pioggia """
"Roma;18/9/2017;""18"";""14"";""23"";""12"";""70"";""19"";""9"";""15"";""0"";""1016"";""0"";""0"";""pioggia """
"Roma;19/9/2017;""18"";""15"";""21"";""12"";""68"";""19"";""11"";""18"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Roma;20/9/2017;""15"";""10"";""20"";""7"";""60"";""19"";""18"";""33"";""0"";""1013"";""0"";""0"";""pioggia """
"Roma;21/9/2017;""16"";""10"";""22"";""7"";""56"";""20"";""8"";""15"";""0"";""1019"";""0"";""0"";"""""
"Roma;22/9/2017;""17"";""12"";""24"";""10"";""65"";""21"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Roma;23/9/2017;""17"";""12"";""23"";""9"";""60"";""20"";""7"";""11"";""0"";""1022"";""0"";""0"";"""""
"Roma;24/9/2017;""17"";""12"";""23"";""11"";""69"";""20"";""6"";""15"";""0"";""1018"";""0"";""0"";"""""
"Roma;25/9/2017;""18"";""13"";""23"";""11"";""66"";""19"";""13"";""26"";""0"";""1017"";""0"";""0"";"""""
"Roma;26/9/2017;""17"";""12"";""22"";""12"";""71"";""21"";""7"";""13"";""0"";""1018"";""0"";""0"";"""""
"Roma;27/9/2017;""19"";""15"";""24"";""13"";""69"";""19"";""9"";""17"";""0"";""1020"";""0"";""0"";"""""
"Roma;28/9/2017;""19"";""14"";""25"";""12"";""68"";""20"";""8"";""17"";""0"";""1022"";""0"";""0"";"""""
"Roma;29/9/2017;""18"";""14"";""23"";""13"";""72"";""19"";""9"";""13"";""0"";""1020"";""0"";""0"";"""""
"Roma;30/9/2017;""17"";""13"";""23"";""12"";""72"";""19"";""7"";""11"";""0"";""1018"";""0"";""0"";"""""
