LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/8/2018;""29"";""24"";""35"";""20"";""59"";""19"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
"Roma;2/8/2018;""29"";""23"";""35"";""18"";""54"";""20"";""8"";""18"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Roma;3/8/2018;""25"";""22"";""30"";""20"";""76"";""19"";""8"";""26"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Roma;4/8/2018;""26"";""20"";""32"";""19"";""71"";""19"";""7"";""15"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Roma;5/8/2018;""27"";""21"";""33"";""19"";""63"";""21"";""7"";""15"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Roma;6/8/2018;""28"";""23"";""33"";""20"";""63"";""20"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Roma;7/8/2018;""28"";""23"";""33"";""19"";""61"";""20"";""8"";""18"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Roma;8/8/2018;""25"";""18"";""32"";""20"";""71"";""20"";""10"";""39"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Roma;9/8/2018;""25"";""21"";""31"";""20"";""77"";""19"";""6"";""13"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Roma;10/8/2018;""28"";""22"";""33"";""20"";""67"";""19"";""8"";""17"";""0"";""1019"";""0"";""0"";"""""
"Roma;11/8/2018;""27"";""22"";""33"";""18"";""60"";""22"";""8"";""18"";""0"";""1018"";""0"";""0"";"""""
"Roma;12/8/2018;""27"";""21"";""32"";""19"";""63"";""19"";""8"";""15"";""0"";""1017"";""0"";""0"";"""""
"Roma;13/8/2018;""27"";""21"";""31"";""20"";""68"";""21"";""8"";""13"";""0"";""1014"";""0"";""0"";"""""
"Roma;14/8/2018;""24"";""18"";""29"";""19"";""78"";""19"";""9"";""39"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;15/8/2018;""21"";""19"";""27"";""18"";""83"";""18"";""8"";""21"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Roma;16/8/2018;""23"";""19"";""30"";""17"";""74"";""19"";""9"";""26"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;17/8/2018;""23"";""19"";""29"";""19"";""81"";""18"";""6"";""15"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Roma;18/8/2018;""23"";""20"";""29"";""19"";""77"";""21"";""7"";""21"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Roma;19/8/2018;""24"";""18"";""30"";""17"";""67"";""19"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Roma;20/8/2018;""24"";""19"";""33"";""17"";""68"";""21"";""8"";""24"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;21/8/2018;""24"";""20"";""32"";""17"";""68"";""19"";""10"";""39"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Roma;22/8/2018;""24"";""19"";""31"";""18"";""68"";""18"";""8"";""21"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Roma;23/8/2018;""24"";""19"";""30"";""18"";""70"";""19"";""8"";""17"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Roma;24/8/2018;""24"";""19"";""30"";""17"";""65"";""21"";""8"";""13"";""0"";""1010"";""0"";""0"";"""""
"Roma;25/8/2018;""24"";""21"";""28"";""19"";""74"";""19"";""13"";""22"";""0"";""1009"";""0"";""0"";"""""
"Roma;26/8/2018;""23"";""20"";""26"";""16"";""68"";""20"";""12"";""21"";""0"";""1008"";""0"";""0"";""pioggia """
"Roma;27/8/2018;""21"";""15"";""27"";""12"";""58"";""21"";""13"";""21"";""0"";""1012"";""0"";""0"";"""""
"Roma;28/8/2018;""23"";""16"";""28"";""15"";""62"";""21"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Roma;29/8/2018;""24"";""18"";""29"";""17"";""66"";""20"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Roma;30/8/2018;""24"";""18"";""29"";""17"";""67"";""19"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Roma;31/8/2018;""23"";""19"";""27"";""17"";""71"";""20"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
