LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/3/2018;""11"";""1"";""15"";""7"";""75"";""16"";""14"";""35"";""0"";""1003"";""0"";""0"";""pioggia neve """
"Roma;2/3/2018;""13"";""7"";""16"";""8"";""74"";""16"";""19"";""30"";""0"";""998"";""0"";""0"";""pioggia """
"Roma;3/3/2018;""11"";""7"";""16"";""9"";""84"";""15"";""15"";""33"";""0"";""999"";""0"";""0"";""pioggia """
"Roma;4/3/2018;""10"";""7"";""14"";""7"";""82"";""18"";""8"";""17"";""0"";""1002"";""0"";""0"";""pioggia """
"Roma;5/3/2018;""9"";""8"";""10"";""8"";""96"";""13"";""11"";""18"";""0"";""995"";""0"";""0"";""pioggia """
"Roma;6/3/2018;""10"";""8"";""12"";""9"";""89"";""13"";""12"";""24"";""0"";""994"";""0"";""0"";""pioggia """
"Roma;7/3/2018;""10"";""6"";""15"";""8"";""84"";""15"";""12"";""26"";""0"";""1003"";""0"";""0"";""pioggia """
"Roma;8/3/2018;""10"";""4"";""15"";""5"";""74"";""20"";""8"";""13"";""0"";""1012"";""0"";""0"";"""""
"Roma;9/3/2018;""11"";""7"";""15"";""6"";""74"";""20"";""8"";""13"";""0"";""1017"";""0"";""0"";"""""
"Roma;10/3/2018;""12"";""7"";""16"";""8"";""76"";""21"";""13"";""22"";""0"";""1016"";""0"";""0"";"""""
"Roma;11/3/2018;""15"";""12"";""20"";""11"";""75"";""19"";""20"";""39"";""0"";""1009"";""0"";""0"";""pioggia """
"Roma;12/3/2018;""13"";""10"";""16"";""10"";""83"";""14"";""12"";""24"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Roma;13/3/2018;""13"";""9"";""16"";""8"";""75"";""20"";""10"";""17"";""0"";""1010"";""0"";""0"";"""""
"Roma;14/3/2018;""11"";""6"";""16"";""6"";""73"";""22"";""10"";""17"";""0"";""1012"";""0"";""0"";"""""
"Roma;15/3/2018;""11"";""8"";""14"";""7"";""73"";""20"";""22"";""41"";""0"";""1008"";""0"";""0"";""pioggia """
"Roma;16/3/2018;""14"";""12"";""17"";""10"";""75"";""19"";""10"";""24"";""0"";""1005"";""0"";""0"";""pioggia """
"Roma;17/3/2018;""11"";""10"";""13"";""9"";""85"";""20"";""9"";""13"";""0"";""997"";""0"";""0"";""pioggia """
"Roma;18/3/2018;""11"";""8"";""13"";""7"";""78"";""18"";""16"";""33"";""0"";""996"";""0"";""0"";""pioggia """
"Roma;19/3/2018;""9"";""6"";""11"";""5"";""81"";""18"";""11"";""18"";""0"";""1000"";""0"";""0"";""pioggia temporale """
"Roma;20/3/2018;""9"";""5"";""12"";""5"";""79"";""16"";""15"";""28"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Roma;21/3/2018;""9"";""6"";""12"";""4"";""72"";""21"";""16"";""26"";""0"";""1006"";""0"";""0"";""pioggia """
"Roma;22/3/2018;""7"";""3"";""12"";""1"";""56"";""18"";""18"";""33"";""0"";""1004"";""0"";""0"";"""""
"Roma;23/3/2018;""6"";""1"";""11"";""0"";""51"";""20"";""17"";""30"";""0"";""999"";""0"";""0"";"""""
"Roma;24/3/2018;""7"";""2"";""12"";""2"";""61"";""21"";""9"";""13"";""0"";""1002"";""0"";""0"";"""""
"Roma;25/3/2018;""11"";""6"";""16"";""2"";""47"";""20"";""12"";""21"";""0"";""1002"";""0"";""0"";"""""
"Roma;26/3/2018;""9"";""5"";""14"";""4"";""66"";""19"";""8"";""17"";""0"";""1007"";""0"";""0"";""pioggia """
"Roma;27/3/2018;""10"";""4"";""16"";""4"";""70"";""21"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Roma;28/3/2018;""13"";""8"";""17"";""8"";""73"";""20"";""14"";""21"";""0"";""1013"";""0"";""0"";"""""
"Roma;29/3/2018;""15"";""11"";""19"";""10"";""72"";""19"";""20"";""28"";""0"";""1011"";""0"";""0"";"""""
"Roma;30/3/2018;""16"";""13"";""19"";""9"";""65"";""20"";""23"";""39"";""0"";""1010"";""0"";""0"";""pioggia """
"Roma;31/3/2018;""13"";""7"";""17"";""9"";""81"";""18"";""14"";""28"";""0"";""1003"";""0"";""0"";""pioggia temporale """
