LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Roma;1/10/2018;""20"";""16"";""24"";""15"";""74"";""20"";""11"";""21"";""0"";""1010"";""0"";""0"";""pioggia """
"Roma;2/10/2018;""19"";""15"";""22"";""11"";""58"";""21"";""11"";""18"";""0"";""1012"";""0"";""0"";"""""
"Roma;3/10/2018;""19"";""14"";""25"";""11"";""60"";""21"";""11"";""17"";""0"";""1016"";""0"";""0"";"""""
"Roma;4/10/2018;""21"";""16"";""25"";""12"";""58"";""22"";""10"";""17"";""0"";""1019"";""0"";""0"";"""""
"Roma;5/10/2018;""20"";""17"";""24"";""14"";""66"";""18"";""12"";""21"";""0"";""1018"";""0"";""0"";""pioggia temporale """
"Roma;6/10/2018;""19"";""16"";""22"";""16"";""84"";""15"";""15"";""28"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Roma;7/10/2018;""20"";""16"";""23"";""16"";""80"";""21"";""8"";""15"";""0"";""1014"";""0"";""0"";""pioggia """
"Roma;8/10/2018;""19"";""15"";""24"";""15"";""81"";""21"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Roma;9/10/2018;""19"";""15"";""24"";""16"";""82"";""19"";""7"";""13"";""0"";""1019"";""0"";""0"";""pioggia temporale """
"Roma;10/10/2018;""20"";""16"";""25"";""15"";""76"";""20"";""7"";""13"";""0"";""1020"";""0"";""0"";"""""
"Roma;11/10/2018;""19"";""17"";""23"";""15"";""77"";""19"";""7"";""13"";""0"";""1019"";""0"";""0"";""pioggia """
"Roma;12/10/2018;""20"";""16"";""25"";""14"";""72"";""18"";""7"";""11"";""0"";""1022"";""0"";""0"";"""""
"Roma;13/10/2018;""19"";""13"";""25"";""11"";""62"";""19"";""9"";""11"";""0"";""1021"";""0"";""0"";"""""
"Roma;14/10/2018;""18"";""13"";""24"";""11"";""67"";""21"";""6"";""9"";""0"";""1018"";""0"";""0"";"""""
"Roma;15/10/2018;""19"";""13"";""24"";""13"";""66"";""18"";""7"";""15"";""0"";""1016"";""0"";""0"";"""""
"Roma;16/10/2018;""21"";""18"";""24"";""15"";""68"";""20"";""10"";""18"";""0"";""1017"";""0"";""0"";"""""
"Roma;17/10/2018;""20"";""17"";""25"";""16"";""77"";""18"";""7"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Roma;18/10/2018;""20"";""15"";""26"";""15"";""74"";""19"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Roma;19/10/2018;""20"";""15"";""25"";""13"";""67"";""21"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Roma;20/10/2018;""19"";""14"";""25"";""14"";""75"";""22"";""7"";""9"";""0"";""1020"";""0"";""0"";"""""
"Roma;21/10/2018;""17"";""11"";""23"";""13"";""78"";""18"";""9"";""46"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Roma;22/10/2018;""14"";""10"";""17"";""7"";""64"";""21"";""17"";""30"";""0"";""1012"";""0"";""0"";""pioggia """
"Roma;23/10/2018;""16"";""10"";""23"";""9"";""63"";""20"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Roma;24/10/2018;""15"";""9"";""21"";""10"";""72"";""20"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
"Roma;25/10/2018;""17"";""12"";""23"";""12"";""74"";""19"";""9"";""22"";""0"";""1016"";""0"";""0"";"""""
"Roma;26/10/2018;""19"";""16"";""22"";""15"";""79"";""19"";""13"";""26"";""0"";""1016"";""0"";""0"";"""""
"Roma;27/10/2018;""20"";""18"";""22"";""16"";""77"";""19"";""27"";""37"";""0"";""1009"";""0"";""0"";""pioggia """
"Roma;28/10/2018;""20"";""18"";""21"";""17"";""82"";""15"";""28"";""41"";""0"";""1004"";""0"";""0"";""pioggia temporale """
"Roma;29/10/2018;""19"";""15"";""22"";""14"";""74"";""15"";""35"";""67"";""0"";""1001"";""0"";""0"";""pioggia temporale """
"Roma;30/10/2018;""15"";""12"";""18"";""9"";""70"";""20"";""16"";""24"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Roma;31/10/2018;""16"";""11"";""19"";""9"";""66"";""20"";""14"";""33"";""0"";""1019"";""0"";""0"";""pioggia """
