"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"11";"9";"12";"82"
"2010-01-02";"9";"6";"13";"78"
"2010-01-03";"4";"1";"8";"65"
"2010-01-04";"7";"4";"9";"72"
"2010-01-05";"10";"7";"13";"87"
"2010-01-06";"11";"8";"12";"83"
"2010-01-07";"10";"7";"12";"77"
"2010-01-08";"12";"10";"14";"83"
"2010-01-09";"8";"4";"11";"83"
"2010-01-10";"6";"4";"8";"79"
"2010-01-11";"6";"4";"8";"85"
"2010-01-12";"3";"0";"8";"90"
"2010-01-13";"5";"1";"7";"80"
"2010-01-14";"6";"1";"11";"78"
"2010-01-15";"7";"4";"10";"69"
"2010-01-16";"5";"1";"11";"77"
"2010-01-17";"6";"2";"8";"84"
"2010-01-18";"7";"3";"10";"85"
"2010-01-19";"5";"1";"11";"76"
"2010-01-20";"5";"-1";"11";"76"
"2010-01-21";"6";"2";"12";"64"
"2010-01-22";"3";"-6";"10";"68"
"2010-01-23";"3";"-1";"10";"70"
"2010-01-24";"3";"-2";"9";"83"
"2010-01-25";"5";"4";"8";"80"
"2010-01-26";"7";"5";"10";"84"
"2010-01-27";"6";"2";"11";"78"
"2010-01-28";"4";"-1";"9";"84"
"2010-01-29";"5";"1";"10";"86"
"2010-01-30";"8";"6";"11";"78"
"2010-01-31";"4";"1";"7";"83"
"2010-02-01";"2";"-2";"7";"68"
"2010-02-02";"1";"-3";"8";"63"
"2010-02-03";"7";"2";"11";"78"
"2010-02-04";"9";"4";"13";"78"
"2010-02-05";"9";"5";"12";"80"
"2010-02-06";"7";"4";"9";"86"
"2010-02-07";"6";"1";"10";"68"
"2010-02-08";"5";"0";"11";"67"
"2010-02-09";"6";"2";"10";"78"
"2010-02-10";"7";"4";"10";"89"
"2010-02-11";"4";"1";"7";"75"
"2010-02-12";"2";"0";"5";"85"
"2010-02-13";"4";"0";"10";"77"
"2010-02-14";"6";"4";"9";"74"
"2010-02-15";"6";"3";"10";"79"
"2010-02-16";"7";"6";"9";"86"
"2010-02-17";"9";"6";"12";"91"
"2010-02-18";"12";"9";"15";"83"
"2010-02-19";"13";"9";"17";"79"
"2010-02-20";"9";"7";"11";"77"
"2010-02-21";"9";"3";"13";"69"
"2010-02-22";"11";"7";"14";"86"
"2010-02-23";"13";"11";"17";"82"
"2010-02-24";"13";"9";"15";"87"
"2010-02-25";"11";"7";"16";"78"
"2010-02-26";"13";"9";"16";"77"
"2010-02-27";"11";"6";"16";"69"
"2010-02-28";"14";"11";"17";"49"
"2010-03-01";"13";"12";"16";"88"
"2010-03-02";"11";"7";"16";"79"
"2010-03-03";"12";"7";"15";"65"
"2010-03-04";"11";"8";"13";"86"
"2010-03-05";"6";"3";"11";"81"
"2010-03-06";"5";"0";"9";"64"
"2010-03-07";"7";"1";"13";"66"
"2010-03-08";"7";"2";"12";"55"
"2010-03-09";"6";"4";"8";"79"
"2010-03-10";"8";"5";"11";"82"
"2010-03-11";"6";"3";"8";"84"
"2010-03-12";"6";"2";"10";"86"
"2010-03-13";"6";"1";"12";"75"
"2010-03-14";"7";"2";"13";"75"
"2010-03-15";"10";"6";"14";"69"
"2010-03-16";"8";"3";"14";"77"
"2010-03-17";"9";"2";"16";"70"
"2010-03-18";"8";"2";"15";"71"
"2010-03-19";"10";"4";"15";"73"
"2010-03-20";"11";"6";"15";"76"
"2010-03-21";"12";"8";"16";"64"
"2010-03-22";"14";"11";"19";"62"
"2010-03-23";"13";"8";"17";"83"
"2010-03-24";"13";"9";"17";"78"
"2010-03-25";"13";"7";"18";"80"
"2010-03-26";"13";"7";"19";"80"
"2010-03-27";"12";"8";"15";"78"
"2010-03-28";"12";"6";"18";"70"
"2010-03-29";"12";"6";"17";"77"
"2010-03-30";"14";"8";"18";"69"
"2010-03-31";"12";"11";"16";"78"
"2010-04-01";"12";"7";"18";"72"
"2010-04-02";"12";"8";"16";"74"
"2010-04-03";"11";"4";"16";"66"
"2010-04-04";"11";"6";"14";"79"
"2010-04-05";"11";"7";"15";"79"
"2010-04-06";"10";"4";"18";"70"
"2010-04-07";"12";"4";"20";"67"
"2010-04-08";"13";"7";"17";"69"
"2010-04-09";"14";"10";"18";"68"
"2010-04-10";"13";"6";"21";"65"
"2010-04-11";"13";"8";"16";"78"
"2010-04-12";"11";"7";"15";"89"
"2010-04-13";"13";"8";"18";"81"
"2010-04-14";"12";"8";"16";"81"
"2010-04-15";"13";"8";"19";"74"
"2010-04-16";"15";"11";"20";"71"
"2010-04-17";"13";"10";"17";"79"
"2010-04-18";"13";"8";"19";"82"
"2010-04-19";"14";"8";"20";"76"
"2010-04-20";"14";"7";"21";"75"
"2010-04-21";"15";"12";"20";"82"
"2010-04-22";"15";"7";"22";"67"
"2010-04-23";"14";"11";"19";"87"
"2010-04-24";"15";"14";"18";"90"
"2010-04-25";"17";"11";"23";"75"
"2010-04-26";"17";"12";"23";"76"
"2010-04-27";"17";"14";"20";"89"
"2010-04-28";"17";"11";"24";"78"
"2010-04-29";"17";"10";"23";"69"
"2010-04-30";"18";"11";"23";"65"
"2010-05-01";"17";"10";"22";"70"
"2010-05-02";"17";"13";"21";"69"
"2010-05-03";"18";"16";"21";"85"
"2010-05-05";"15";"13";"18";"80"
"2010-05-06";"13";"10";"17";"81"
"2010-05-07";"13";"10";"17";"82"
"2010-05-08";"14";"11";"18";"83"
"2010-05-09";"15";"8";"20";"73"
"2010-05-10";"17";"11";"22";"68"
"2010-05-11";"18";"15";"24";"77"
"2010-05-12";"17";"13";"22";"88"
"2010-05-13";"17";"15";"21";"82"
"2010-05-14";"16";"13";"21";"81"
"2010-05-15";"13";"12";"14";"92"
"2010-05-16";"14";"11";"18";"85"
"2010-05-17";"14";"11";"19";"83"
"2010-05-18";"16";"10";"22";"72"
"2010-05-19";"16";"13";"20";"77"
