LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/4/2010;""9"";""4"";""15"";""3"";""58"";""14"";""6"";""20"";""0"";""1009"";""0"";""0"";"""""
"Torino;2/4/2010;""8"";""1"";""14"";""1"";""54"";""21"";""5"";""8"";""0"";""1016"";""0"";""0"";"""""
"Torino;3/4/2010;""8"";""4"";""12"";""4"";""68"";""10"";""6"";""10"";""0"";""1018"";""0"";""0"";""pioggia """
"Torino;4/4/2010;""7"";""5"";""8"";""6"";""92"";""6"";""4"";""9"";""0"";""1016"";""0"";""0"";""pioggia """
"Torino;5/4/2010;""10"";""1"";""17"";""4"";""51"";""18"";""5"";""14"";""0"";""1019"";""0"";""0"";"""""
"Torino;6/4/2010;""11"";""4"";""18"";""2"";""47"";""26"";""4"";""8"";""0"";""1023"";""0"";""0"";"""""
"Torino;7/4/2010;""12"";""5"";""17"";""3"";""56"";""11"";""3"";""7"";""0"";""1020"";""0"";""0"";"""""
"Torino;8/4/2010;""12"";""8"";""16"";""5"";""64"";""8"";""4"";""8"";""0"";""1021"";""0"";""0"";"""""
"Torino;9/4/2010;""14"";""6"";""22"";""3"";""49"";""11"";""4"";""8"";""0"";""1024"";""0"";""0"";"""""
"Torino;10/4/2010;""15"";""8"";""24"";""3"";""42"";""17"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Torino;11/4/2010;""9"";""7"";""13"";""5"";""71"";""8"";""8"";""20"";""0"";""1013"";""0"";""0"";""pioggia """
Torino;12/4/2010;;;;;;;;;;;;;
"Torino;13/4/2010;""9"";""6"";""14"";""2"";""57"";""11"";""6"";""10"";""0"";""1012"";""0"";""0"";""pioggia """
"Torino;14/4/2010;""9"";""3"";""17"";""1"";""50"";""18"";""4"";""10"";""0"";""1010"";""0"";""0"";"""""
"Torino;15/4/2010;""12"";""7"";""16"";""3"";""51"";""10"";""5"";""13"";""0"";""1011"";""0"";""0"";""pioggia """
"Torino;16/4/2010;""12"";""5"";""18"";""4"";""57"";""10"";""7"";""21"";""0"";""1014"";""0"";""0"";""pioggia """
"Torino;17/4/2010;""11"";""6"";""16"";""5"";""65"";""10"";""5"";""10"";""35"";""1018"";""0"";""0"";""pioggia """
"Torino;18/4/2010;""11"";""8"";""14"";""7"";""76"";""9"";""3"";""7"";""0"";""1016"";""0"";""0"";"""""
"Torino;19/4/2010;""14"";""6"";""22"";""5"";""58"";""11"";""7"";""100"";""0"";""1013"";""0"";""0"";"""""
"Torino;20/4/2010;""16"";""8"";""23"";""4"";""45"";""22"";""4"";""7"";""0"";""1014"";""0"";""0"";"""""
"Torino;21/4/2010;""16"";""9"";""23"";""5"";""43"";""22"";""5"";""9"";""0"";""1013"";""0"";""0"";"""""
"Torino;22/4/2010;""15"";""9"";""21"";""9"";""66"";""9"";""5"";""8"";""0"";""1011"";""0"";""0"";"""""
"Torino;23/4/2010;""13"";""11"";""15"";""10"";""85"";""7"";""5"";""13"";""0"";""1013"";""0"";""0"";""pioggia """
"Torino;24/4/2010;""15"";""11"";""20"";""10"";""74"";""8"";""4"";""9"";""0"";""1018"";""0"";""0"";""pioggia """
"Torino;25/4/2010;""18"";""13"";""24"";""10"";""63"";""12"";""4"";""8"";""20"";""1022"";""0"";""0"";"""""
"Torino;26/4/2010;""18"";""12"";""24"";""11"";""61"";""10"";""5"";""18"";""0"";""1021"";""0"";""0"";""pioggia temporale """
"Torino;27/4/2010;""14"";""12"";""18"";""11"";""79"";""10"";""5"";""9"";""0"";""1023"";""0"";""0"";""pioggia temporale """
"Torino;28/4/2010;""16"";""9"";""23"";""10"";""68"";""16"";""4"";""7"";""0"";""1024"";""0"";""0"";"""""
"Torino;29/4/2010;""18"";""11"";""23"";""12"";""67"";""8"";""4"";""7"";""0"";""1020"";""0"";""0"";"""""
"Torino;30/4/2010;""18"";""14"";""21"";""13"";""74"";""8"";""6"";""37"";""0"";""1015"";""0"";""0"";""pioggia temporale """
