LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/6/2010;""19"";""11"";""25"";""5"";""41"";""17"";""5"";""10"";""0"";""1008"";""0"";""0"";"""""
"Torino;2/6/2010;""21"";""13"";""26"";""7"";""43"";""13"";""5"";""7"";""0"";""1006"";""0"";""0"";"""""
"Torino;3/6/2010;""20"";""14"";""26"";""9"";""50"";""12"";""4"";""9"";""0"";""1009"";""0"";""0"";"""""
"Torino;4/6/2010;""22"";""15"";""29"";""12"";""53"";""22"";""5"";""8"";""0"";""1014"";""0"";""0"";"""""
"Torino;5/6/2010;""23"";""16"";""28"";""14"";""57"";""20"";""5"";""9"";""0"";""1018"";""0"";""0"";"""""
"Torino;6/6/2010;""22"";""18"";""27"";""16"";""71"";""9"";""6"";""30"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Torino;7/6/2010;""22"";""18"";""25"";""17"";""75"";""9"";""5"";""50"";""0"";""1012"";""0"";""0"";""pioggia """
"Torino;8/6/2010;""20"";""18"";""24"";""17"";""85"";""6"";""5"";""10"";""0"";""1011"";""0"";""0"";""pioggia """
"Torino;9/6/2010;""20"";""17"";""24"";""16"";""79"";""9"";""6"";""13"";""0"";""1012"";""0"";""0"";""pioggia """
"Torino;10/6/2010;""20"";""17"";""24"";""15"";""74"";""11"";""6"";""12"";""0"";""1013"";""0"";""0"";"""""
"Torino;11/6/2010;""22"";""18"";""27"";""16"";""65"";""11"";""4"";""10"";""0"";""1012"";""0"";""0"";""pioggia """
"Torino;12/6/2010;""22"";""19"";""26"";""17"";""75"";""10"";""7"";""21"";""0"";""1011"";""0"";""0"";"""""
"Torino;13/6/2010;""20"";""17"";""24"";""16"";""78"";""10"";""4"";""8"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Torino;14/6/2010;""18"";""13"";""25"";""15"";""80"";""9"";""5"";""20"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Torino;15/6/2010;""16"";""15"";""18"";""15"";""90"";""6"";""8"";""15"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Torino;16/6/2010;""17"";""16"";""20"";""16"";""91"";""5"";""8"";""12"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Torino;17/6/2010;""16"";""14"";""19"";""13"";""79"";""10"";""8"";""16"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Torino;18/6/2010;""18"";""11"";""25"";""12"";""67"";""13"";""4"";""7"";""0"";""1028"";""0"";""0"";"""""
"Torino;19/6/2010;""17"";""15"";""22"";""14"";""78"";""11"";""5"";""13"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Torino;20/6/2010;""15"";""12"";""18"";""9"";""69"";""11"";""5"";""12"";""0"";""1003"";""0"";""0"";""pioggia """
"Torino;21/6/2010;""19"";""9"";""24"";""9"";""52"";""14"";""5"";""9"";""0"";""1008"";""0"";""0"";"""""
"Torino;22/6/2010;""20"";""13"";""24"";""10"";""50"";""14"";""4"";""8"";""0"";""1013"";""0"";""0"";"""""
"Torino;23/6/2010;""21"";""17"";""26"";""12"";""55"";""12"";""5"";""37"";""0"";""0"";""0"";""0"";"""""
"Torino;24/6/2010;""22"";""16"";""28"";""15"";""65"";""12"";""3"";""7"";""0"";""1015"";""0"";""0"";"""""
"Torino;25/6/2010;""22"";""18"";""26"";""15"";""64"";""12"";""4"";""7"";""0"";""1014"";""0"";""0"";"""""
"Torino;26/6/2010;""23"";""18"";""29"";""19"";""66"";""8"";""5"";""9"";""0"";""1012"";""0"";""0"";"""""
"Torino;27/6/2010;""25"";""20"";""29"";""17"";""61"";""9"";""5"";""8"";""0"";""1015"";""0"";""0"";"""""
"Torino;28/6/2010;""25"";""21"";""30"";""19"";""66"";""10"";""4"";""8"";""0"";""1016"";""0"";""0"";"""""
"Torino;29/6/2010;""24"";""20"";""28"";""18"";""68"";""9"";""5"";""13"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Torino;30/6/2010;""24"";""18"";""30"";""17"";""63"";""12"";""3"";""8"";""0"";""1017"";""0"";""0"";"""""
