LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Torino;1/3/2010;""6"";""-2"";""13"";""4"";""85"";""5"";""4"";""12"";""0"";""1010"";""0"";""0"";""nebbia """
"Torino;2/3/2010;""9"";""1"";""18"";""3"";""64"";""8"";""5"";""12"";""0"";""1016"";""0"";""0"";"""""
"Torino;3/3/2010;""6"";""3"";""8"";""4"";""74"";""7"";""7"";""14"";""0"";""0"";""0"";""0"";""pioggia """
"Torino;4/3/2010;""6"";""3"";""10"";""4"";""85"";""9"";""6"";""13"";""0"";""0"";""0"";""0"";""pioggia """
"Torino;5/3/2010;""6"";""-1"";""10"";""4"";""56"";""9"";""6"";""14"";""0"";""0"";""0"";""0"";"""""
"Torino;6/3/2010;""2"";""-4"";""9"";""0"";""41"";""18"";""5"";""9"";""0"";""1015"";""0"";""0"";"""""
"Torino;7/3/2010;""1"";""0"";""3"";""0"";""74"";""5"";""9"";""15"";""0"";""1019"";""0"";""0"";""neve nebbia """
"Torino;8/3/2010;""2"";""-1"";""5"";""0"";""59"";""10"";""5"";""12"";""0"";""1016"";""0"";""0"";"""""
"Torino;9/3/2010;""0"";""-2"";""1"";""0"";""66"";""8"";""6"";""12"";""0"";""1012"";""0"";""0"";""neve """
"Torino;10/3/2010;""0"";""-2"";""1"";""0"";""88"";""2"";""3"";""7"";""0"";""1011"";""0"";""0"";""neve nebbia """
"Torino;11/3/2010;""2"";""-1"";""5"";""0"";""83"";""7"";""4"";""7"";""0"";""1010"";""0"";""0"";""neve nebbia """
"Torino;12/3/2010;""4"";""-1"";""9"";""0"";""69"";""6"";""4"";""9"";""0"";""1014"";""0"";""0"";"""""
"Torino;13/3/2010;""5"";""-1"";""12"";""1"";""68"";""5"";""4"";""8"";""0"";""1018"";""0"";""0"";"""""
"Torino;14/3/2010;""7"";""0"";""14"";""2"";""59"";""7"";""4"";""8"";""0"";""1018"";""0"";""0"";"""""
"Torino;15/3/2010;""7"";""1"";""14"";""0"";""48"";""19"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Torino;16/3/2010;""8"";""1"";""16"";""0"";""40"";""23"";""5"";""10"";""0"";""1022"";""0"";""0"";"""""
"Torino;17/3/2010;""8"";""1"";""15"";""0"";""44"";""16"";""4"";""6"";""0"";""1028"";""0"";""0"";"""""
"Torino;18/3/2010;""9"";""3"";""14"";""4"";""62"";""10"";""4"";""7"";""0"";""1029"";""0"";""0"";"""""
"Torino;19/3/2010;""10"";""6"";""14"";""5"";""73"";""8"";""3"";""7"";""0"";""1028"";""0"";""0"";"""""
"Torino;20/3/2010;""9"";""8"";""11"";""7"";""86"";""4"";""4"";""48"";""0"";""1026"";""0"";""0"";""pioggia """
"Torino;21/3/2010;""11"";""8"";""13"";""8"";""87"";""4"";""3"";""6"";""0"";""1023"";""0"";""0"";""pioggia nebbia """
"Torino;22/3/2010;""11"";""9"";""14"";""9"";""90"";""4"";""3"";""5"";""0"";""1021"";""0"";""0"";"""""
"Torino;23/3/2010;""12"";""10"";""17"";""9"";""83"";""5"";""6"";""100"";""0"";""1020"";""0"";""0"";""nebbia """
"Torino;24/3/2010;""13"";""10"";""16"";""8"";""73"";""6"";""3"";""9"";""0"";""1017"";""0"";""0"";""pioggia """
"Torino;25/3/2010;""11"";""10"";""12"";""9"";""87"";""5"";""6"";""12"";""0"";""1017"";""0"";""0"";""pioggia """
"Torino;26/3/2010;""11"";""7"";""17"";""8"";""83"";""6"";""5"";""22"";""0"";""1013"";""0"";""0"";""pioggia """
"Torino;27/3/2010;""10"";""2"";""17"";""4"";""60"";""14"";""5"";""13"";""0"";""1010"";""0"";""0"";"""""
"Torino;28/3/2010;""13"";""4"";""19"";""3"";""51"";""19"";""5"";""8"";""0"";""1012"";""0"";""0"";"""""
"Torino;29/3/2010;""11"";""6"";""17"";""6"";""70"";""11"";""5"";""14"";""0"";""1012"";""0"";""0"";""pioggia """
"Torino;30/3/2010;""9"";""7"";""12"";""7"";""89"";""8"";""7"";""14"";""0"";""1003"";""0"";""0"";""pioggia grandine """
"Torino;31/3/2010;""10"";""2"";""18"";""3"";""57"";""13"";""6"";""16"";""0"";""1004"";""0"";""0"";"""""
